generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-0.543193,1,1
2000,0,-0.228818,-1.9959,0.228818,0.623
4000,0,-1.71436,-0.395844,1.71436,0.5965
6000,0,-0.241114,-1.90341,0.241114,0.574
8000,0,-0.0408021,-3.49498,0.0408021,0.6745
10000,1,-1.00219,-2.6869,1.60361,0.715
12000,0,-0.0175575,-2.34952,0.0175575,0.5815
14000,0,-0.448585,-2.28505,0.448585,0.6395
16000,1,1.15982,-1.33585,0.935452,0.6125
18000,0,-1.11827,-0.618232,1.11827,0.6505
20000,0,-0.0226257,-3.0952,0.0226257,0.605
22000,2,2.17392,-3.78391,0.503558,0.6875
24000,1,-0.212647,-4.72304,2.09491,0.614
26000,0,-0.527768,-0.295242,0.527768,0.6125
28000,0,-0.841987,-1.05405,0.841987,0.654
30000,1,0.156072,-4.11681,0.325921,0.601
32000,5,3.4078,-3.27385,2.64187,0.6315
34000,0,-0.299766,-0.733342,0.299766,0.6895
36000,1,-1.83143,-3.66013,0.491866,0.5915
38000,0,-0.336745,-0.817769,0.336745,0.6055
40000,0,-0.451992,-2.47251,0.451992,0.573
42000,1,2.31508,-0.579346,0.093422,0.6495
44000,1,1.56313,-2.90112,0.508989,0.635
46000,0,-0.209756,-2.15178,0.209756,0.5675
48000,2,-2.19261,-2.92517,1.93566,0.6055
50000,0,-2.29448,-4.85521,2.29448,0.6325
52000,1,0.449171,-2.38337,0.65777,0.642
54000,0,-0.39531,-1.12044,0.39531,0.609
56000,0,-0.103285,-4.3837,0.103285,0.657
58000,0,-0.538449,-0.933599,0.538449,0.67
60000,0,-0.691483,-1.01429,0.691483,0.567
62000,0,-1.4499,-3.265,1.4499,0.6305
64000,0,-0.497911,-1.0459,0.497911,0.597
66000,0,-0.614266,-0.883432,0.614266,0.5755
68000,0,-0.222369,-2.8292,0.222369,0.572
70000,0,-0.0520774,-0.3941,0.0520774,0.627
72000,0,-0.164836,-2.40767,0.164836,0.5955
74000,0,-1.31226,-2.83726,1.31226,0.6045
76000,0,-0.103638,-1.1015,0.103638,0.5965
78000,0,-0.405663,-2.52801,0.405663,0.5935
80000,1,-0.0332674,-4.50293,0.922453,0.6035
82000,0,-0.41445,-2.30986,0.41445,0.5985
84000,0,-0.349836,-2.64577,0.349836,0.6305
86000,1,2.0698,-2.51657,0.2904,0.6655
88000,1,0.945208,-2.95906,0.468968,0.618
90000,0,-0.279546,-2.35124,0.279546,0.586
92000,1,-2.33944,-3.62348,1.53867,0.6285
94000,0,-0.338619,-0.785043,0.338619,0.588
96000,1,-1.88583,-3.51783,2.23465,0.5935
98000,4,-0.81608,-2.76418,2.62822,0.6455
100000,1,-0.222433,-3.14858,0.778263,0.689
102000,4,1.44947,-3.38467,4.80932,0.624
104000,0,-0.0377693,-1.5323,0.0377693,0.693
106000,0,-1.10235,-2.47366,1.10235,0.5975
108000,0,-0.21369,-2.03359,0.21369,0.645
110000,0,-0.38758,-1.0033,0.38758,0.632
112000,0,-0.0242708,-1.49895,0.0242708,0.647
114000,0,-0.606581,-1.16132,0.606581,0.599
116000,0,-0.0315406,-1.639,0.0315406,0.638
118000,1,0.60768,-2.01875,0.854745,0.577
120000,0,-0.190349,-2.3446,0.190349,0.638
122000,0,-0.0289812,-0.829158,0.0289812,0.622
124000,0,-0.392136,-2.50673,0.392136,0.6265
126000,0,-0.100291,-0.942522,0.100291,0.573
128000,0,-0.439401,-0.81105,0.439401,0.6555
130000,0,-0.191263,-1.51507,0.191263,0.618
132000,0,-0.680661,-0.980316,0.680661,0.5995
134000,0,-0.557723,-1.03887,0.557723,0.6375
136000,0,-0.257737,-1.38482,0.257737,0.583
138000,0,-0.275061,-1.77212,0.275061,0.6445
140000,1,1.5109,-2.91877,0.948872,0.617
142000,1,-1.03357,-2.14262,1.48883,0.6045
144000,2,-0.0408268,-3.4424,1.43767,0.609
146000,0,-0.191163,-1.28727,0.191163,0.587
148000,0,-0.38329,-2.44142,0.38329,0.612
150000,1,0.945306,-1.45399,0.937887,0.5925
152000,2,3.49816,-2.63192,0.364628,0.6515
154000,1,0.501707,-2.52269,0.261148,0.6035
156000,0,-2.18273,-0.902515,2.18273,0.59
158000,2,2.08422,-1.02131,1.40375,0.6185
160000,1,1.05271,-0.769115,1.32673,0.652
162000,3,1.63151,-4.25313,0.696532,0.6615
164000,0,-0.289414,-2.49821,0.289414,0.691
166000,0,-0.648797,-2.01898,0.648797,0.555
