generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,sp25,sp26,0,0.032,0,0.005,0
2000,sp25,sp26,0,0.0800738,0,0.412465,0
4000,sp25,sp26,0,0.811896,0,0.491563,0
6000,sp25,sp26,0,0.221521,0,0.257946,0
8000,sp25,sp26,0,0.148424,0,0.0129774,0
10000,sp25,sp26,0,0.0724974,0,0.198841,0
12000,sp25,sp26,0,0.0110799,0,0.0507948,0
14000,sp25,sp26,0,0.602133,0,0.370541,0
16000,sp25,sp26,0,0.0128139,0,0.15877,0
18000,sp25,sp26,0,0.100032,0,0.0625797,0
18000,sp26,NA,0.947406,0.143726,0,0.293039,0
18000,sp26,NA,2.68091,0.544301,0,3.29008,0
20000,sp25,sp26,0,0.163229,0,0.224474,0
20000,sp25,NA,0.825462,0.294688,0,0.66917,0
22000,sp25,sp26,0,0.498716,0,0.0666646,0
24000,sp25,sp26,0,0.0524919,0,0.128545,0
26000,sp25,sp26,0,0.00645928,0,0.000510887,0
28000,sp25,sp26,0,0.0479954,0,0.258243,0
30000,sp25,sp26,0,0.0681998,0,0.0684163,0
30000,sp25,NA,2.52659,0.260022,0,0.984375,0
32000,sp25,sp26,0,0.0453582,0,0.258893,0
34000,sp25,sp26,0,0.537504,0,0.181868,0
34000,sp25,NA,0.76535,0.12938,0,0.681874,0
34000,sp26,NA,0.72947,0.403887,0,0.252891,0
34000,sp25,NA,0.0824417,0.607731,0,0.66798,0
36000,sp25,sp26,0,0.194803,0,0.304498,0
38000,sp25,sp26,0,0.59378,0,0.324665,0
40000,sp25,sp26,0,0.373773,0,0.378334,0
40000,sp25,NA,1.98029,1.1406,0,0.380077,0
40000,sp26,NA,2.44553,0.921725,0,0.144918,0
40000,sp25,NA,2.21161,0.241746,0,0.291515,0
42000,sp25,sp26,0,0.0879865,0,0.0367731,0
42000,sp26,NA,2.09502,0.40989,0,0.0553523,0
44000,sp25,sp26,0,0.103019,0,0.0207618,0
46000,sp25,sp26,0,0.0289855,0,0.205795,0
48000,sp25,sp26,0,0.106106,0,0.0502685,0
48000,sp25,NA,2.09284,0.0979455,0,0.493916,0
48000,sp25,NA,2.34411,0.251654,0,0.0135348,0
50000,sp25,sp26,0,0.105206,0,0.125666,0
52000,sp25,sp26,0,0.132048,0,0.0246659,0
54000,sp25,sp26,0,0.0101466,0,0.345894,0
56000,sp25,sp26,0,0.137006,0,0.395439,0
58000,sp25,sp26,0,0.0565293,0,0.0869381,0
58000,sp25,NA,0.175106,0.0134799,0,0.539485,0
60000,sp25,sp26,0,0.103386,0,0.182861,0
62000,sp25,sp26,0,0.73934,0,1.05161,0
62000,sp26,NA,1.4936,0.750487,0,0.456057,0
62000,sp26,NA,0.984792,0.571202,0,0.313057,0
62000,sp26,NA,0.181698,0.347428,0,0.181118,0
62000,sp26,NA,1.52908,0.438351,0,3.67883,0
62000,sp25,NA,0.190259,1.08757,0,0.577421,0
62000,sp25,NA,0.684927,0.731847,0,1.13925,0
62000,sp25,NA,0.797509,0.44505,0,0.0406362,0
64000,sp25,sp26,0,0.147914,0,0.187269,0
66000,sp25,sp26,0,0.277838,0,0.00972976,0
68000,sp25,sp26,0,0.0032954,0,0.0352515,0
70000,sp25,sp26,0,0.20082,0,0.0792425,0
72000,sp25,sp26,0,0.0905656,0,0.00716882,0
74000,sp25,sp26,0,0.0379976,0,0.214778,0
76000,sp25,sp26,0,0.341154,0,0.0302246,0
78000,sp25,sp26,0,0.0215536,0,0.0657291,0
80000,sp25,sp26,0,0.765374,0,0.341567,0
80000,sp26,NA,0.210902,2.00421,0,0.0292865,0
80000,sp26,NA,0.25501,0.878462,0,0.389788,0
80000,sp26,NA,1.57309,0.340468,0,0.167946,0
80000,sp25,NA,1.56734,0.184045,0,2.07036,0
80000,sp25,NA,0.788518,0.606528,0,0.0234589,0
82000,sp25,sp26,0,0.0415454,0,0.280755,0
84000,sp25,sp26,0,0.0430988,0,0.0588653,0
86000,sp25,sp26,0,0.193631,0,0.454891,0
88000,sp25,sp26,0,0.105247,0,0.0889281,0
90000,sp25,sp26,0,0.01168,0,0.0553791,0
92000,sp25,sp26,0,0.0620405,0,0.0192677,0
94000,sp25,sp26,0,0.741039,0,0.0379514,0
94000,sp25,NA,2.43791,0.0400243,0,2.60625,0
94000,sp26,NA,0.560691,0.41339,0,0.429002,0
96000,sp25,sp26,0,0.125009,0,0.0677988,0
98000,sp25,sp26,0,0.293827,0,0.0811754,0
100000,sp25,sp26,0,0.0599802,0,0.20342,0
102000,sp25,sp26,0,0.437742,0,0.0891964,0
104000,sp25,sp26,0,0.375299,0,0.731359,0
106000,sp25,sp26,0,0.0174193,0,0.014879,0
108000,sp25,sp26,0,0.397367,0,0.361221,0
110000,sp25,sp26,0,0.170738,0,0.0184199,0
112000,sp25,sp26,0,0.306071,0,0.231478,0
114000,sp25,sp26,0,0.116407,0,0.198733,0
116000,sp25,sp26,0,0.473529,0,0.0680082,0
118000,sp25,sp26,0,0.147893,0,0.0432992,0
120000,sp25,sp26,0,0.603521,0,1.28988,0
120000,sp26,NA,0.155017,0.726525,0,0.874254,0
122000,sp25,sp26,0,0.22142,0,0.159851,0
124000,sp25,sp26,0,0.228279,0,0.20355,0
126000,sp25,sp26,0,0.121951,0,0.194338,0
128000,sp25,sp26,0,0.166444,0,0.314354,0
130000,sp25,sp26,0,0.0688141,0,0.124141,0
132000,sp25,sp26,0,0.0386215,0,0.25074,0
132000,sp25,NA,2.28442,0.663215,0,0.410721,0
132000,sp26,NA,0.244771,0.145406,0,0.00228403,0
134000,sp25,sp26,0,0.439895,0,0.306561,0
136000,sp25,sp26,0,0.00919908,0,0.325626,0
138000,sp25,sp26,0,0.126447,0,0.0288565,0
140000,sp25,sp26,0,0.051549,0,0.208272,0
142000,sp25,sp26,0,0.0135338,0,0.0257612,0
142000,sp25,NA,1.18675,0.240527,0,0.292438,0
144000,sp25,sp26,0,0.0788248,0,0.0903721,0
146000,sp25,sp26,0,0.0270389,0,0.195471,0
146000,sp26,NA,2.17103,0.0314949,0,0.43359,0
146000,sp26,NA,0.804225,0.249571,0,2.60322,0
148000,sp25,sp26,0,0.0876414,0,0.0116411,0
148000,sp25,NA,1.31731,0.040162,0,0.410703,0
150000,sp25,sp26,0,0.162104,0,0.00203339,0
152000,sp25,sp26,0,0.73501,0,0.0157314,0
154000,sp25,sp26,0,0.00182736,0,0.0383454,0
156000,sp25,sp26,0,0.359563,0,0.0903441,0
156000,sp26,NA,0.569759,0.613325,0,0.628337,0
158000,sp25,sp26,0,0.23947,0,0.564641,0
158000,sp26,NA,0.257962,0.0410379,0,0.0258329,0
160000,sp25,sp26,0,0.0727904,0,0.360063,0
162000,sp25,sp26,0,0.242711,0,0.436922,0
164000,sp25,sp26,0,0.0337892,0,0.0439028,0
164000,sp26,NA,1.11331,0.195089,0,1.04526,0
166000,sp25,sp26,0,0.142102,0,0.0501033,0
166000,sp25,NA,1.9463,0.0564729,0,1.08651,0
168000,sp25,sp26,0,0.0594813,0,0.0478009,0
170000,sp25,sp26,0,0.0355978,0,0.0964348,0
172000,sp25,sp26,0,0.0139978,0,0.109364,0
174000,sp25,sp26,0,0.0684146,0,0.175264,0
176000,sp25,sp26,0,0.181762,0,0.131624,0
178000,sp25,sp26,0,0.103714,0,0.241278,0
180000,sp25,sp26,0,0.0773154,0,0.0268764,0
182000,sp25,sp26,0,0.17092,0,0.015643,0
184000,sp25,sp26,0,0.0134681,0,0.0561626,0
184000,sp26,NA,0.741333,0.118776,0,0.0774213,0
186000,sp25,sp26,0,0.0700676,0,0.0763212,0
188000,sp25,sp26,0,0.158816,0,0.327831,0
190000,sp25,sp26,0,0.296758,0,0.293935,0
192000,sp25,sp26,0,0.149561,0,0.0396509,0
194000,sp25,sp26,0,1.4139,0,0.621311,0
194000,sp26,NA,2.39311,2.84041,0,0.29084,0
194000,sp25,NA,0.355543,0.223123,0,1.69638,0
194000,sp25,NA,0.993218,0.387665,0,0.152736,0
194000,sp26,NA,0.0660901,0.185979,0,0.400009,0
194000,sp25,NA,1.27161,0.108146,0,0.713561,0
196000,sp25,sp26,0,0.218275,0,0.221176,0
198000,sp25,sp26,0,0.649992,0,0.114037,0
198000,sp26,NA,1.04924,0.207604,0,1.05877,0
198000,sp25,NA,1.30628,0.834354,0,0.796876,0
198000,sp25,NA,2.15365,0.53958,0,0.331018,0
200000,sp25,sp26,0,0.156301,0,0.0600992,0
200000,sp26,NA,1.80501,0.594373,0,0.33041,0
