generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,sp15,sp5,0,0.032,0,0.005,0
2000,sp15,sp5,0,0.0861883,0,0.000765205,0
4000,sp15,sp5,0,0.189035,0,0.0892232,0
4000,sp35,sp36,26.5406,0.114469,0,0.33469,0
6000,sp15,sp5,0,0.131476,0,0.0197422,0
8000,sp15,sp5,0,0.119204,0,0.010207,0
10000,sp15,sp5,0,0.121939,0,0.000977964,0
10000,sp43,sp44,24.9984,0.143257,0,0.0927078,0
12000,sp15,sp5,0,0.121512,0,0.0245176,0
14000,sp15,sp5,0,0.163816,0,0.0880655,0
16000,sp15,sp5,0,0.0949392,0,0.000848904,0
16000,sp13,NA,30.1655,0.132298,0,0.116879,0
18000,sp15,sp5,0,0.128923,0,0.046379,0
18000,sp40,sp41,25.6904,0.186192,0,0.0683967,0
20000,sp15,sp5,0,0.114652,0,0.00517311,0
20000,sp17,NA,28.425,0.0733383,0,0.0464869,0
20000,sp13,sp14,19.3182,0.13105,0,0.0799416,0
22000,sp15,sp5,0,0.133061,0,0.024816,0
24000,sp15,sp5,0,0.139607,0,0.0413433,0
24000,sp6,NA,30.1256,0.122563,0,0.134128,0
26000,sp15,sp5,0,0.116007,0,0.0352,0
28000,sp15,sp5,0,0.116874,0,0.000611468,0
28000,sp20,NA,29.8219,0.0522943,0,0.217608,0
28000,sp5,NA,24.726,0.110441,0,0.253691,0
28000,sp12,NA,25.189,0.0653091,0,0.0411689,0
30000,sp15,sp5,0,0.132819,0,0.00259436,0
32000,sp15,sp5,0,0.155072,0,0.0380204,0
34000,sp15,sp5,0,0.0999778,0,0.00202821,0
36000,sp15,sp5,0,0.119185,0,0.0427728,0
36000,sp30,NA,30.7198,0.301834,0,0.164698,0
38000,sp15,sp5,0,0.155596,0,0.0974439,0
40000,sp15,sp5,0,0.157886,0,0.078264,0
42000,sp15,sp5,0,0.177766,0,0.140301,0
44000,sp15,sp5,0,0.0847605,0,0.00044716,0
46000,sp15,sp5,0,0.0863708,0,0.00778849,0
48000,sp15,sp5,0,0.100405,0,0.00378852,0
50000,sp15,sp5,0,0.14028,0,0.0554113,0
52000,sp15,sp5,0,0.0926187,0,0.0165848,0
54000,sp15,sp5,0,0.152774,0,0.0552167,0
56000,sp15,sp5,0,0.0965584,0,0.00499126,0
56000,sp4,sp7,7.37609,0.18799,0,0.00522551,0
58000,sp15,sp5,0,0.101649,0,0.0127992,0
60000,sp15,sp5,0,0.0930282,0,0.0129177,0
62000,sp15,sp5,0,0.167382,0,0.0843876,0
62000,sp14,NA,29.3974,0.0727091,0,0.141715,0
64000,sp15,sp5,0,0.0846609,0,0.00709756,0
66000,sp15,sp5,0,0.108632,0,0.0084184,0
68000,sp15,sp5,0,0.134833,0,0.0565819,0
70000,sp15,sp5,0,0.132673,0,0.0712643,0
72000,sp15,sp5,0,0.141689,0,0.0432688,0
74000,sp15,sp5,0,0.089432,0,0.00480237,0
74000,sp7,sp25,18.7108,0.181357,0,0.00440219,0
76000,sp15,sp5,0,0.105811,0,0.00377398,0
78000,sp15,sp5,0,0.111308,0,0.0010506,0
80000,sp15,sp5,0,0.141132,0,0.0304946,0
82000,sp15,sp5,0,0.0988865,0,0.000833326,0
84000,sp15,sp5,0,0.153324,0,0.0654551,0
86000,sp15,sp5,0,0.105728,0,0.00906205,0
86000,sp5,sp23,10.5793,0.187516,0,0.0293465,0
88000,sp15,sp5,0,0.117734,0,0.0294011,0
90000,sp15,sp5,0,0.117489,0,0.0305286,0
92000,sp15,sp5,0,0.101002,0,0.0251903,0
92000,sp40,sp3,11.8086,0.341436,0,0.369176,0
94000,sp15,sp5,0,0.0891814,0,0.018677,0
94000,sp49,sp30,28.552,0.563017,0,0.728072,0
96000,sp15,sp5,0,0.113483,0,0.00341958,0
98000,sp15,sp5,0,0.0971929,0,0.012687,0
100000,sp15,sp5,0,0.114621,0,0.0062108,0
102000,sp15,sp5,0,0.135513,0,0.0195928,0
102000,sp15,sp43,17.7051,0.281235,0,0.110017,0
104000,sp15,sp5,0,0.115442,0,0.00726858,0
106000,sp15,sp5,0,0.126521,0,0.0112446,0
106000,sp1,NA,13.8617,0.0716002,0,0.117733,0
108000,sp15,sp5,0,0.123263,0,0.0399968,0
110000,sp15,sp5,0,0.153779,0,0.0217324,0
110000,sp10,NA,26.8204,0.0683825,0,0.0134624,0
110000,sp16,NA,27.7098,0.0375179,0,0.0613047,0
112000,sp15,sp5,0,0.124352,0,0.0158613,0
114000,sp15,sp5,0,0.125341,0,0.027181,0
114000,sp38,sp47,26.891,0.470524,0,0.0969098,0
116000,sp15,sp5,0,0.137764,0,0.0456234,0
116000,sp22,NA,28.9016,0.0874023,0,0.033958,0
118000,sp15,sp5,0,0.14064,0,0.0548947,0
120000,sp15,sp5,0,0.101953,0,0.018934,0
122000,sp15,sp5,0,0.158887,0,0.0522187,0
124000,sp15,sp5,0,0.186228,0,0.107178,0
126000,sp15,sp5,0,0.0878147,0,0.00324743,0
128000,sp15,sp5,0,0.111644,0,0.00691866,0
130000,sp15,sp5,0,0.107671,0,0.00978358,0
130000,sp47,sp42,29.7974,0.561926,0,0.075115,0
132000,sp15,sp5,0,0.110978,0,0.0109672,0
132000,sp9,NA,24.5011,0.0140802,0,0.0819668,0
132000,sp4,NA,26.3247,0.0598982,0,0.244869,0
132000,sp2,NA,17.1936,0.0633816,0,0.0558789,0
134000,sp15,sp5,0,0.13978,0,0.0550103,0
136000,sp15,sp5,0,0.127744,0,0.0400298,0
138000,sp15,sp5,0,0.159888,0,0.0368191,0
140000,sp15,sp5,0,0.138673,0,0.0184594,0
142000,sp15,sp5,0,0.0949249,0,0.02047,0
144000,sp15,sp5,0,0.126191,0,0.0233934,0
146000,sp15,sp5,0,0.106643,0,0.0254389,0
148000,sp15,sp5,0,0.126294,0,0.0226523,0
150000,sp15,sp5,0,0.108195,0,0.011639,0
152000,sp15,sp5,0,0.0957503,0,0.0432409,0
154000,sp15,sp5,0,0.101405,0,0.0149746,0
156000,sp15,sp5,0,0.0943551,0,0.00913247,0
158000,sp15,sp5,0,0.137676,0,0.0216054,0
158000,sp12,NA,24.3453,0.0882068,0,0.083814,0
158000,sp16,NA,27.3365,0.0890206,0,0.298487,0
160000,sp15,sp5,0,0.116543,0,0.0314311,0
162000,sp15,sp5,0,0.117322,0,0.00687098,0
164000,sp15,sp5,0,0.134966,0,0.0450065,0
166000,sp15,sp5,0,0.104835,0,0.00120784,0
168000,sp15,sp5,0,0.126447,0,0.0333193,0
170000,sp15,sp5,0,0.080735,0,0.00773395,0
172000,sp15,sp5,0,0.133799,0,0.0745658,0
174000,sp15,sp5,0,0.148949,0,0.0335508,0
174000,sp5,sp23,7.92958,0.0899512,0,0.0364092,0
176000,sp15,sp5,0,0.115198,0,0.0516625,0
178000,sp15,sp5,0,0.128008,0,0.0363398,0
178000,sp6,NA,30.7541,0.02656,0,0.122946,0
180000,sp15,sp5,0,0.115276,0,0.0566064,0
182000,sp15,sp5,0,0.131413,0,0.0221084,0
184000,sp15,sp5,0,0.125338,0,0.0216995,0
186000,sp15,sp5,0,0.123136,0,0.0479894,0
188000,sp15,sp5,0,0.123451,0,0.0303842,0
190000,sp15,sp5,0,0.164177,0,0.0687266,0
192000,sp15,sp5,0,0.0878511,0,0.00325982,0
192000,sp5,sp23,18.3842,0.256203,0,0.153744,0
192000,sp49,sp50,29.5262,0.225673,0,0.0724057,0
194000,sp15,sp5,0,0.0970316,0,0.00917267,0
196000,sp15,sp5,0,0.10771,0,0.00797983,0
198000,sp15,sp5,0,0.121239,0,0.00609865,0
200000,sp15,sp5,0,0.155226,0,0.0739217,0
202000,sp15,sp5,0,0.15339,0,0.0714136,0
204000,sp15,sp5,0,0.139007,0,0.0300558,0
204000,sp14,NA,23.8594,0.00578096,0,0.0334711,0
206000,sp15,sp5,0,0.118073,0,0.0164103,0
208000,sp15,sp5,0,0.127165,0,0.018924,0
210000,sp15,sp5,0,0.154854,0,0.0641403,0
210000,sp7,NA,26.6348,0.0863483,0,0.159713,0
212000,sp15,sp5,0,0.121418,0,0.0105324,0
214000,sp15,sp5,0,0.100414,0,0.00126256,0
214000,sp40,sp8,20.3189,0.228777,0,0.0086406,0
216000,sp15,sp5,0,0.0862042,0,0.0137513,0
218000,sp15,sp5,0,0.100274,0,0.0064287,0
220000,sp15,sp5,0,0.111218,0,0.0461326,0
222000,sp15,sp5,0,0.105849,0,0.0012244,0
222000,sp18,NA,28.5017,0.173069,0,0.00428886,0
