generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-183.008,1,0
2000,0,-0.0795461,-158.543,0.0795461,0.4135
4000,1,-0.993472,-162.334,1.94053,0.4705
6000,0,-0.186921,-158.355,0.186921,0.524
8000,0,-0.0919607,-157.904,0.0919607,0.5365
10000,1,0.993107,-158.436,1.10596,0.506
12000,0,-0.763643,-157.965,0.763643,0.439
14000,0,-0.310753,-159.568,0.310753,0.4135
16000,1,0.439111,-157.973,1.58856,0.506
18000,1,-0.699845,-159.284,2.69828,0.4665
20000,2,3.50167,-158.204,1.45898,0.651
22000,0,-0.453172,-158.356,0.453172,0.4535
24000,1,1.71338,-159.096,0.273689,0.519
26000,0,-0.63495,-158.272,0.63495,0.5925
28000,3,4.11077,-157.953,2.01017,0.447
30000,0,-0.303363,-159.022,0.303363,0.4575
32000,0,-0.337004,-159.598,0.337004,0.417
34000,0,-1.72805,-157.722,1.72805,0.4995
36000,1,-0.667634,-159.389,1.52081,0.5515
38000,0,-0.34428,-159.958,0.34428,0.5605
40000,0,-0.0547966,-159.282,0.0547966,0.4825
42000,0,-0.15135,-161.871,0.15135,0.4355
44000,0,-0.152134,-158.677,0.152134,0.469
46000,0,-0.0073972,-158.967,0.0073972,0.508
48000,0,-0.356929,-157.753,0.356929,0.5215
50000,0,-0.268432,-158.613,0.268432,0.47
52000,0,-0.809859,-158.857,0.809859,0.4205
54000,0,-0.129122,-159.02,0.129122,0.482
56000,1,2.09941,-157.925,0.230654,0.4315
58000,0,-0.504076,-157.984,0.504076,0.5055
60000,0,-0.0421507,-158.583,0.0421507,0.474
62000,1,-0.566786,-160.972,2.78225,0.5435
64000,0,-0.0308025,-159.134,0.0308025,0.5145
66000,0,-0.700356,-157.714,0.700356,0.4205
68000,0,-0.133191,-158.631,0.133191,0.381
70000,0,-0.347913,-159.37,0.347913,0.444
72000,0,-0.0599669,-158.581,0.0599669,0.4895
74000,1,0.0298317,-155.96,2.34053,0.4695
76000,0,-1.58462,-157.664,1.58462,0.464
78000,0,-0.298496,-157.717,0.298496,0.437
80000,0,-0.0794064,-158.731,0.0794064,0.3845
82000,0,-0.400429,-157.725,0.400429,0.386
84000,0,-0.0610216,-159.023,0.0610216,0.428
86000,1,1.43276,-157.857,0.769533,0.497
88000,0,-0.105597,-158.046,0.105597,0.4635
90000,0,-0.360753,-158.079,0.360753,0.441
92000,1,-1.49073,-162.119,1.025,0.5095
94000,1,-5.563,-158.836,1.96063,0.4405
96000,0,-0.051847,-157.764,0.051847,0.4245
98000,0,-0.201977,-158.234,0.201977,0.539
100000,0,-0.0731016,-157.782,0.0731016,0.4735
102000,1,-0.0139484,-159.428,1.27391,0.3915
104000,0,-1.28811,-157.8,1.28811,0.4235
106000,1,0.662273,-157.08,1.68877,0.477
108000,0,-0.0610147,-158.263,0.0610147,0.3795
110000,2,5.6052,-160.291,0.166797,0.423
112000,0,-0.384332,-158.054,0.384332,0.5285
114000,1,-0.677308,-155.908,0.985256,0.5435
116000,1,2.02069,-159.59,0.697654,0.4605
118000,0,-1.74731,-158.61,1.74731,0.5245
120000,0,-0.454655,-158.224,0.454655,0.5525
122000,0,-0.205786,-159.458,0.205786,0.4345
124000,0,-0.631406,-160.452,0.631406,0.4995
126000,0,-0.868876,-158.52,0.868876,0.4545
128000,0,-0.560996,-157.72,0.560996,0.42
130000,1,-1.31982,-155.849,1.25165,0.471
132000,3,5.94885,-157.013,1.36325,0.5655
134000,0,-0.896467,-158.6,0.896467,0.466
136000,0,-0.251293,-158.236,0.251293,0.4485
138000,0,-0.427739,-160.12,0.427739,0.476
140000,0,-0.131059,-158.898,0.131059,0.519
142000,0,-0.906679,-158.879,0.906679,0.4765
144000,0,-1.03464,-158.072,1.03464,0.4095
146000,0,-0.231503,-158.26,0.231503,0.4615
148000,0,-1.84576,-158.078,1.84576,0.456
150000,0,-1.0668,-157.767,1.0668,0.5435
152000,0,-0.0959808,-160.762,0.0959808,0.4945
154000,0,-0.428535,-158.081,0.428535,0.438
156000,0,-0.235776,-158.265,0.235776,0.407
158000,2,2.40423,-159.521,1.32056,0.606
160000,0,-0.332923,-158.124,0.332923,0.4585
162000,0,-0.304758,-157.864,0.304758,0.518
164000,0,-0.656052,-158.385,0.656052,0.4815
166000,0,-0.546234,-157.639,0.546234,0.4675
168000,0,-1.64741,-158.12,1.64741,0.3985
170000,0,-0.625527,-159.761,0.625527,0.5595
172000,0,-0.414339,-159.517,0.414339,0.4325
174000,1,2.5294,-159.697,0.161927,0.451
176000,0,-0.207826,-159.211,0.207826,0.4515
178000,1,0.900043,-158.745,1.66621,0.4875
180000,0,-1.34381,-159.571,1.34381,0.3795
182000,0,-0.497784,-158.31,0.497784,0.386
184000,0,-1.65032,-158.049,1.65032,0.445
186000,0,-1.36087,-158.559,1.36087,0.383
188000,0,-0.168962,-158.052,0.168962,0.4245
190000,0,-0.721975,-159.502,0.721975,0.4685
192000,2,0.926223,-157.083,1.99615,0.5335
194000,0,-0.257763,-158.085,0.257763,0.4845
196000,0,-0.24921,-157.711,0.24921,0.449
198000,0,-0.524244,-158.048,0.524244,0.467
200000,0,-0.0612612,-159.16,0.0612612,0.477
202000,0,-0.303389,-159.085,0.303389,0.397
204000,1,3.02549,-158.575,0.13653,0.493
206000,0,-1.67552,-157.859,1.67552,0.405
208000,0,-0.145254,-158.144,0.145254,0.4105
210000,1,1.39735,-160.115,0.647159,0.424
212000,0,-0.221342,-157.988,0.221342,0.484
214000,1,1.38146,-158.724,0.709757,0.4195
216000,0,-0.0684549,-159.435,0.0684549,0.478
218000,0,-0.105303,-157.829,0.105303,0.577
220000,0,-1.45551,-159.146,1.45551,0.4065
222000,2,3.4636,-157.323,0.941967,0.5815
224000,0,-0.980377,-158.012,0.980377,0.449
226000,0,-0.358582,-158.241,0.358582,0.532
228000,0,-0.854823,-159.199,0.854823,0.459
230000,1,-0.209694,-158.594,2.39791,0.4215
232000,0,-0.839255,-157.929,0.839255,0.508
234000,0,-1.06136,-158.672,1.06136,0.449
236000,1,1.93515,-159.745,0.0988272,0.423
238000,0,-0.030454,-157.948,0.030454,0.601
240000,0,-0.0233995,-158.221,0.0233995,0.481
242000,0,-0.708511,-162.195,0.708511,0.4615
244000,4,4.53464,-159.279,2.05877,0.595
246000,0,-0.174718,-157.632,0.174718,0.5305
248000,0,-0.671587,-158.583,0.671587,0.421
250000,0,-0.325906,-161.09,0.325906,0.4145
252000,0,-0.228383,-157.711,0.228383,0.462
254000,1,-1.02583,-157.33,0.971377,0.474
256000,0,-1.36841,-157.848,1.36841,0.439
258000,0,-1.32034,-157.628,1.32034,0.4295
260000,0,-0.145908,-159.518,0.145908,0.403
262000,3,6.597,-156.73,2.80142,0.4635
264000,0,-1.04005,-157.754,1.04005,0.5935
266000,0,-0.832087,-157.788,0.832087,0.583
268000,0,-0.833332,-159.636,0.833332,0.3975
270000,0,-0.629008,-158.329,0.629008,0.5125
272000,0,-1.28312,-159.499,1.28312,0.4015
274000,0,-0.213882,-158.847,0.213882,0.5125
276000,0,-1.03643,-160.561,1.03643,0.431
278000,0,-0.440492,-159.323,0.440492,0.488
280000,0,-0.717776,-157.856,0.717776,0.386
282000,3,6.10709,-157.746,1.637,0.491
284000,0,-1.28485,-158.958,1.28485,0.568
286000,0,-0.944246,-159.809,0.944246,0.4145
288000,0,-0.412567,-159.164,0.412567,0.4115
290000,1,0.594739,-158.744,0.772622,0.479
292000,0,-0.245675,-158.329,0.245675,0.441
294000,0,-0.446361,-157.852,0.446361,0.419
296000,0,-0.184878,-158.509,0.184878,0.464
298000,3,2.12822,-157.484,1.13784,0.5355
300000,0,-0.599699,-159.27,0.599699,0.42
302000,0,-0.0588516,-158.369,0.0588516,0.364
304000,0,-0.39191,-157.805,0.39191,0.3945
306000,0,-0.132874,-158.235,0.132874,0.417
308000,0,-0.302063,-158.287,0.302063,0.431
310000,0,-0.654758,-158.642,0.654758,0.3715
312000,0,-1.6149,-158.287,1.6149,0.4565
314000,0,-0.674366,-158.265,0.674366,0.4455
316000,0,-0.366548,-157.783,0.366548,0.415
318000,0,-0.134287,-157.748,0.134287,0.4045
320000,0,-0.00354221,-158.318,0.00354221,0.397
322000,0,-0.53957,-161.127,0.53957,0.408
324000,0,-0.0132468,-157.815,0.0132468,0.404
326000,0,-0.2343,-159.466,0.2343,0.4785
328000,1,2.54098,-158.359,0.136915,0.4795
330000,0,-0.0407247,-159.289,0.0407247,0.429
332000,0,-0.576443,-160.499,0.576443,0.422
334000,0,-0.649082,-157.675,0.649082,0.5345
336000,0,-1.66901,-158.92,1.66901,0.472
338000,0,-0.174853,-159.09,0.174853,0.4045
340000,0,-1.55824,-158.45,1.55824,0.4795
342000,0,-0.246695,-160.586,0.246695,0.427
344000,0,-0.74994,-158.929,0.74994,0.429
346000,0,-1.66207,-157.918,1.66207,0.4505
348000,0,-0.308764,-159.187,0.308764,0.4425
350000,0,-0.625166,-158.251,0.625166,0.4045
352000,0,-0.768046,-158.451,0.768046,0.47
354000,0,-0.308703,-157.974,0.308703,0.481
356000,0,-0.353692,-158.952,0.353692,0.433
358000,0,-0.080315,-158.915,0.080315,0.665
360000,0,-0.283334,-158.694,0.283334,0.425
362000,0,-0.0422761,-157.702,0.0422761,0.4955
364000,0,-1.01865,-157.64,1.01865,0.4085
366000,0,-0.510489,-157.778,0.510489,0.442
368000,2,3.70346,-159.531,0.282455,0.4775
370000,0,-1.06379,-157.706,1.06379,0.417
372000,1,0.166859,-158.648,2.03445,0.459
374000,0,-0.171064,-158.221,0.171064,0.4925
376000,0,-3.26886,-157.836,3.26886,0.4945
378000,2,1.64926,-159.018,1.02516,0.603
380000,0,-0.367661,-159.788,0.367661,0.485
382000,0,-0.698505,-158.394,0.698505,0.377
384000,0,-1.56121,-158.911,1.56121,0.5035
386000,0,-1.23943,-159.399,1.23943,0.4465
388000,0,-0.0128061,-158.194,0.0128061,0.42
390000,0,-0.984786,-159.254,0.984786,0.5135
392000,0,-0.776487,-157.822,0.776487,0.568
394000,0,-0.429092,-159.459,0.429092,0.405
396000,0,-0.505771,-157.691,0.505771,0.4795
398000,0,-2.27918,-158.262,2.27918,0.4655
400000,0,-0.0629858,-159.201,0.0629858,0.4145
402000,1,0.073965,-158.795,0.781219,0.4555
404000,0,-0.642314,-157.653,0.642314,0.4595
406000,0,-0.0559108,-159.34,0.0559108,0.4545
408000,0,-0.320721,-157.996,0.320721,0.41
410000,0,-0.188052,-157.73,0.188052,0.489
412000,2,1.68881,-154.97,1.09103,0.5175
414000,0,-1.21886,-157.93,1.21886,0.4675
416000,3,2.35208,-157.073,3.88258,0.4355
418000,0,-0.0659001,-159.132,0.0659001,0.5055
420000,0,-0.379509,-158.119,0.379509,0.4365
422000,0,-0.0248286,-159.927,0.0248286,0.4335
