generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.032,0,0.00380811,0
2000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.00160508,0,0.0173701,0
2000,Aldabrachelys_grandidieri,NA,16.0828,0.022064,0,0.0533578,0
4000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0207895,0,0.0873589,0
4000,Aldabrachelys_grandidieri,NA,1.61775,0.10815,0,0.0499235,0
4000,Aldabrachelys_gigantea,NA,6.45586,0.0110608,0,0.111877,0
4000,Aldabrachelys_gigantea,NA,17.5441,0.0750354,0,0.00837065,0
6000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0629605,0,0.0355455,0
8000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0339847,0,0.00142939,0
8000,Aldabrachelys_gigantea,NA,18.0697,0.0108358,0,0.0550648,0
10000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0321184,0,0.0435103,0
10000,Aldabrachelys_gigantea,NA,4.18579,0.00214124,0,0.0609813,0
12000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0655439,0,0.074826,0
14000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.023625,0,0.00945076,0
14000,Aldabrachelys_grandidieri,NA,5.32472,0.0467048,0,0.0744917,0
14000,Aldabrachelys_grandidieri,NA,20.457,0.0953701,0,0.0984201,0
16000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.021398,0,0.0457922,0
18000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0802763,0,0.0113465,0
20000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.027615,0,0.0550019,0
22000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.00628853,0,0.00911433,0
24000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0170378,0,0.0258755,0
24000,Aldabrachelys_grandidieri,NA,10.8103,0.00447712,0,0.00391223,0
24000,Aldabrachelys_grandidieri,NA,23.073,0.0091864,0,0.0223254,0
26000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.00439904,0,0.0417178,0
28000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.00270749,0,0.0101433,0
30000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0305291,0,0.0345768,0
30000,Aldabrachelys_grandidieri,NA,20.32,0.203389,0,0.0800624,0
30000,Aldabrachelys_grandidieri,NA,22.6259,0.0990647,0,0.0145497,0
30000,Aldabrachelys_gigantea,NA,6.18063,0.0468894,0,0.000330938,0
30000,Aldabrachelys_grandidieri,NA,2.01346,0.0387188,0,0.0198737,0
30000,Aldabrachelys_gigantea,NA,15.0675,0.117932,0,0.00104561,0
32000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.053242,0,0.0356365,0
32000,Aldabrachelys_gigantea,NA,8.39886,0.0850959,0,0.0452477,0
32000,Aldabrachelys_gigantea,NA,17.0174,0.00939427,0,0.046375,0
32000,Aldabrachelys_gigantea,NA,15.8685,0.0204453,0,0.20755,0
34000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.00882593,0,0.00991062,0
36000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0220639,0,0.0223172,0
36000,Aldabrachelys_grandidieri,NA,21.0217,0.14665,0,0.00910364,0
38000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0113874,0,0.0282501,0
38000,Aldabrachelys_grandidieri,NA,3.40966,0.0589522,0,0.0904704,0
40000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0211559,0,0.00244669,0
40000,Aldabrachelys_grandidieri,NA,19.0711,0.110205,0,0.257427,0
42000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0107541,0,0.000322923,0
44000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.034652,0,0.00273338,0
46000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0259195,0,0.0115045,0
48000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0191105,0,0.0858184,0
48000,Aldabrachelys_gigantea,NA,13.7657,0.0399267,0,0.0232794,0
50000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.00689475,0,0.0192254,0
52000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0379775,0,0.00406477,0
52000,Aldabrachelys_grandidieri,NA,7.67752,0.0330642,0,0.0157778,0
52000,Aldabrachelys_gigantea,NA,10.3532,0.0384769,0,0.00115232,0
52000,Aldabrachelys_grandidieri,NA,22.7185,0.0584453,0,0.0393851,0
54000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0479765,0,0.0553081,0
56000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0157765,0,0.0412428,0
56000,Aldabrachelys_grandidieri,NA,1.69948,0.0409321,0,0.012215,0
58000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0135386,0,0.00111308,0
60000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.073885,0,0.0823407,0
62000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0222962,0,0.0249251,0
64000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.00302088,0,0.0438655,0
66000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0201572,0,0.00779112,0
68000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0302871,0,0.0113643,0
70000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.00379218,0,0.0331732,0
70000,Aldabrachelys_gigantea,NA,6.77169,0.0639452,0,0.110638,0
72000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.00454574,0,0.0487846,0
74000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0923755,0,0.06297,0
76000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0117364,0,0.0139298,0
78000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.026009,0,0.0123124,0
78000,Aldabrachelys_grandidieri,NA,12.5338,0.410203,0,0.000110503,0
78000,Aldabrachelys_grandidieri,NA,17.6461,0.0767869,0,0.107359,0
78000,Aldabrachelys_grandidieri,NA,22.4956,0.0174391,0,0.00898342,0
78000,Aldabrachelys_gigantea,NA,20.4655,0.124762,0,0.230437,0
80000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0861423,0,0.0180381,0
82000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0907293,0,0.059425,0
82000,Aldabrachelys_grandidieri,NA,8.95415,0.0790784,0,0.12518,0
82000,Aldabrachelys_gigantea,NA,18.468,0.00386244,0,0.0683008,0
84000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0289272,0,0.00421249,0
84000,Aldabrachelys_gigantea,NA,4.12909,0.0012457,0,0.069931,0
86000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0736028,0,0.0133406,0
86000,Aldabrachelys_grandidieri,NA,7.37915,0.0509591,0,0.024576,0
88000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.00354518,0,0.0188384,0
88000,Aldabrachelys_grandidieri,NA,12.6099,0.0216109,0,0.022872,0
90000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.00058115,0,0.00696419,0
92000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.00864308,0,0.00911274,0
94000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.000360965,0,0.0161922,0
94000,Aldabrachelys_grandidieri,NA,14.7296,0.0289792,0,0.0260923,0
94000,Aldabrachelys_grandidieri,NA,22.449,0.231202,0,0.0564476,0
96000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0132729,0,0.00835055,0
98000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0183137,0,0.026223,0
100000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.030665,0,0.000428946,0
100000,Aldabrachelys_grandidieri,NA,14.1458,0.00435159,0,0.0257665,0
100000,Aldabrachelys_grandidieri,NA,22.4455,0.0457041,0,0.077758,0
102000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.00563379,0,0.00283635,0
102000,Aldabrachelys_grandidieri,NA,10.6117,0.0140386,0,0.0067804,0
104000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0117774,0,0.0048251,0
104000,Aldabrachelys_grandidieri,NA,13.2707,0.157189,0,0.00722521,0
106000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0117581,0,0.0121605,0
108000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0307686,0,0.000624233,0
108000,Aldabrachelys_gigantea,NA,19.3451,0.132129,0,0.00576004,0
110000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0152294,0,0.0163272,0
112000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.187731,0,0.127878,0
114000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.0688129,0,0.0144467,0
116000,Aldabrachelys_gigantea,Aldabrachelys_grandidieri,0,0.00763534,0,0.000580056,0
