generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-1.55783,1,1
2000,1,3.61107,-1.28374,0.40029,0.6195
4000,3,8.76316,-4.53873,1.69052,0.615
6000,0,-0.372655,-3.14265,0.372655,0.607
8000,1,3.40912,-1.52513,0.711158,0.652
10000,1,3.79828,-2.62407,0.353778,0.6445
12000,0,-0.165971,-3.86339,0.165971,0.637
14000,2,4.48785,-2.34054,1.65715,0.6295
16000,0,-0.555896,-2.46414,0.555896,0.687
18000,0,-0.799216,-3.62562,0.799216,0.6235
20000,0,-0.509482,-2.86012,0.509482,0.5975
22000,0,-1.11801,-0.737038,1.11801,0.6635
24000,2,8.58308,-1.38162,0.708765,0.627
26000,0,-0.358777,-2.08491,0.358777,0.5945
28000,0,-0.982463,-0.660854,0.982463,0.6355
30000,5,12.5632,-3.17466,4.69376,0.694
32000,3,7.94308,-2.78003,1.94216,0.6735
34000,0,-0.441282,-0.855522,0.441282,0.68
36000,1,2.26548,-1.9358,0.82693,0.6525
38000,1,2.33243,-2.7754,0.832396,0.6795
40000,1,-0.065135,-1.74584,0.733745,0.5905
42000,0,-2.95372,-0.568681,2.95372,0.6025
44000,0,-0.793226,-1.64814,0.793226,0.571
46000,0,-0.243411,-1.50463,0.243411,0.6455
48000,1,3.50334,-3.71204,0.647761,0.6425
50000,0,-0.170628,-1.17087,0.170628,0.566
52000,3,11.1083,-1.8012,1.38296,0.639
54000,0,-0.172866,-3.15893,0.172866,0.6055
56000,1,2.45616,-2.16438,1.81001,0.6015
58000,0,-0.898508,-0.713922,0.898508,0.675
60000,0,-0.333754,-4.12487,0.333754,0.655
62000,0,-0.142315,-1.78337,0.142315,0.676
64000,0,-0.0906734,-2.16555,0.0906734,0.657
66000,0,-0.461377,-1.18892,0.461377,0.6775
68000,0,-0.30571,-1.65894,0.30571,0.608
70000,1,1.39695,-2.93664,1.48005,0.5865
72000,0,-0.18942,-2.3975,0.18942,0.666
74000,0,-0.251089,-4.20096,0.251089,0.613
76000,0,-0.0169838,-1.10365,0.0169838,0.576
78000,4,5.30708,-3.59273,3.02361,0.6425
