generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Astrochelys_radiata,Astrochelys_yniphora,0,0.032,0,0.005,0
2000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0408679,0,0.0072054,0
4000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00242678,0,0.000912402,0
6000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0425516,0,0.0271081,0
8000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0528744,0,0.0111461,0
10000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0525634,0,0.0339027,0
10000,Astrochelys_yniphora,NA,3.86864,0.0119809,0,0.0878759,0
12000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00336969,0,0.0371319,0
14000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00745381,0,0.0569324,0
16000,Astrochelys_radiata,Astrochelys_yniphora,0,0.14018,0,0.0918466,0
16000,Astrochelys_yniphora,NA,0.172568,0.260867,0,0.179317,0
16000,Astrochelys_yniphora,NA,4.78085,0.275765,0,0.379469,0
18000,Astrochelys_radiata,Astrochelys_yniphora,0,0.338253,0,0.043097,0
18000,Astrochelys_yniphora,NA,3.311,0.0121054,0,0.0521418,0
18000,Astrochelys_radiata,NA,7.40776,0.0442122,0,0.151158,0
20000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00701844,0,0.0287597,0
22000,Astrochelys_radiata,Astrochelys_yniphora,0,0.012737,0,0.0311351,0
22000,Astrochelys_radiata,NA,12.0449,0.0691715,0,0.241997,0
22000,Astrochelys_radiata,NA,13.4596,0.0333608,0,0.115182,0
24000,Astrochelys_radiata,Astrochelys_yniphora,0,0.17711,0,0.0196915,0
24000,Astrochelys_radiata,NA,7.52289,0.0069471,0,0.278535,0
26000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0575772,0,0.00159386,0
28000,Astrochelys_radiata,Astrochelys_yniphora,0,0.039224,0,0.0700759,0
30000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0649411,0,0.0184872,0
30000,Astrochelys_yniphora,NA,4.49371,0.0653874,0,0.0202826,0
30000,Astrochelys_yniphora,NA,8.00051,0.0249939,0,0.0850973,0
32000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00178635,0,0.119966,0
32000,Astrochelys_yniphora,NA,10.5016,0.0534188,0,0.0187208,0
34000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0199994,0,0.0206762,0
34000,Astrochelys_radiata,NA,7.30386,0.106031,0,0.196299,0
36000,Astrochelys_radiata,Astrochelys_yniphora,0,0.114784,0,0.0530491,0
36000,Astrochelys_radiata,NA,10.4393,0.191386,0,0.0238802,0
36000,Astrochelys_yniphora,NA,2.84085,0.119232,0,0.0688043,0
38000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0424203,0,0.0523161,0
40000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0478864,0,0.0330558,0
42000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0222298,0,0.030761,0
44000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00429941,0,0.0204083,0
46000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00980479,0,0.0600611,0
48000,Astrochelys_radiata,Astrochelys_yniphora,0,0.119369,0,0.112994,0
48000,Astrochelys_yniphora,NA,6.47702,0.022284,0,0.0518659,0
48000,Astrochelys_yniphora,NA,13.1298,0.0714232,0,0.35022,0
48000,Astrochelys_radiata,NA,4.93847,0.000684117,0,0.0441769,0
48000,Astrochelys_radiata,NA,15.3027,0.0458679,0,0.053159,0
50000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0231194,0,0.033821,0
52000,Astrochelys_radiata,Astrochelys_yniphora,0,0.028402,0,0.00392019,0
54000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0253397,0,0.0132033,0
56000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0112745,0,0.0183873,0
56000,Astrochelys_yniphora,NA,2.27066,0.0412077,0,0.144068,0
56000,Astrochelys_yniphora,NA,7.2828,0.0719871,0,0.0559038,0
56000,Astrochelys_yniphora,NA,12.8634,0.0263743,0,0.240103,0
58000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0189664,0,0.0269893,0
60000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00676314,0,0.0331222,0
62000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0127408,0,0.0253805,0
64000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0328457,0,0.00258915,0
66000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0493796,0,0.114348,0
68000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0214695,0,0.00632813,0
68000,Astrochelys_yniphora,NA,4.14217,0.0790982,0,0.02086,0
68000,Astrochelys_yniphora,NA,9.91093,0.121174,0,0.124728,0
68000,Astrochelys_yniphora,NA,5.13653,0.0182328,0,0.0527762,0
68000,Astrochelys_radiata,NA,6.00891,0.0651294,0,0.0886981,0
70000,Astrochelys_radiata,Astrochelys_yniphora,0,0.119025,0,0.015796,0
70000,Astrochelys_radiata,NA,16.8288,0.062771,0,0.00459547,0
72000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00140902,0,0.00553041,0
72000,Astrochelys_yniphora,NA,5.81171,0.04139,0,0.0712124,0
74000,Astrochelys_radiata,Astrochelys_yniphora,0,0.104624,0,0.0742264,0
74000,Astrochelys_radiata,NA,17.204,0.0177496,0,0.0229288,0
74000,Astrochelys_radiata,NA,15.9818,0.293541,0,0.0265444,0
76000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0304961,0,0.0189766,0
78000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0069423,0,0.0100177,0
78000,Astrochelys_radiata,NA,17.16,0.0865944,0,0.10729,0
80000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0808815,0,0.0304921,0
82000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0153507,0,0.0128939,0
84000,Astrochelys_radiata,Astrochelys_yniphora,0,0.119343,0,0.0401297,0
86000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0374566,0,0.00849442,0
86000,Astrochelys_radiata,NA,2.24877,0.00991622,0,0.0787577,0
88000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0210602,0,0.00317274,0
90000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00815031,0,0.0078836,0
92000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00698632,0,0.0196967,0
94000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0269293,0,0.0896034,0
96000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00679183,0,0.0507901,0
98000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0238903,0,0.0177713,0
100000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0187557,0,0.0470576,0
102000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0260361,0,0.00110878,0
104000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0231759,0,0.0566713,0
106000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0324279,0,0.0158266,0
108000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0364457,0,0.0443714,0
110000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0985772,0,0.0454072,0
110000,Astrochelys_yniphora,NA,2.59787,0.0828659,0,0.419093,0
110000,Astrochelys_yniphora,NA,2.76767,0.149916,0,0.164268,0
110000,Astrochelys_yniphora,NA,5.24296,0.00984579,0,0.0625177,0
110000,Astrochelys_yniphora,NA,7.37009,0.0138464,0,0.0867222,0
110000,Astrochelys_radiata,NA,13.6095,0.00430457,0,0.18666,0
110000,Astrochelys_yniphora,NA,10.0178,0.0400195,0,0.000230648,0
112000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0843229,0,0.0176743,0
114000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00201538,0,0.0115215,0
116000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00195068,0,0.0133343,0
118000,Astrochelys_radiata,Astrochelys_yniphora,0,0.143163,0,0.0508239,0
118000,Astrochelys_radiata,NA,2.19237,0.0939364,0,0.0380533,0
120000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0020554,0,0.00780342,0
122000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0540903,0,0.0310229,0
122000,Astrochelys_yniphora,NA,2.15605,0.0403061,0,0.146866,0
122000,Astrochelys_radiata,NA,6.33786,0.149097,0,0.157555,0
124000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0285669,0,0.0312334,0
124000,Astrochelys_radiata,NA,3.89165,0.132361,0,0.00268801,0
126000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00501117,0,0.0220717,0
128000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0288844,0,0.0108269,0
128000,Astrochelys_radiata,NA,17.4125,0.0983205,0,0.104479,0
130000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0230829,0,0.0333724,0
130000,Astrochelys_radiata,NA,7.75234,0.0110129,0,0.0825061,0
132000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0362197,0,0.0353497,0
134000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0334422,0,0.0800044,0
136000,Astrochelys_radiata,Astrochelys_yniphora,0,0.040324,0,0.0234245,0
136000,Astrochelys_yniphora,NA,10.7984,0.231912,0,0.0840775,0
136000,Astrochelys_yniphora,NA,4.94964,0.103915,0,0.0713492,0
138000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0326979,0,0.117706,0
140000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00564586,0,0.107952,0
142000,Astrochelys_radiata,Astrochelys_yniphora,0,0.042261,0,0.0292699,0
144000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0509961,0,0.043695,0
146000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0600455,0,0.0578433,0
148000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0056295,0,0.0255766,0
150000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0401232,0,0.0752879,0
150000,Astrochelys_yniphora,NA,3.43063,0.0787793,0,0.231058,0
150000,Astrochelys_yniphora,NA,10.955,0.0708377,0,0.174673,0
152000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0217175,0,0.0278888,0
154000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0426154,0,0.0264688,0
156000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0248073,0,0.0653767,0
158000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0617407,0,0.0628632,0
160000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0238,0,0.0363808,0
160000,Astrochelys_yniphora,NA,4.6095,0.00252704,0,0.047832,0
162000,Astrochelys_radiata,Astrochelys_yniphora,0,0.111365,0,0.0142881,0
162000,Astrochelys_yniphora,NA,10.4247,0.0674732,0,0.210942,0
162000,Astrochelys_radiata,NA,9.40721,0.0415693,0,0.0252096,0
162000,Astrochelys_yniphora,NA,17.3809,0.0852684,0,0.032577,0
164000,Astrochelys_radiata,Astrochelys_yniphora,0,0.000141283,0,0.0225946,0
166000,Astrochelys_radiata,Astrochelys_yniphora,0,0.134104,0,0.0240614,0
168000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0621737,0,0.0603372,0
170000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0100042,0,0.0261376,0
170000,Astrochelys_yniphora,NA,13.2277,0.0208891,0,0.0480212,0
172000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0274082,0,0.00904567,0
174000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0298839,0,0.0103846,0
176000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0722816,0,0.0868926,0
178000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00646413,0,0.000709565,0
180000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0846894,0,0.0115072,0
182000,Astrochelys_radiata,Astrochelys_yniphora,0,0.190687,0,0.0305518,0
182000,Astrochelys_yniphora,NA,0.0473835,0.0132457,0,0.0430784,0
182000,Astrochelys_radiata,NA,16.0918,0.278705,0,0.00114316,0
184000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00948734,0,0.0663408,0
186000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0377501,0,0.0771663,0
188000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00857101,0,0.0986975,0
190000,Astrochelys_radiata,Astrochelys_yniphora,0,0.00667245,0,0.0360575,0
192000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0321968,0,0.00729758,0
194000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0197773,0,0.0606511,0
194000,Astrochelys_yniphora,NA,14.6943,0.058865,0,0.0680548,0
196000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0126559,0,0.00851718,0
198000,Astrochelys_radiata,Astrochelys_yniphora,0,0.0150306,0,0.00563896,0
198000,Astrochelys_radiata,NA,6.20702,0.0110403,0,0.00194116,0
