generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-1.23389,1,0
2000,0,-0.406534,-1.54615,0.406534,0.6005
4000,0,-0.385774,-0.209963,0.385774,0.607
6000,0,-0.0711411,-1.94169,0.0711411,0.616
8000,0,-0.54443,-1.96614,0.54443,0.578
10000,1,2.813,-2.47015,0.637024,0.635
12000,0,-0.499501,-1.45117,0.499501,0.6445
14000,0,-0.124561,-2.15469,0.124561,0.644
16000,2,-2.55392,-5.61998,1.71519,0.681
18000,2,4.14088,-2.97599,2.24161,0.7355
20000,0,-0.0892746,-1.23499,0.0892746,0.6545
22000,2,2.51917,-1.98937,2.13454,0.6195
24000,1,0.515664,-4.85131,1.33058,0.636
26000,0,-0.0116208,-2.00599,0.0116208,0.616
28000,0,-0.0370389,-2.81652,0.0370389,0.6325
30000,2,3.55349,-2.27984,3.38072,0.6955
32000,1,1.13866,-3.89096,2.55084,0.56
34000,1,-0.395146,-2.70565,2.09583,0.638
36000,2,3.99954,-4.53966,1.14152,0.6225
38000,0,-2.1833,-2.44772,2.1833,0.5995
40000,0,-0.320321,-2.17126,0.320321,0.7035
42000,0,-0.336267,-1.58284,0.336267,0.6555
44000,0,-0.00456252,-0.908786,0.00456252,0.604
46000,0,-0.980829,-2.27513,0.980829,0.672
48000,4,10.4311,-3.32964,1.29323,0.65
50000,0,-0.217075,-1.68028,0.217075,0.6395
52000,0,-0.490686,-1.1002,0.490686,0.6035
54000,0,-0.499513,-1.218,0.499513,0.599
56000,3,6.55112,-2.49684,1.37916,0.5865
58000,0,-0.510205,-1.41593,0.510205,0.6455
60000,0,-0.0473356,-1.3712,0.0473356,0.667
62000,0,-0.0694691,-1.24179,0.0694691,0.6045
64000,0,-0.415859,-1.21369,0.415859,0.627
66000,0,-0.126416,-3.97542,0.126416,0.615
68000,4,8.77411,-2.90292,3.54625,0.61
70000,1,2.48925,-3.99297,1.24149,0.6705
72000,1,1.51286,-1.25672,1.82705,0.6065
74000,2,4.85488,-4.03471,0.653722,0.6185
76000,0,-1.3117,-1.48362,1.3117,0.5845
78000,1,1.5866,-0.68934,1.05104,0.611
80000,0,-0.469273,-2.941,0.469273,0.621
82000,0,-0.0011867,-0.944179,0.0011867,0.575
84000,0,-0.0534475,-3.99893,0.0534475,0.638
86000,1,2.31548,-1.99281,1.23116,0.594
88000,0,-1.53822,-0.854726,1.53822,0.6195
90000,0,-0.229817,-0.603082,0.229817,0.666
92000,0,-0.613315,-0.944415,0.613315,0.6
94000,0,-0.128679,-3.26057,0.128679,0.597
96000,0,-0.0841645,-1.9473,0.0841645,0.608
98000,0,-0.131538,-1.28979,0.131538,0.6485
100000,0,-1.25705,-1.97407,1.25705,0.6695
102000,0,-0.450434,-0.964862,0.450434,0.5965
104000,0,-0.2988,-2.29996,0.2988,0.566
106000,0,-0.246911,-1.46611,0.246911,0.584
108000,0,-0.0445462,-2.17496,0.0445462,0.5815
110000,6,10.6656,-2.74099,4.66791,0.606
112000,0,-0.451435,-2.95833,0.451435,0.661
114000,0,-0.0637606,-0.557302,0.0637606,0.6165
116000,0,-0.0122287,-0.617389,0.0122287,0.5795
118000,1,3.10379,-4.04696,0.0686137,0.6235
120000,0,-0.418211,-0.432024,0.418211,0.647
122000,2,3.10539,-4.2607,1.25358,0.697
124000,1,1.37189,-2.8431,1.77408,0.6315
126000,0,-0.203952,-0.978651,0.203952,0.596
128000,1,0.698258,-1.27181,1.86235,0.642
130000,1,3.47116,-1.95091,0.0336252,0.7545
132000,0,-0.143686,-1.97037,0.143686,0.7135
134000,0,-0.110533,-3.02344,0.110533,0.5985
136000,2,1.36854,-3.24202,3.01264,0.6775
138000,0,-0.0646331,-4.07728,0.0646331,0.669
140000,0,-0.30204,-3.85761,0.30204,0.5985
142000,0,-0.271959,-1.9756,0.271959,0.6625
144000,0,-0.167046,-2.42522,0.167046,0.561
146000,0,-0.505576,-2.83522,0.505576,0.634
148000,0,-1.02062,-1.10573,1.02062,0.608
150000,2,-0.016365,-4.2988,3.84378,0.6195
152000,0,-0.415936,-1.49701,0.415936,0.687
154000,0,-0.334491,-1.93133,0.334491,0.592
156000,0,-0.722392,-2.55933,0.722392,0.5905
158000,0,-1.19978,-2.94902,1.19978,0.643
160000,1,3.68316,-1.72762,0.194527,0.657
162000,3,6.35618,-2.75146,2.58155,0.6625
