generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.032,0,0.005,0
2000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.224216,0,0.00898668,0
2000,Chelonoidis_chilensis,NA,10.5878,0.060567,0,0.107832,0
4000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.195875,0,0.0386109,0
6000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.0398114,0,0.0178246,0
6000,Chelonoidis_denticulatus,NA,13.6938,0.289533,0,0.394359,0
6000,Chelonoidis_abingdonii,Chelonoidis_chilensis,1.07547,0.333991,0,0.43047,0
6000,Chelonoidis_chilensis,NA,8.68276,0.411579,0,0.0336692,0
6000,Chelonoidis_abingdonii,Chelonoidis_chilensis,3.40477,0.359712,0,0.0239687,0
8000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.138287,0,0.0358335,0
8000,Chelonoidis_abingdonii,Chelonoidis_becki,6.66142,0.417549,0,0.048923,0
10000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.274966,0,0.140106,0
12000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.258424,0,0.238772,0
12000,Chelonoidis_abingdonii,Chelonoidis_duncanensis,11.6586,0.53467,0,0.0221939,0
14000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.0529523,0,0.0251179,0
14000,Chelonoidis_abingdonii,Chelonoidis_chilensis,4.3968,0.554647,0,0.357659,0
16000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.36069,0,0.15827,0
18000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.305149,0,0.0734295,0
20000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.0676878,0,0.073847,0
20000,Chelonoidis_abingdonii,Chelonoidis_becki,9.92862,0.741095,0,0.0588497,0
22000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.0804306,0,0.0805966,0
22000,Chelonoidis_abingdonii,Chelonoidis_chilensis,0.124983,0.28955,0,0.0952122,0
24000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.0529875,0,0.0548128,0
24000,Chelonoidis_abingdonii,Chelonoidis_becki,8.91486,0.425739,0,0.165868,0
26000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.2947,0,0.0871464,0
28000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.279515,0,0.15101,0
30000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.160738,0,0.0707223,0
32000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.244342,0,0.0252865,0
34000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.194073,0,0.0381182,0
34000,Chelonoidis_chathamensis,Chelonoidis_donfaustoi,14.4647,0.097699,0,0.285174,0
36000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.14687,0,0.0136295,0
36000,Chelonoidis_abingdonii,Chelonoidis_duncanensis,12.3118,0.289743,0,0.127175,0
38000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.0932436,0,0.0118301,0
38000,Chelonoidis_abingdonii,Chelonoidis_becki,10.2715,0.429301,0,0.333048,0
40000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.195434,0,0.0100707,0
42000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.274332,0,0.0546923,0
44000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.286201,0,0.101655,0
46000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.142555,0,0.0909232,0
46000,Chelonoidis_abingdonii,Chelonoidis_becki,9.33514,0.309838,0,0.0533064,0
48000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.216599,0,0.0399133,0
50000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.0629571,0,0.00586564,0
50000,Chelonoidis_abingdonii,Chelonoidis_becki,10.314,0.461658,0,0.0994923,0
52000,Chelonoidis_abingdonii,Chelonoidis_carbonarius,0,0.283198,0,0.190649,0
