generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-44.3522,1,0
2000,1,-1.16843,-32.8338,1.77208,0.496
4000,0,-0.468508,-33.5107,0.468508,0.5865
6000,4,-2.24413,-33.2867,2.18988,0.5905
8000,1,-0.171769,-30.5793,0.316542,0.671
10000,0,-0.122443,-34.0769,0.122443,0.579
12000,1,-3.40198,-33.2227,3.40759,0.4715
14000,1,-1.69919,-31.768,1.1576,0.6815
16000,0,-1.30755,-35.1274,1.30755,0.5585
18000,0,-0.181059,-34.7531,0.181059,0.531
20000,1,-0.795722,-31.6252,0.427118,0.6365
22000,1,-0.916059,-32.1421,1.18662,0.663
24000,1,-1.27129,-30.0866,1.22342,0.5065
26000,0,-0.0784374,-34.4269,0.0784374,0.643
28000,0,-0.399351,-34.1339,0.399351,0.4405
30000,0,-0.0849127,-34.1928,0.0849127,0.434
32000,0,-0.559084,-33.9821,0.559084,0.452
34000,1,-0.567522,-34.841,0.840995,0.4605
36000,1,-0.979633,-31.5749,1.2007,0.4755
38000,1,-1.24095,-30.1755,0.930219,0.675
40000,0,-0.539069,-33.4678,0.539069,0.487
42000,0,-1.21834,-34.2972,1.21834,0.4145
44000,0,-0.0972489,-34.209,0.0972489,0.438
46000,1,-0.798647,-30.9562,1.10249,0.5725
48000,0,-0.102204,-33.5929,0.102204,0.4975
50000,1,-0.407053,-28.0824,0.40607,0.6155
52000,0,-0.388284,-34.3879,0.388284,0.5685
54000,1,-0.843771,-31.9289,0.341175,0.458
56000,0,-0.0683564,-33.4803,0.0683564,0.6145
58000,0,-0.578214,-33.9871,0.578214,0.453
60000,2,-0.0546773,-29.7041,0.772166,0.529
62000,0,-0.682757,-34.2067,0.682757,0.6385
64000,1,-1.85274,-31.33,1.07563,0.45
66000,0,-0.389893,-33.4081,0.389893,0.5655
68000,0,-0.247946,-35.0173,0.247946,0.608
70000,0,-0.91863,-35.167,0.91863,0.4795
72000,1,-1.22288,-31.1611,1.52032,0.6525
74000,1,-1.18157,-31.0592,0.977442,0.652
76000,0,-0.695895,-33.7372,0.695895,0.44
78000,0,-0.686216,-36.6361,0.686216,0.4605
80000,0,-1.25309,-35.3342,1.25309,0.44
82000,0,-0.122866,-34.7937,0.122866,0.485
84000,1,-1.23559,-30.7442,1.32756,0.5965
86000,0,-0.00208692,-34.4737,0.00208692,0.6435
88000,0,-0.081337,-34.1617,0.081337,0.536
90000,0,-0.198114,-34.1609,0.198114,0.5475
92000,1,-1.41491,-34.2569,0.372307,0.435
94000,1,-1.11393,-33.6866,1.56099,0.544
96000,0,-0.353733,-33.5909,0.353733,0.4615
98000,0,-1.0631,-33.4724,1.0631,0.5065
100000,1,0.422164,-34.2544,0.331283,0.5295
102000,2,-2.65785,-34.4897,1.6326,0.4795
104000,0,-0.353197,-33.6477,0.353197,0.551
106000,0,-0.500569,-33.7663,0.500569,0.513
108000,3,-1.29876,-36.6194,1.71107,0.6025
110000,0,-1.13052,-34.7434,1.13052,0.536
112000,0,-0.132869,-33.8999,0.132869,0.484
114000,0,-1.07504,-34.0901,1.07504,0.4025
116000,1,-2.15541,-33.2396,0.181704,0.4365
118000,0,-0.157994,-33.5686,0.157994,0.455
120000,0,-1.15348,-33.5489,1.15348,0.4275
122000,0,-1.17766,-33.8207,1.17766,0.4485
124000,0,-0.148123,-34.3444,0.148123,0.447
126000,0,-2.61083,-34.3533,2.61083,0.4795
128000,0,-0.00551102,-33.859,0.00551102,0.5525
130000,0,-0.708971,-34.1387,0.708971,0.4565
132000,0,-0.122503,-34.5873,0.122503,0.462
134000,0,-0.939759,-37.3834,0.939759,0.523
136000,0,-0.0288344,-35.637,0.0288344,0.497
138000,1,-0.968886,-34.7448,0.343422,0.4505
140000,1,-1.47784,-34.7856,1.25366,0.4735
142000,0,-0.0545909,-34.7382,0.0545909,0.5365
144000,1,-4.09353,-37.5524,1.80375,0.492
146000,0,-0.630507,-34.1971,0.630507,0.5115
148000,0,-0.0720284,-38.2093,0.0720284,0.498
150000,0,-0.0902178,-33.7098,0.0902178,0.489
152000,1,-0.986018,-37.2503,0.623807,0.4665
154000,0,-0.192592,-34.9274,0.192592,0.418
156000,1,-0.712925,-33.3026,1.47874,0.5095
158000,0,-0.233366,-34.4243,0.233366,0.4995
160000,1,-0.785303,-31.3293,0.515439,0.4845
162000,1,-0.0415772,-29.5628,0.103353,0.597
164000,1,-3.03551,-29.8932,3.25432,0.577
166000,1,-0.658362,-30.8353,0.457057,0.663
168000,1,-0.430703,-29.1644,0.0650605,0.6745
170000,1,-2.01586,-30.7193,2.09702,0.6825
172000,0,-0.158447,-34.5554,0.158447,0.6755
174000,2,-3.32158,-37.7824,1.29784,0.512
176000,4,-11.7156,-33.7685,7.06757,0.53
178000,0,-0.41508,-34.7988,0.41508,0.5355
180000,0,-0.184922,-33.6501,0.184922,0.5055
182000,1,-2.04327,-35.5499,1.48993,0.632
184000,0,-0.817782,-33.4543,0.817782,0.538
186000,0,-0.371387,-33.7111,0.371387,0.5655
188000,0,-0.686357,-34.2105,0.686357,0.5105
190000,1,-0.00210619,-32.0245,0.399476,0.4405
192000,1,-1.4012,-33.2489,0.274042,0.4435
194000,1,-0.690319,-28.8605,0.972818,0.6455
196000,1,-0.373844,-34.3668,0.813458,0.518
198000,2,-0.429313,-35.4275,0.537307,0.6615
200000,2,-0.404419,-33.8708,0.512492,0.589
202000,1,-0.294149,-30.8074,0.30664,0.632
204000,0,-1.54927,-34.519,1.54927,0.506
206000,3,-4.34816,-35.9932,1.16045,0.4685
208000,0,-0.274737,-34.9661,0.274737,0.518
210000,0,-0.826293,-33.9098,0.826293,0.521
212000,1,-0.858018,-27.8699,0.936316,0.6355
214000,2,-2.86804,-38.0904,2.87277,0.5015
216000,0,-0.270946,-33.5657,0.270946,0.508
218000,0,-0.730581,-33.9205,0.730581,0.4885
220000,0,-0.398427,-35.1532,0.398427,0.4705
222000,0,-0.536166,-34.1987,0.536166,0.4905
224000,0,-1.12821,-35.2423,1.12821,0.577
226000,0,-0.183498,-36.7724,0.183498,0.503
228000,0,-0.972224,-33.4455,0.972224,0.5015
230000,1,-1.71665,-33.2139,0.705793,0.477
232000,1,-2.0592,-34.0619,1.37747,0.5185
234000,0,-0.210301,-34.0943,0.210301,0.5115
236000,0,-0.0682653,-34.7137,0.0682653,0.449
238000,0,-0.127664,-34.4495,0.127664,0.447
240000,1,-3.78022,-34.8179,2.64639,0.4635
242000,1,-2.13502,-33.2957,0.633154,0.552
244000,0,-0.352622,-34.7513,0.352622,0.5195
246000,0,-0.324215,-34.7566,0.324215,0.548
248000,0,-0.60965,-35.1161,0.60965,0.521
250000,0,-0.30615,-33.4585,0.30615,0.5305
252000,0,-0.0776987,-33.8034,0.0776987,0.5245
254000,0,-2.73388,-35.4614,2.73388,0.506
256000,3,-4.42131,-32.6915,1.77792,0.6495
258000,0,-0.653258,-33.5529,0.653258,0.5115
260000,0,-0.200772,-34.2876,0.200772,0.424
262000,0,-0.340303,-33.7778,0.340303,0.4345
264000,1,-0.721551,-34.2301,1.12864,0.47
266000,0,-3.309,-33.7406,3.309,0.4645
268000,0,-0.309674,-34.444,0.309674,0.4845
270000,0,-0.38612,-35.0353,0.38612,0.477
272000,0,-0.166492,-33.8956,0.166492,0.4885
274000,1,-0.0735169,-35.8113,0.177225,0.633
276000,0,-0.096021,-34.8767,0.096021,0.496
278000,0,-1.34545,-33.8218,1.34545,0.4665
280000,1,-0.806729,-33.8534,0.709533,0.5005
282000,0,-0.427728,-34.785,0.427728,0.458
284000,0,-0.605729,-34.3831,0.605729,0.4435
286000,0,-0.0990639,-34.1613,0.0990639,0.4925
288000,0,-0.529695,-34.5592,0.529695,0.4505
290000,0,-0.347978,-34.329,0.347978,0.464
292000,0,-0.657311,-34.3887,0.657311,0.4865
294000,0,-0.566826,-35.685,0.566826,0.4095
296000,3,-2.85777,-34.2028,1.28162,0.5485
298000,2,-3.82871,-35.6833,2.69467,0.5155
300000,1,-1.21224,-31.2567,1.40196,0.5205
302000,0,-2.09491,-36.3649,2.09491,0.481
304000,1,-0.477096,-31.2165,0.553253,0.567
306000,0,-0.449205,-33.8711,0.449205,0.516
308000,0,-0.212807,-33.5881,0.212807,0.441
310000,2,-4.26767,-32.937,2.26076,0.5295
312000,0,-0.239304,-41.9951,0.239304,0.467
314000,0,-0.0848817,-33.7767,0.0848817,0.4805
316000,1,-1.03429,-28.182,1.0288,0.5235
318000,1,0.227497,-30.048,0.0382965,0.686
320000,1,-1.04029,-29.7495,1.3892,0.6515
322000,0,-0.857623,-33.6449,0.857623,0.538
324000,0,-0.157248,-34.9105,0.157248,0.5725
326000,1,-1.28894,-33.5481,1.23506,0.4535
328000,1,-0.430059,-33.077,0.830552,0.6135
330000,0,-0.0556116,-35.0393,0.0556116,0.5015
332000,0,-0.366998,-33.9762,0.366998,0.435
334000,1,-0.358053,-35.0375,0.684072,0.436
336000,1,-2.56877,-37.1984,1.37306,0.5155
338000,0,-0.594655,-34.7018,0.594655,0.4515
340000,1,-0.988399,-35.9279,0.896597,0.445
342000,1,-0.037766,-31.0906,0.417945,0.6625
344000,0,-0.789648,-34.0014,0.789648,0.555
346000,3,-6.90259,-36.7878,1.39212,0.48
348000,0,-0.300897,-33.983,0.300897,0.4935
350000,0,-0.437921,-34.6243,0.437921,0.448
352000,0,-0.573254,-34.0603,0.573254,0.5295
354000,1,-2.79954,-33.208,2.28316,0.495
356000,0,-0.181991,-34.9295,0.181991,0.496
358000,0,-0.413736,-33.7852,0.413736,0.521
360000,0,-0.500586,-34.085,0.500586,0.456
362000,3,-2.98881,-33.994,1.06871,0.607
364000,0,-0.135666,-35.2974,0.135666,0.5595
366000,1,-1.37886,-29.4509,0.942293,0.5765
368000,0,-0.401002,-33.5009,0.401002,0.505
370000,0,-0.284077,-34.8244,0.284077,0.465
372000,0,-0.501304,-33.7278,0.501304,0.455
374000,0,-1.54825,-33.9107,1.54825,0.4985
376000,0,-0.237527,-34.5849,0.237527,0.4605
378000,2,-0.206896,-29.3981,0.834231,0.5275
380000,0,-0.348913,-36.4758,0.348913,0.5075
382000,0,-1.17301,-34.4434,1.17301,0.6335
384000,0,-0.833816,-34.3184,0.833816,0.4525
386000,0,-0.212803,-33.7497,0.212803,0.517
388000,1,-1.97372,-32.2696,2.29104,0.456
390000,0,-0.375853,-34.9676,0.375853,0.5085
392000,1,-1.02322,-31.0883,0.937869,0.5235
394000,0,-0.133818,-33.9896,0.133818,0.514
396000,0,-0.467626,-33.8137,0.467626,0.511
398000,0,-0.343413,-33.6132,0.343413,0.4365
400000,0,-0.881658,-33.9261,0.881658,0.481
402000,0,-0.0132534,-34.001,0.0132534,0.436
404000,0,-0.269337,-34.5349,0.269337,0.5555
406000,1,-2.05178,-31.0964,1.54531,0.519
408000,5,-1.89085,-31.8763,2.36125,0.673
410000,0,-0.286612,-35.2785,0.286612,0.507
412000,1,-1.51679,-35.1736,1.95049,0.4675
414000,0,-0.797779,-34.4327,0.797779,0.4965
416000,1,-0.633168,-33.6261,1.1989,0.5475
418000,0,-0.297469,-34.284,0.297469,0.6415
420000,1,-0.378342,-33.9411,0.134241,0.558
422000,2,-0.152873,-33.3065,0.90873,0.4915
424000,1,-4.93828,-36.625,0.553994,0.5345
426000,0,-0.169696,-33.9509,0.169696,0.454
428000,0,-0.323904,-33.8528,0.323904,0.549
430000,0,-0.0551353,-33.7055,0.0551353,0.5035
432000,0,-0.505315,-33.9128,0.505315,0.528
434000,0,-0.464079,-34.808,0.464079,0.45
436000,3,-1.70797,-28.5538,2.45571,0.5165
438000,0,-0.0595866,-34.0471,0.0595866,0.5805
440000,0,-0.131748,-36.0449,0.131748,0.4195
442000,0,-0.685695,-36.5663,0.685695,0.5145
444000,0,-0.0680892,-33.6712,0.0680892,0.4015
446000,1,-2.0563,-34.982,0.847926,0.5215
448000,0,-0.257525,-35.1309,0.257525,0.4715
450000,3,-2.91423,-29.461,1.91694,0.5615
452000,0,-0.379908,-35.996,0.379908,0.665
454000,2,-2.95577,-36.1385,0.759925,0.498
456000,0,-0.128862,-36.4724,0.128862,0.463
458000,0,-0.721058,-33.6973,0.721058,0.5225
460000,1,-2.51571,-34.6263,1.5277,0.5325
462000,1,-1.25036,-29.8062,1.17225,0.6495
464000,0,-0.107517,-34.2673,0.107517,0.4685
466000,0,-0.0421294,-33.7405,0.0421294,0.5085
468000,0,-0.264579,-34.4239,0.264579,0.5515
470000,0,-0.367894,-34.2138,0.367894,0.603
472000,1,-0.673657,-35.6323,1.08847,0.513
474000,1,-1.07248,-35.18,0.615691,0.463
476000,0,-0.254746,-33.4367,0.254746,0.51
478000,1,-2.55978,-34.162,2.20855,0.48
480000,0,-0.672891,-33.4558,0.672891,0.4635
482000,1,-0.238027,-36.5704,0.292648,0.4645
484000,0,-0.220713,-34.3879,0.220713,0.4035
486000,0,-0.299765,-35.7054,0.299765,0.5125
488000,0,-0.126987,-33.5005,0.126987,0.4655
490000,0,-0.606767,-34.6852,0.606767,0.4185
492000,0,-1.29955,-34.1175,1.29955,0.5385
494000,1,-1.0085,-31.9909,0.0810373,0.4585
496000,2,-0.731761,-33.7675,1.74014,0.6025
498000,2,-2.54683,-30.673,0.721997,0.6015
500000,0,-1.35949,-34.8771,1.35949,0.564
502000,0,-0.742361,-34.6443,0.742361,0.431
504000,0,-0.329121,-33.4541,0.329121,0.429
506000,1,-0.597102,-33.9986,1.04005,0.517
508000,0,-0.107298,-34.7166,0.107298,0.5355
510000,1,0.284085,-33.5437,0.327939,0.436
512000,0,-0.997143,-33.5639,0.997143,0.4355
514000,0,-0.317425,-34.1298,0.317425,0.42
516000,1,-0.976174,-32.427,1.22038,0.5145
518000,1,-1.8525,-36.7898,1.31575,0.4755
520000,2,-1.31856,-31.4616,0.255253,0.447
522000,1,0.176352,-30.8445,0.0974767,0.6475
524000,2,-3.55554,-29.3452,2.49546,0.62
526000,2,-1.46989,-31.3278,1.6501,0.656
528000,0,-0.194976,-34.0614,0.194976,0.4875
530000,1,0.0990215,-32.8529,0.513958,0.4645
532000,1,-0.328668,-31.0334,0.142906,0.566
534000,1,-0.205454,-33.9206,0.59896,0.4845
536000,1,-1.15957,-34.8004,0.890164,0.5195
538000,1,-0.281452,-34.2971,0.588586,0.4265
540000,0,-0.951352,-33.4925,0.951352,0.4285
542000,3,-2.06961,-31.5031,1.4941,0.677
544000,0,-1.13744,-35.2839,1.13744,0.524
546000,2,-6.41077,-36.2703,0.315287,0.508
548000,1,-0.701902,-35.6718,1.25084,0.549
550000,1,-0.308665,-32.5001,0.607935,0.5595
552000,0,-0.682218,-33.8551,0.682218,0.4375
554000,0,-0.301702,-34.2483,0.301702,0.4745
556000,0,-0.596074,-36.6345,0.596074,0.467
558000,1,-0.755246,-34.4211,1.30468,0.54
560000,0,-0.43742,-34.133,0.43742,0.47
562000,1,-1.85916,-30.3324,1.59597,0.483
564000,2,-3.69172,-35.4278,1.19644,0.628
566000,0,-0.016118,-34.3912,0.016118,0.522
568000,0,-1.65213,-34.1302,1.65213,0.5035
570000,0,-0.282006,-35.0681,0.282006,0.5175
572000,0,-0.497196,-34.5649,0.497196,0.471
574000,2,-0.891954,-32.8706,1.60663,0.4535
576000,2,-2.3449,-34.4467,1.38033,0.5155
578000,0,-0.0815008,-33.7057,0.0815008,0.479
580000,0,-0.0309136,-36.0544,0.0309136,0.457
582000,1,-0.22152,-33.7908,0.69307,0.4765
584000,0,-0.273744,-33.9755,0.273744,0.491
586000,2,-0.420389,-33.0761,0.199459,0.5125
588000,2,-1.22509,-32.2756,0.960768,0.5115
590000,0,-0.0449408,-34.9383,0.0449408,0.569
592000,0,-0.16626,-35.2539,0.16626,0.436
594000,0,-0.655535,-33.5125,0.655535,0.4995
596000,1,-2.02363,-33.0987,2.02251,0.4415
598000,0,-0.552941,-34.4482,0.552941,0.4815
600000,0,-0.276377,-34.358,0.276377,0.494
602000,0,-0.0579781,-34.0783,0.0579781,0.47
604000,0,-0.493584,-34.718,0.493584,0.527
606000,0,-0.00355479,-33.6144,0.00355479,0.4845
608000,2,-0.566349,-36.7861,1.26802,0.457
610000,0,-0.236234,-34.3694,0.236234,0.5485
612000,0,-0.292983,-34.6122,0.292983,0.544
614000,0,-0.251613,-34.4037,0.251613,0.487
616000,0,-0.465394,-33.7354,0.465394,0.4605
618000,1,-1.88292,-34.4843,1.26552,0.624
620000,0,-0.395547,-34.2593,0.395547,0.6305
622000,0,-0.313918,-34.8617,0.313918,0.578
624000,0,-0.405676,-34.867,0.405676,0.483
626000,0,-0.302006,-36.0294,0.302006,0.4525
628000,0,-0.808237,-35.4107,0.808237,0.4795
