generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Cylindraspis_indica,Cylindraspis_triserrata,0,0.032,0,0.005,0
2000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0292678,0,0.0107202,0
4000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.120665,0,0.0121897,0
6000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0694277,0,0.0225014,0
8000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0766328,0,0.0242788,0
10000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.122758,0,0.0241889,0
12000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0287715,0,0.0213741,0
14000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0543925,0,0.0393249,0
16000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0783459,0,0.0384756,0
18000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.129052,0,0.0556832,0
20000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.128272,0,0.229653,0
20000,Cylindraspis_triserrata,NA,3.36611,0.0297956,0,0.0534175,0
20000,Cylindraspis_vosmaeri,NA,19.3239,0.166902,0,0.0491785,0
20000,Cylindraspis_indica,Cylindraspis_inepta,15.8428,0.414844,0,0.597791,0
22000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0420738,0,0.0252389,0
24000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0739949,0,0.102424,0
26000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0535187,0,0.0289954,0
28000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0790055,0,0.0610637,0
30000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0914567,0,0.0736972,0
32000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0664889,0,0.0263053,0
34000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.21809,0,0.134874,0
36000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0209856,0,0.00524631,0
38000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0204151,0,0.0627539,0
40000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0871698,0,0.00171964,0
42000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0696925,0,0.0156545,0
44000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0774904,0,0.00318727,0
46000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0723925,0,0.00748089,0
46000,Cylindraspis_peltastes,NA,21.3707,0.436497,0,0.771722,0
48000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.05456,0,0.00336631,0
50000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.0261666,0,0.0127331,0
52000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.127181,0,0.13874,0
52000,Cylindraspis_indica,Cylindraspis_inepta,16.8449,0.0305354,0,0.116678,0
54000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.161807,0,0.0729424,0
56000,Cylindraspis_indica,Cylindraspis_triserrata,0,0.103298,0,0.00740458,0
56000,Cylindraspis_triserrata,NA,8.88066,0.142698,0,0.204866,0
