generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-0.934723,-12.7564,0.934723,1
2000,0,-0.117918,-13.0938,0.117918,0.5375
4000,0,-0.277187,-14.2818,0.277187,0.514
6000,0,-0.526547,-13.0043,0.526547,0.508
8000,0,-0.610636,-13.123,0.610636,0.5475
10000,0,-0.324422,-14.302,0.324422,0.567
12000,0,-0.0392454,-13.5748,0.0392454,0.526
14000,0,-0.123086,-13.4535,0.123086,0.49
16000,0,-0.784102,-13.3884,0.784102,0.547
18000,0,-1.28394,-14.4742,1.28394,0.542
20000,3,0.587612,-18.67,2.5006,0.539
22000,0,-0.177246,-13.2084,0.177246,0.579
24000,0,-0.124976,-15.2839,0.124976,0.5645
26000,0,-0.239369,-13.1444,0.239369,0.5875
28000,0,-1.02418,-13.8913,1.02418,0.587
30000,0,-0.0772226,-14.1846,0.0772226,0.5565
32000,0,-0.12371,-13.0579,0.12371,0.508
34000,0,-0.820742,-16.6282,0.820742,0.5475
36000,0,-0.27548,-13.3855,0.27548,0.579
38000,0,-0.366414,-16.444,0.366414,0.5695
40000,0,-0.0796483,-13.1419,0.0796483,0.543
42000,0,-0.0935446,-12.8862,0.0935446,0.5395
44000,0,-0.24804,-12.8813,0.24804,0.573
46000,1,-2.49088,-13.6884,0.353394,0.5495
48000,0,-0.164572,-12.4865,0.164572,0.603
50000,0,-0.3281,-13.3495,0.3281,0.5545
52000,1,0.59477,-16.724,1.62634,0.522
54000,0,-0.527624,-15.3573,0.527624,0.5825
56000,1,0.980501,-13.5533,0.417577,0.5435
58000,0,-0.740351,-14.2483,0.740351,0.527
60000,0,-0.71593,-13.6847,0.71593,0.5165
62000,0,-0.203585,-14.1403,0.203585,0.5605
64000,0,-0.529215,-13.0008,0.529215,0.5655
66000,0,-0.672304,-15.1581,0.672304,0.4995
68000,0,-0.0915269,-13.8969,0.0915269,0.4965
70000,0,-0.621442,-12.7483,0.621442,0.5985
72000,0,-1.03842,-13.1324,1.03842,0.533
74000,1,0.0781041,-14.8632,2.30626,0.552
76000,0,-1.2126,-12.6508,1.2126,0.5445
78000,0,-0.442814,-16.4306,0.442814,0.5135
80000,0,-0.949178,-13.8488,0.949178,0.515
82000,0,-0.447996,-14.2962,0.447996,0.504
84000,1,0.219418,-14.5345,1.1042,0.5675
86000,0,-0.0298727,-12.9079,0.0298727,0.598
88000,0,-0.231415,-12.9233,0.231415,0.5095
90000,1,0.877772,-14.6558,0.612833,0.561
92000,0,-0.0177806,-12.556,0.0177806,0.5525
94000,0,-1.83431,-15.1155,1.83431,0.5295
96000,0,-0.152738,-13.0046,0.152738,0.5695
98000,0,-1.06965,-12.7556,1.06965,0.538
100000,0,-1.009,-12.4612,1.009,0.5815
102000,1,0.408956,-12.98,1.78745,0.521
104000,1,2.07348,-14.8289,0.394207,0.529
106000,1,1.64318,-15.8289,0.100947,0.5505
108000,0,-1.1326,-13.6836,1.1326,0.614
110000,0,-0.495963,-13.2594,0.495963,0.5245
112000,0,-1.01316,-12.9063,1.01316,0.5475
114000,1,2.32137,-13.1522,0.292844,0.523
116000,0,-0.339562,-13.147,0.339562,0.5405
118000,0,-0.0295016,-13.583,0.0295016,0.508
120000,0,-0.0418745,-12.9997,0.0418745,0.5035
122000,0,-0.0656098,-14.6061,0.0656098,0.515
124000,1,1.26095,-17.0803,0.355342,0.497
126000,1,-3.55049,-14.9039,0.691307,0.588
128000,0,-0.0519385,-14.8441,0.0519385,0.578
130000,0,-1.06062,-14.0351,1.06062,0.5325
132000,0,-0.870621,-12.6807,0.870621,0.582
134000,0,-0.460503,-13.5976,0.460503,0.51
136000,0,-0.492022,-14.8193,0.492022,0.5765
138000,1,0.555905,-13.14,1.1572,0.5625
140000,0,-0.50057,-13.9153,0.50057,0.525
142000,0,-0.0729703,-13.9261,0.0729703,0.534
144000,0,-0.0548668,-12.783,0.0548668,0.5235
146000,0,-0.757482,-13.1313,0.757482,0.467
148000,0,-0.836084,-16.0683,0.836084,0.54
150000,0,-0.323964,-12.6241,0.323964,0.575
152000,2,-0.523288,-14.6141,1.48657,0.656
154000,1,0.790117,-13.6189,0.998392,0.5425
156000,0,-0.113861,-14.3956,0.113861,0.5575
158000,0,-0.626582,-13.6291,0.626582,0.578
160000,1,2.08613,-14.8118,0.511683,0.5335
162000,0,-0.127582,-13.1363,0.127582,0.574
164000,0,-0.96612,-13.689,0.96612,0.543
166000,0,-1.0689,-12.916,1.0689,0.606
168000,0,-0.423301,-14.3914,0.423301,0.56
170000,1,1.7619,-14.686,0.696461,0.5675
172000,0,-0.103804,-13.3469,0.103804,0.5075
174000,0,-1.06097,-13.8107,1.06097,0.6025
176000,0,-0.325722,-12.9807,0.325722,0.5385
178000,0,-0.310754,-13.666,0.310754,0.503
180000,1,-1.85995,-13.2398,0.701107,0.5425
182000,0,-0.970609,-13.8996,0.970609,0.554
184000,0,-0.0620487,-14.1948,0.0620487,0.51
186000,0,-0.0167234,-12.4909,0.0167234,0.518
188000,0,-0.12677,-12.6951,0.12677,0.534
190000,0,-0.373907,-14.4046,0.373907,0.5345
192000,1,1.35197,-13.365,0.183261,0.548
194000,0,-0.10812,-15.4089,0.10812,0.5105
196000,1,0.322596,-16.3236,1.65844,0.5235
198000,0,-0.0368291,-13.5757,0.0368291,0.5425
200000,1,0.647777,-13.1849,1.5577,0.5665
202000,1,1.31337,-13.8825,0.939375,0.558
204000,0,-0.00674053,-13.3243,0.00674053,0.5295
206000,0,-0.896644,-13.306,0.896644,0.539
208000,0,-1.23356,-13.116,1.23356,0.525
210000,0,-0.958249,-13.1229,0.958249,0.527
212000,0,-0.0614045,-13.9284,0.0614045,0.568
214000,0,-2.02476,-12.7297,2.02476,0.522
216000,0,-0.451626,-12.6791,0.451626,0.527
218000,1,-0.925494,-15.6205,3.11065,0.5655
220000,0,-0.032848,-12.5104,0.032848,0.5115
222000,0,-0.310643,-13.5048,0.310643,0.518
224000,0,-0.0393777,-13.109,0.0393777,0.5395
226000,0,-0.175051,-14.9903,0.175051,0.5665
228000,1,-3.47583,-12.6842,1.21639,0.5585
230000,1,2.2863,-13.9105,0.323144,0.5665
232000,0,-0.26583,-13.8557,0.26583,0.491
234000,0,-0.308841,-13.4042,0.308841,0.5715
236000,1,1.6316,-12.3286,0.766801,0.5775
238000,0,-0.330857,-13.8659,0.330857,0.5115
240000,0,-0.00910343,-13.2813,0.00910343,0.537
242000,0,-0.908808,-15.4403,0.908808,0.5025
244000,0,-0.111297,-13.3456,0.111297,0.567
246000,0,-0.327368,-12.7886,0.327368,0.632
248000,0,-0.100425,-13.4763,0.100425,0.591
250000,0,-1.05342,-13.6952,1.05342,0.525
252000,4,2.24198,-16.2979,3.01726,0.594
254000,0,-0.636769,-14.3283,0.636769,0.611
256000,1,0.409807,-14.2783,0.821022,0.525
258000,0,-2.58253,-15.5805,2.58253,0.591
260000,0,-0.172932,-12.5108,0.172932,0.576
262000,0,-0.0325191,-12.443,0.0325191,0.5645
264000,0,-0.125728,-12.9856,0.125728,0.6185
266000,4,-1.45602,-16.5899,2.08326,0.5545
268000,1,1.13928,-13.4055,0.378439,0.6465
270000,0,-0.0955394,-13.0503,0.0955394,0.54
272000,1,1.94924,-17.1325,0.332634,0.5945
274000,0,-0.144887,-12.7987,0.144887,0.5875
276000,0,-0.153647,-13.0265,0.153647,0.528
278000,0,-0.239424,-12.9111,0.239424,0.53
280000,0,-0.124417,-12.8828,0.124417,0.5825
282000,0,-0.108373,-12.85,0.108373,0.581
284000,1,-0.121268,-15.1055,0.897406,0.572
286000,2,-3.48716,-18.0831,1.4334,0.5455
288000,0,-0.272831,-12.7307,0.272831,0.6235
290000,1,-0.114209,-14.1884,1.18094,0.598
292000,0,-0.512383,-12.8478,0.512383,0.5485
