generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Geochelone_elegans,Geochelone_platynota,0,0.032,0,0.005,0
2000,Geochelone_elegans,Geochelone_platynota,0,0.312245,0,0.132399,0
2000,Geochelone_elegans,NA,0.932495,0.172107,0,0.658587,0
4000,Geochelone_elegans,Geochelone_platynota,0,0.401357,0,0.244722,0
4000,Geochelone_platynota,NA,0.243463,0.663682,0,0.951758,0
4000,Geochelone_elegans,NA,2.65092,0.0445004,0,0.467406,0
6000,Geochelone_elegans,Geochelone_platynota,0,0.263201,0,0.608216,0
6000,Geochelone_elegans,NA,1.39971,0.645957,0,1.38086,0
8000,Geochelone_elegans,Geochelone_platynota,0,0.010077,0,0.38657,0
10000,Geochelone_elegans,Geochelone_platynota,0,0.0596765,0,0.0919702,0
12000,Geochelone_elegans,Geochelone_platynota,0,0.0631318,0,0.0474055,0
14000,Geochelone_elegans,Geochelone_platynota,0,0.0263875,0,0.197874,0
16000,Geochelone_elegans,Geochelone_platynota,0,0.0949329,0,0.0309667,0
18000,Geochelone_elegans,Geochelone_platynota,0,0.0879158,0,0.0204958,0
20000,Geochelone_elegans,Geochelone_platynota,0,0.298176,0,0.0376154,0
20000,Geochelone_platynota,NA,2.82441,0.219652,0,0.274729,0
22000,Geochelone_elegans,Geochelone_platynota,0,0.111355,0,0.0225249,0
22000,Geochelone_elegans,NA,1.64214,0.160728,0,0.402298,0
24000,Geochelone_elegans,Geochelone_platynota,0,0.456223,0,0.124812,0
24000,Geochelone_platynota,NA,1.94776,0.255475,0,1.19117,0
24000,Geochelone_platynota,NA,2.37471,0.16577,0,0.694142,0
24000,Geochelone_elegans,NA,0.375034,0.00109542,0,0.0718121,0
26000,Geochelone_elegans,Geochelone_platynota,0,0.20323,0,0.0475186,0
28000,Geochelone_elegans,Geochelone_platynota,0,0.639235,0,0.573134,0
28000,Geochelone_elegans,NA,0.51058,0.278282,0,0.36117,0
30000,Geochelone_elegans,Geochelone_platynota,0,0.10279,0,0.0255421,0
30000,Geochelone_elegans,NA,2.17676,0.323254,0,0.338687,0
32000,Geochelone_elegans,Geochelone_platynota,0,0.206988,0,0.398506,0
34000,Geochelone_elegans,Geochelone_platynota,0,0.0691997,0,0.0801902,0
34000,Geochelone_platynota,NA,2.1367,0.543898,0,0.760989,0
36000,Geochelone_elegans,Geochelone_platynota,0,0.058165,0,0.907227,0
38000,Geochelone_elegans,Geochelone_platynota,0,0.373403,0,0.303959,0
40000,Geochelone_elegans,Geochelone_platynota,0,0.152375,0,0.169781,0
40000,Geochelone_platynota,NA,1.81343,0.00288884,0,0.0769594,0
42000,Geochelone_elegans,Geochelone_platynota,0,0.0701545,0,0.0412365,0
44000,Geochelone_elegans,Geochelone_platynota,0,0.0021128,0,0.0817378,0
46000,Geochelone_elegans,Geochelone_platynota,0,0.0466139,0,0.101802,0
48000,Geochelone_elegans,Geochelone_platynota,0,0.487519,0,0.0494395,0
48000,Geochelone_elegans,NA,2.97557,0.151167,0,0.221928,0
48000,Geochelone_elegans,NA,2.92009,0.068638,0,0.254219,0
50000,Geochelone_elegans,Geochelone_platynota,0,0.171541,0,0.101993,0
52000,Geochelone_elegans,Geochelone_platynota,0,0.068801,0,0.0293422,0
52000,Geochelone_elegans,NA,2.37574,0.446176,0,0.0937661,0
54000,Geochelone_elegans,Geochelone_platynota,0,0.0645328,0,0.113079,0
56000,Geochelone_elegans,Geochelone_platynota,0,0.133955,0,0.239823,0
56000,Geochelone_elegans,NA,1.26213,0.253073,0,0.267652,0
58000,Geochelone_elegans,Geochelone_platynota,0,0.120173,0,0.0846314,0
60000,Geochelone_elegans,Geochelone_platynota,0,0.0259149,0,0.0353881,0
62000,Geochelone_elegans,Geochelone_platynota,0,0.12914,0,0.229383,0
64000,Geochelone_elegans,Geochelone_platynota,0,0.0459858,0,0.0197181,0
66000,Geochelone_elegans,Geochelone_platynota,0,0.0227561,0,0.41316,0
68000,Geochelone_elegans,Geochelone_platynota,0,0.0997806,0,0.225685,0
68000,Geochelone_elegans,NA,2.88471,0.842454,0,0.203044,0
70000,Geochelone_elegans,Geochelone_platynota,0,0.340494,0,0.133566,0
72000,Geochelone_elegans,Geochelone_platynota,0,0.706707,0,0.684963,0
74000,Geochelone_elegans,Geochelone_platynota,0,0.533547,0,0.489365,0
74000,Geochelone_platynota,NA,1.14589,0.688015,0,0.0131909,0
74000,Geochelone_elegans,NA,2.55,0.492478,0,0.020978,0
74000,Geochelone_elegans,NA,0.51916,0.00193085,0,0.174374,0
74000,Geochelone_elegans,NA,2.65945,0.219911,0,0.0459118,0
76000,Geochelone_elegans,Geochelone_platynota,0,0.461587,0,0.359059,0
76000,Geochelone_platynota,NA,1.47123,0.239068,0,0.043243,0
76000,Geochelone_platynota,NA,0.991878,0.260115,0,0.299961,0
78000,Geochelone_elegans,Geochelone_platynota,0,0.225998,0,0.0561242,0
80000,Geochelone_elegans,Geochelone_platynota,0,0.13007,0,0.185984,0
82000,Geochelone_elegans,Geochelone_platynota,0,0.116785,0,0.288764,0
82000,Geochelone_elegans,NA,1.2101,0.120673,0,0.401762,0
