generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-0.307073,1,0
2000,1,-3.02476,-2.56081,2.59248,0.5885
4000,2,-3.06471,-3.71364,1.49858,0.7125
6000,1,-3.85142,-4.65155,1.61818,0.6215
8000,0,-0.263172,-2.46995,0.263172,0.589
10000,0,-0.777483,-0.909929,0.777483,0.6445
12000,0,-0.260244,-0.694111,0.260244,0.5905
14000,0,-1.4482,-1.38097,1.4482,0.6345
16000,0,-0.144646,-0.773841,0.144646,0.583
18000,0,-0.451571,-0.688023,0.451571,0.654
20000,1,-0.576501,-1.85823,0.650603,0.6605
22000,1,-0.398946,-1.20572,0.369692,0.6125
24000,3,-4.83087,-1.61954,3.70362,0.737
26000,0,-0.0232961,-1.4007,0.0232961,0.7305
28000,1,-2.21239,-3.55325,2.06806,0.6395
30000,1,-1.88476,-1.09665,1.70657,0.6705
32000,0,-0.156463,-2.77048,0.156463,0.6575
34000,1,-3.76259,-1.58599,2.61634,0.731
36000,0,-0.0844286,-5.51995,0.0844286,0.5835
38000,0,-1.07663,-2.84361,1.07663,0.5955
40000,1,-0.0484312,-1.42348,0.746686,0.6495
42000,0,-0.0347463,-0.697399,0.0347463,0.5855
44000,0,-0.297001,-0.610393,0.297001,0.637
46000,0,-0.233546,-0.908514,0.233546,0.65
48000,2,0.0741672,-2.88323,0.514915,0.6055
50000,0,-0.241072,-1.44182,0.241072,0.6395
52000,1,-0.413151,-0.885787,0.418656,0.6035
54000,0,-0.126669,-1.04039,0.126669,0.6255
56000,1,-1.78725,-2.06259,1.82169,0.617
58000,0,-0.0243236,-1.13927,0.0243236,0.6205
60000,0,-0.797336,-0.446254,0.797336,0.617
62000,0,-0.13224,-1.83301,0.13224,0.6305
64000,0,-1.55875,-0.46228,1.55875,0.6005
66000,0,-1.75208,-2.63732,1.75208,0.5835
68000,1,-1.64216,-1.84209,0.88646,0.653
70000,0,-0.366808,-2.30217,0.366808,0.5855
72000,0,-0.382408,-4.51976,0.382408,0.6235
74000,4,-2.64241,-3.06129,3.42175,0.7
