generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.032,0,0.005,0
2000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.121373,0,0.11001,0
4000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0558005,0,0.0198654,0
4000,Gopherus_berlandieri,NA,17.03,0.0704502,0,0.0771473,0
6000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0901939,0,0.00713615,0
8000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0692201,0,0.0466434,0
8000,Gopherus_polyphemus,NA,20.9717,0.0471049,0,0.197985,0
10000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0693213,0,0.00657675,0
10000,Gopherus_polyphemus,NA,20.7121,0.579485,0,0.027431,0
12000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.106126,0,0.100033,0
14000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0274122,0,0.00683951,0
16000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0788081,0,0.0483547,0
18000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0436827,0,0.00486633,0
20000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.070526,0,0.00695836,0
22000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.00866164,0,0.00367151,0
24000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0604967,0,0.0591591,0
24000,Gopherus_agassizii,NA,21.393,0.208909,0,0.0146455,0
24000,Gopherus_agassizii,NA,22.0309,0.5301,0,0.155558,0
26000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0771034,0,0.0246078,0
26000,Gopherus_berlandieri,NA,15.7684,0.106806,0,0.0481133,0
28000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.102143,0,0.0355439,0
28000,Gopherus_evgoodei,NA,20.7479,0.352663,0,0.315239,0
30000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.116602,0,0.0650806,0
32000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0560089,0,0.0302737,0
32000,Gopherus_evgoodei,NA,18.2704,0.347427,0,0.0562979,0
34000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0443891,0,0.0201175,0
36000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.160706,0,0.0125066,0
38000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.056118,0,0.0515014,0
40000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.103443,0,0.0259457,0
40000,Gopherus_berlandieri,NA,20.9763,1.02468,0,0.358711,0
40000,Gopherus_berlandieri,NA,21.1517,0.136607,0,0.120871,0
42000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.115983,0,0.030118,0
42000,Gopherus_flavomarginatus,NA,17.9444,0.111885,0,0.153292,0
44000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.107476,0,0.0543449,0
46000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.114541,0,0.0156946,0
48000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.196795,0,0.166278,0
50000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0944777,0,0.00191653,0
52000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.113694,0,0.0119432,0
54000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.101984,0,0.0351158,0
56000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0571457,0,0.00945456,0
58000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0264617,0,0.0271589,0
60000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0589311,0,0.157156,0
62000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0486043,0,0.000180587,0
64000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0665637,0,0.0284437,0
66000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0859932,0,0.0405931,0
68000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.271192,0,0.171234,0
70000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.039695,0,0.0289199,0
72000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.127921,0,0.041032,0
74000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.10465,0,0.0390453,0
76000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0662248,0,0.00882873,0
78000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0410946,0,0.0378891,0
80000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0719769,0,0.0410201,0
82000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.11914,0,0.0738518,0
84000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0805074,0,0.0213503,0
86000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.083822,0,0.0100701,0
88000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.051919,0,0.0110577,0
90000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0658851,0,0.00116251,0
92000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0438865,0,0.00762152,0
94000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0231545,0,0.0043565,0
94000,Gopherus_polyphemus,NA,22.4599,0.0577839,0,0.287576,0
96000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0878219,0,0.000879169,0
98000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0505412,0,0.00980507,0
100000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0953581,0,0.0940212,0
100000,Gopherus_evgoodei,NA,20.6522,0.439335,0,0.0777172,0
102000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.111892,0,0.0309701,0
104000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0167076,0,0.00527553,0
104000,Gopherus_evgoodei,NA,16.4421,0.0354465,0,0.0209127,0
106000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.129741,0,0.0987343,0
108000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0671045,0,0.0441749,0
108000,Gopherus_evgoodei,NA,17.8668,0.201661,0,0.00355089,0
110000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0730522,0,0.0953137,0
112000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0877843,0,0.0441777,0
114000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0642685,0,0.0559103,0
116000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0662629,0,0.00598635,0
118000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0537558,0,0.0158149,0
120000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.123529,0,0.0198793,0
122000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.0592064,0,0.00702326,0
124000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.152498,0,0.0459782,0
126000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.056745,0,0.0972755,0
128000,Gopherus_agassizii,Gopherus_flavomarginatus,0,0.230785,0,0.18393,0
