generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-16.5071,1,0
2000,0,-0.226678,-18.4659,0.226678,0.5045
4000,1,0.279644,-16.6287,1.75066,0.518
6000,0,-0.0806232,-16.3864,0.0806232,0.5605
8000,1,0.135126,-17.282,1.54425,0.4995
10000,1,-0.291962,-16.9562,0.66896,0.5455
12000,0,-0.106198,-18.2762,0.106198,0.5295
14000,0,-1.91436,-16.9117,1.91436,0.5
16000,0,-0.0382453,-16.9884,0.0382453,0.506
18000,0,-0.782761,-16.04,0.782761,0.5205
20000,0,-0.29577,-16.0078,0.29577,0.5325
22000,0,-1.02055,-20.1328,1.02055,0.5235
24000,2,1.30162,-18.3819,0.548836,0.5275
26000,1,1.722,-16.7934,0.281941,0.5205
28000,1,-0.201173,-17.7217,0.358654,0.5625
30000,0,-0.000573328,-17.5599,0.000573328,0.4835
32000,1,0.771701,-18.0281,0.336676,0.581
34000,0,-0.00340798,-16.5869,0.00340798,0.536
36000,0,-0.307151,-19.0175,0.307151,0.529
38000,0,-0.327677,-17.4571,0.327677,0.517
40000,2,-3.34894,-17.2203,2.56583,0.4955
42000,1,0.0637372,-17.5281,1.54334,0.67
44000,0,-1.0927,-17.2805,1.0927,0.614
46000,0,-0.169305,-17.1425,0.169305,0.51
48000,0,-0.172702,-19.7853,0.172702,0.515
50000,0,-1.38795,-16.4674,1.38795,0.58
52000,0,-2.05975,-17.1115,2.05975,0.533
54000,0,-0.232932,-16.9356,0.232932,0.4865
56000,0,-0.48521,-16.0069,0.48521,0.483
58000,0,-0.183338,-18.0415,0.183338,0.522
60000,0,-0.0488241,-22.6784,0.0488241,0.5345
62000,0,-0.160263,-15.8017,0.160263,0.563
64000,0,-0.24486,-16.4911,0.24486,0.602
66000,0,-0.160947,-16.8153,0.160947,0.512
68000,0,-0.0524395,-21.2709,0.0524395,0.5405
70000,0,-0.278174,-17.1524,0.278174,0.4995
72000,0,-0.621947,-17.5988,0.621947,0.5585
74000,0,-0.0913195,-17.0319,0.0913195,0.468
76000,0,-0.633167,-16.0057,0.633167,0.546
78000,0,-0.0982945,-17.4866,0.0982945,0.534
80000,0,-0.761154,-16.8161,0.761154,0.5825
82000,0,-0.216626,-17.7215,0.216626,0.5505
84000,0,-0.165651,-16.3916,0.165651,0.5325
86000,0,-0.526266,-16.2727,0.526266,0.533
88000,0,-0.335557,-16.0976,0.335557,0.5435
90000,0,-0.131691,-15.8438,0.131691,0.499
92000,0,-0.118843,-16.1329,0.118843,0.523
94000,1,0.453695,-17.2423,0.864764,0.55
96000,0,-1.06201,-16.2708,1.06201,0.513
98000,0,-0.441448,-16.0766,0.441448,0.4965
100000,1,0.62165,-19.3455,0.0788096,0.5435
102000,0,-0.44512,-17.1209,0.44512,0.496
104000,1,1.52649,-18.3363,0.832219,0.5705
106000,0,-0.384641,-18.2353,0.384641,0.5145
108000,1,1.43205,-17.8212,0.39087,0.5015
110000,0,-0.896994,-18.7338,0.896994,0.507
112000,0,-0.793123,-16.9017,0.793123,0.51
114000,0,-0.25933,-17.4095,0.25933,0.4775
116000,0,-0.428643,-15.9452,0.428643,0.4865
118000,0,-1.67944,-16.2237,1.67944,0.614
120000,0,-0.586362,-17.4443,0.586362,0.541
122000,0,-0.293727,-15.9384,0.293727,0.538
124000,0,-0.225053,-18.3689,0.225053,0.5695
126000,0,-1.68251,-19.5197,1.68251,0.496
128000,0,-0.441727,-20.3499,0.441727,0.505
130000,0,-0.651362,-16.7952,0.651362,0.511
132000,0,-0.109967,-15.9715,0.109967,0.5785
134000,0,-0.00216692,-17.0825,0.00216692,0.486
136000,1,0.982582,-19.7727,0.650571,0.507
138000,1,0.129388,-16.6857,1.4508,0.522
140000,0,-0.036933,-17.5038,0.036933,0.511
142000,1,-0.330348,-16.5648,2.69479,0.4975
144000,0,-0.611302,-16.4689,0.611302,0.5505
146000,0,-0.0459443,-17.3988,0.0459443,0.599
148000,0,-0.317832,-17.3131,0.317832,0.4865
150000,0,-0.506584,-17.4565,0.506584,0.535
152000,0,-0.0133185,-17.2214,0.0133185,0.507
154000,0,-0.219373,-17.0441,0.219373,0.541
156000,0,-0.217193,-18.864,0.217193,0.4925
158000,1,-0.478868,-17.2803,0.954402,0.527
160000,0,-0.205721,-16.5242,0.205721,0.55
162000,0,-0.13627,-16.4148,0.13627,0.5065
164000,0,-0.350671,-16.0275,0.350671,0.4955
166000,0,-0.538302,-16.9023,0.538302,0.5585
168000,0,-0.0031286,-15.93,0.0031286,0.54
170000,0,-0.381151,-19.378,0.381151,0.562
172000,0,-0.540516,-17.7778,0.540516,0.508
174000,0,-0.265373,-17.3247,0.265373,0.6235
176000,0,-0.145322,-16.129,0.145322,0.538
178000,0,-0.56028,-15.8733,0.56028,0.517
180000,0,-0.238927,-18.2865,0.238927,0.57
182000,0,-0.254415,-17.1323,0.254415,0.454
184000,0,-1.18522,-18.0805,1.18522,0.5235
186000,0,-0.554288,-18.781,0.554288,0.5395
188000,0,-0.127289,-18.0939,0.127289,0.5665
190000,0,-0.18571,-19.0992,0.18571,0.5605
192000,0,-0.347604,-16.0346,0.347604,0.5095
194000,0,-0.253459,-16.6131,0.253459,0.508
196000,1,1.54591,-16.8788,0.615675,0.6095
198000,0,-1.6268,-16.5235,1.6268,0.482
200000,1,-1.56135,-17.4965,1.95564,0.5315
202000,0,-0.270991,-17.996,0.270991,0.557
204000,0,-0.724328,-17.1036,0.724328,0.515
206000,3,3.45635,-17.5582,2.47259,0.66
208000,1,1.12245,-18.6205,0.876209,0.6125
210000,0,-1.18786,-16.5431,1.18786,0.5215
212000,0,-0.353858,-17.4057,0.353858,0.5705
214000,0,-0.611563,-16.359,0.611563,0.5345
216000,0,-0.366489,-16.2298,0.366489,0.49
218000,0,-0.103764,-16.5368,0.103764,0.507
220000,0,-0.400764,-16.3565,0.400764,0.5605
222000,0,-0.548746,-16.7165,0.548746,0.524
224000,0,-0.694266,-16.0304,0.694266,0.568
226000,0,-0.148556,-19.153,0.148556,0.5425
228000,0,-0.0215827,-17.8288,0.0215827,0.574
230000,0,-1.16353,-16.3298,1.16353,0.5115
232000,0,-0.00994007,-17.1893,0.00994007,0.494
234000,1,1.80127,-16.2903,0.706727,0.5025
236000,2,3.04852,-17.7138,1.60764,0.559
238000,1,-0.732077,-19.5493,1.49461,0.534
240000,1,-1.12828,-18.6113,1.18283,0.5835
242000,0,-0.459793,-17.2022,0.459793,0.4925
244000,0,-0.2689,-18.79,0.2689,0.493
246000,2,0.837542,-19.5929,1.79455,0.5375
248000,0,-0.141088,-19.4026,0.141088,0.5435
250000,0,-1.25244,-19.6313,1.25244,0.5315
252000,0,-0.585422,-16.3255,0.585422,0.518
254000,0,-0.248244,-18.9744,0.248244,0.5365
256000,0,-1.12162,-19.5925,1.12162,0.5335
258000,0,-0.959342,-15.8198,0.959342,0.5675
260000,0,-0.420224,-17.0435,0.420224,0.558
262000,0,-0.284327,-15.9145,0.284327,0.545
264000,0,-0.838156,-18.0196,0.838156,0.5365
266000,0,-0.724933,-16.5782,0.724933,0.5315
268000,0,-0.0251942,-16.6727,0.0251942,0.4575
270000,0,-0.440407,-16.2707,0.440407,0.5475
272000,0,-0.849936,-17.0799,0.849936,0.551
274000,0,-0.311334,-22.1679,0.311334,0.5055
276000,0,-1.83015,-16.5171,1.83015,0.532
278000,2,1.15856,-18.8329,1.95509,0.5255
280000,0,-0.886541,-21.9951,0.886541,0.499
282000,0,-0.00983221,-16.6843,0.00983221,0.5025
