generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Homopus_angulata,Homopus_areolatus,0,0.032,0,0.005,0
2000,Homopus_angulata,Homopus_areolatus,0,0.0132638,0,0.0426841,0
4000,Homopus_angulata,Homopus_areolatus,0,0.0443262,0,0.0129191,0
6000,Homopus_angulata,Homopus_areolatus,0,0.0578755,0,0.0257929,0
8000,Homopus_angulata,Homopus_areolatus,0,0.0679306,0,0.0249038,0
10000,Homopus_angulata,Homopus_areolatus,0,0.0516835,0,0.0115894,0
12000,Homopus_angulata,Homopus_areolatus,0,0.13044,0,0.00472977,0
14000,Homopus_angulata,Homopus_areolatus,0,0.0387571,0,0.00230789,0
16000,Homopus_angulata,Homopus_areolatus,0,0.0487428,0,0.0432068,0
18000,Homopus_angulata,Homopus_areolatus,0,0.0577702,0,0.0554916,0
20000,Homopus_angulata,Homopus_areolatus,0,0.0808363,0,0.0200943,0
22000,Homopus_angulata,Homopus_areolatus,0,0.0568062,0,0.00824071,0
24000,Homopus_angulata,Homopus_areolatus,0,0.0362516,0,0.00331699,0
26000,Homopus_angulata,Homopus_areolatus,0,0.0758455,0,0.017581,0
28000,Homopus_angulata,Homopus_areolatus,0,0.125055,0,0.135446,0
30000,Homopus_angulata,Homopus_areolatus,0,0.133769,0,0.129711,0
32000,Homopus_angulata,Homopus_areolatus,0,0.15839,0,0.00677181,0
34000,Homopus_angulata,Homopus_areolatus,0,0.21203,0,0.115504,0
36000,Homopus_angulata,Homopus_areolatus,0,0.0879762,0,0.0182535,0
38000,Homopus_angulata,Homopus_areolatus,0,0.0244123,0,0.0113399,0
40000,Homopus_angulata,Homopus_areolatus,0,0.0434783,0,0.0172943,0
42000,Homopus_angulata,Homopus_areolatus,0,0.061831,0,0.00325315,0
44000,Homopus_angulata,Homopus_areolatus,0,0.0568848,0,0.0362666,0
46000,Homopus_angulata,Homopus_areolatus,0,0.107083,0,0.0355161,0
48000,Homopus_angulata,Homopus_areolatus,0,0.156544,0,0.0477609,0
48000,Homopus_femoralis,NA,13.7208,0.062955,0,0.36058,0
48000,Homopus_boulengeri,Homopus_solus,15.3503,0.405825,0,0.45562,0
50000,Homopus_angulata,Homopus_areolatus,0,0.0282905,0,0.00894772,0
52000,Homopus_angulata,Homopus_areolatus,0,0.0919277,0,0.0534053,0
54000,Homopus_angulata,Homopus_areolatus,0,0.0966757,0,0.0546272,0
54000,Homopus_boulengeri,Homopus_solus,19.9042,0.400556,0,0.0614752,0
56000,Homopus_angulata,Homopus_areolatus,0,0.0660083,0,0.0129393,0
58000,Homopus_angulata,Homopus_areolatus,0,0.0716163,0,0.025912,0
60000,Homopus_angulata,Homopus_areolatus,0,0.0234362,0,0.00118816,0
60000,Homopus_boulengeri,NA,22.4732,0.152017,0,0.123015,0
62000,Homopus_angulata,Homopus_areolatus,0,0.0520421,0,0.00240145,0
64000,Homopus_angulata,Homopus_areolatus,0,0.0488993,0,0.0237056,0
64000,Homopus_areolatus,NA,21.1099,0.316763,0,0.176598,0
66000,Homopus_angulata,Homopus_areolatus,0,0.0106384,0,0.0334663,0
