generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-0.243773,-17.0487,0.243773,1
2000,0,-0.253984,-21.952,0.253984,0.531
4000,0,-0.335991,-17.0579,0.335991,0.485
6000,0,-0.422701,-17.4142,0.422701,0.488
8000,0,-0.541865,-17.4406,0.541865,0.516
10000,0,-0.00569844,-16.962,0.00569844,0.5235
12000,0,-0.114187,-19.9414,0.114187,0.5025
14000,0,-1.71788,-16.7267,1.71788,0.4855
16000,0,-0.702122,-18.267,0.702122,0.5455
18000,0,-0.288523,-18.5705,0.288523,0.5005
20000,0,-0.0365797,-17.6083,0.0365797,0.587
22000,0,-0.295676,-16.8985,0.295676,0.527
24000,0,-0.278776,-16.824,0.278776,0.617
26000,0,-0.326537,-17.4442,0.326537,0.512
28000,0,-0.441554,-20.5735,0.441554,0.532
30000,0,-0.885924,-20.3428,0.885924,0.513
32000,0,-0.381739,-21.6165,0.381739,0.542
34000,0,-0.677938,-21.9746,0.677938,0.569
36000,0,-0.00173944,-17.8079,0.00173944,0.4985
38000,0,-0.372762,-17.8913,0.372762,0.5275
40000,0,-0.0492837,-17.2503,0.0492837,0.513
42000,0,-0.40369,-16.8722,0.40369,0.54
44000,0,-0.787361,-17.7902,0.787361,0.5655
46000,0,-0.496495,-18.541,0.496495,0.551
48000,2,-1.06672,-23.1787,1.53783,0.5695
50000,0,-0.0790925,-17.453,0.0790925,0.53
52000,0,-0.323564,-18.3649,0.323564,0.53
54000,1,0.234389,-18.9364,0.675582,0.589
56000,0,-0.467463,-17.1473,0.467463,0.5485
58000,0,-0.082563,-17.5121,0.082563,0.5325
60000,1,-0.419577,-17.6267,2.02841,0.5195
62000,0,-0.68191,-16.6937,0.68191,0.5075
64000,1,0.277674,-18.1017,0.51521,0.4805
66000,1,0.411158,-21.0605,1.03132,0.5425
68000,0,-0.0666958,-16.9137,0.0666958,0.565
70000,0,-0.34866,-17.2274,0.34866,0.4685
72000,0,-0.5905,-17.0683,0.5905,0.556
74000,1,-1.34977,-17.9114,1.25763,0.528
76000,2,-0.858861,-19.0548,1.53878,0.5925
78000,1,-1.11186,-18.5165,0.834802,0.578
80000,0,-0.145921,-20.6581,0.145921,0.5925
82000,0,-0.0136979,-18.7577,0.0136979,0.563
84000,1,1.3625,-17.3922,0.445924,0.517
86000,0,-0.434729,-17.2303,0.434729,0.543
88000,0,-0.51897,-18.7594,0.51897,0.5185
90000,0,-0.720306,-17.8888,0.720306,0.507
92000,1,-1.28459,-20.4881,0.346459,0.576
94000,1,1.86672,-16.9546,0.291181,0.5615
96000,0,-0.504478,-20.1806,0.504478,0.5815
98000,0,-0.369084,-17.6942,0.369084,0.528
100000,0,-0.2052,-18.2867,0.2052,0.529
102000,0,-0.0823874,-19.2229,0.0823874,0.6195
104000,0,-0.100646,-17.806,0.100646,0.516
106000,2,1.78202,-18.7467,1.2878,0.5635
108000,0,-0.673829,-18.826,0.673829,0.5645
110000,0,-0.303258,-19.5593,0.303258,0.5225
112000,0,-0.121978,-17.2155,0.121978,0.514
114000,0,-0.102894,-17.6107,0.102894,0.5565
116000,0,-0.204288,-17.3749,0.204288,0.52
118000,2,2.39129,-19.2389,1.01883,0.5835
120000,0,-0.0855524,-16.8589,0.0855524,0.516
122000,0,-0.1276,-17.6997,0.1276,0.542
124000,0,-0.657346,-17.5759,0.657346,0.5705
126000,1,-0.418957,-19.6446,1.45521,0.5725
128000,0,-0.253249,-20.0552,0.253249,0.5515
130000,1,0.721526,-19.1076,1.19413,0.5215
132000,0,-0.0496722,-18.7672,0.0496722,0.6025
134000,0,-0.203017,-16.9694,0.203017,0.5075
136000,0,-0.110764,-17.2446,0.110764,0.5275
138000,0,-0.266024,-17.0903,0.266024,0.498
140000,0,-0.358386,-18.5351,0.358386,0.4865
142000,0,-0.544536,-18.4386,0.544536,0.5015
144000,2,-0.625268,-19.3885,1.49722,0.5785
146000,0,-0.0889181,-17.3653,0.0889181,0.5115
148000,0,-0.160951,-17.3307,0.160951,0.5605
150000,1,0.563772,-18.4386,0.831586,0.4855
152000,0,-2.88501,-17.519,2.88501,0.5865
154000,0,-1.2558,-17.36,1.2558,0.553
156000,0,-0.365941,-17.3317,0.365941,0.5055
158000,1,-0.655833,-19.7759,0.816962,0.573
160000,1,1.53328,-18.1124,0.336267,0.5995
162000,0,-0.0414864,-17.8854,0.0414864,0.5555
164000,0,-0.128067,-19.5809,0.128067,0.5355
166000,0,-1.89488,-18.1167,1.89488,0.5035
168000,0,-0.0255997,-17.7813,0.0255997,0.5215
170000,0,-0.124757,-17.9889,0.124757,0.557
172000,0,-0.291685,-17.0629,0.291685,0.573
174000,0,-0.127944,-17.4077,0.127944,0.46
176000,0,-0.197088,-17.8045,0.197088,0.55
178000,0,-0.0609592,-16.8716,0.0609592,0.5935
180000,0,-1.10431,-18.0079,1.10431,0.516
182000,1,0.237907,-17.0546,1.37608,0.499
184000,0,-0.110559,-17.43,0.110559,0.577
186000,0,-0.165406,-17.3397,0.165406,0.5365
188000,0,-0.836092,-18.6556,0.836092,0.5365
190000,1,1.09723,-17.3839,0.162266,0.661
192000,0,-0.336713,-20.2517,0.336713,0.471
194000,0,-0.143301,-23.719,0.143301,0.6105
196000,2,-0.41671,-16.9981,1.26243,0.577
198000,0,-0.440842,-19.0372,0.440842,0.5675
200000,0,-0.112154,-19.1969,0.112154,0.5215
202000,0,-0.614366,-18.9151,0.614366,0.548
204000,1,-0.623942,-19.3942,0.457773,0.534
206000,0,-1.66736,-20.3105,1.66736,0.5135
208000,0,-0.258966,-17.0227,0.258966,0.557
210000,0,-0.00171319,-19.9631,0.00171319,0.5285
212000,3,-2.39774,-18.8306,2.53544,0.5455
214000,0,-0.0739169,-18.6965,0.0739169,0.5165
216000,0,-0.177396,-18.4722,0.177396,0.539
218000,0,-0.286677,-19.3154,0.286677,0.4855
220000,0,-0.194074,-17.7621,0.194074,0.575
222000,0,-1.12985,-17.1603,1.12985,0.493
224000,0,-0.408269,-17.2439,0.408269,0.524
226000,0,-1.0205,-17.4854,1.0205,0.485
228000,0,-0.214191,-18.3726,0.214191,0.5395
230000,0,-0.339184,-19.5636,0.339184,0.4955
232000,0,-0.278642,-17.0196,0.278642,0.4945
234000,0,-0.354263,-17.0401,0.354263,0.4975
236000,0,-0.200879,-17.5951,0.200879,0.4995
238000,0,-0.0216449,-17.4339,0.0216449,0.503
240000,1,-0.766209,-17.5633,1.01247,0.5255
242000,0,-0.614872,-17.3871,0.614872,0.545
244000,0,-0.523239,-20.8532,0.523239,0.5315
246000,0,-0.711134,-18.6859,0.711134,0.539
248000,0,-1.09497,-17.6994,1.09497,0.4935
250000,1,0.650363,-17.3643,1.1136,0.485
252000,0,-0.195679,-17.3783,0.195679,0.5475
254000,1,0.0113781,-17.7555,0.395983,0.5095
256000,0,-0.0587753,-18.9159,0.0587753,0.546
258000,0,-0.696578,-19.3214,0.696578,0.6
260000,1,0.110415,-17.1466,1.68682,0.5005
262000,0,-0.319371,-17.6525,0.319371,0.598
264000,0,-0.498404,-17.122,0.498404,0.506
266000,0,-0.540189,-17.1177,0.540189,0.527
