generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Indotestudo_elongata,Indotestudo_forstenii,0,0.032,0,0.00391978,0
2000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0295305,0,0.0174017,0
2000,Indotestudo_elongata,NA,13.4893,0.119825,0,0.138221,0
4000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0665686,0,0.00506732,0
4000,Indotestudo_elongata,NA,12.8418,0.121923,0,0.217866,0
4000,Indotestudo_forstenii,NA,4.57684,0.0510349,0,0.0535922,0
4000,Indotestudo_travancorica,NA,3.91144,0.0362281,0,0.00329523,0
6000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0192883,0,0.00559481,0
8000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0555051,0,0.0307406,0
8000,Indotestudo_forstenii,NA,7.9069,0.00745521,0,0.0980215,0
8000,Indotestudo_elongata,NA,19.5006,0.0292953,0,0.0747885,0
10000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0304604,0,0.0355253,0
12000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0122694,0,0.015672,0
12000,Indotestudo_elongata,NA,7.33887,0.133219,0,0.0809109,0
12000,Indotestudo_elongata,NA,18.132,0.0456034,0,0.632559,0
14000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0551885,0,0.0333454,0
16000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0252234,0,0.00734987,0
18000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0422521,0,0.0492212,0
20000,Indotestudo_elongata,Indotestudo_forstenii,0,0.068966,0,0.129868,0
20000,Indotestudo_forstenii,NA,15.0109,0.0368808,0,0.0247255,0
22000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0135597,0,0.00201806,0
24000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0464412,0,0.0250288,0
26000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0170918,0,0.0102232,0
28000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0163509,0,0.0349462,0
30000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0419404,0,0.00222944,0
32000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0598063,0,0.0132032,0
34000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0657535,0,0.013308,0
36000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0348519,0,0.0434974,0
38000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0329819,0,0.0175175,0
40000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0773643,0,0.0329178,0
42000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0354613,0,0.0504686,0
44000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0937644,0,0.0999641,0
46000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0199301,0,0.0200151,0
46000,Indotestudo_elongata,Indotestudo_travancorica,2.04806,0.0334897,0,0.00496149,0
46000,Indotestudo_elongata,NA,13.3915,0.296664,0,0.0447154,0
48000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0175492,0,0.0294554,0
50000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0226699,0,0.0325788,0
52000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0632514,0,0.029718,0
52000,Indotestudo_forstenii,NA,3.01095,0.137073,0,0.144237,0
54000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0446096,0,0.00989133,0
56000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0376849,0,0.072487,0
58000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0331985,0,0.031492,0
58000,Indotestudo_travancorica,NA,14.6176,0.22683,0,0.0968436,0
60000,Indotestudo_elongata,Indotestudo_forstenii,0,0.085131,0,0.0336117,0
62000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0274529,0,0.0102718,0
64000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0879779,0,0.00936281,0
66000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0133451,0,0.0173514,0
68000,Indotestudo_elongata,Indotestudo_forstenii,0,0.161593,0,0.0905306,0
70000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0132773,0,0.0025168,0
72000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0192362,0,0.0175494,0
74000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0360941,0,0.0205932,0
76000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0131172,0,0.005505,0
78000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0594885,0,0.0470526,0
80000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0204291,0,0.0166703,0
82000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0464095,0,0.0139915,0
84000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0147402,0,0.00418683,0
86000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0159944,0,0.0327428,0
88000,Indotestudo_elongata,Indotestudo_forstenii,0,0.123969,0,0.0485794,0
90000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0849763,0,0.0149322,0
92000,Indotestudo_elongata,Indotestudo_forstenii,0,0.00528703,0,0.00810985,0
92000,Indotestudo_travancorica,NA,15.219,0.0481248,0,0.0207141,0
94000,Indotestudo_elongata,Indotestudo_forstenii,0,0.124537,0,0.0897108,0
96000,Indotestudo_elongata,Indotestudo_forstenii,0,0.055379,0,0.0116428,0
98000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0343375,0,0.00183112,0
100000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0557352,0,0.00438333,0
102000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0970726,0,0.0759283,0
102000,Indotestudo_forstenii,NA,1.79581,0.00656961,0,0.0319971,0
104000,Indotestudo_elongata,Indotestudo_forstenii,0,0.00641887,0,0.0186629,0
104000,Indotestudo_travancorica,NA,8.46982,0.000824055,0,0.09136,0
104000,Indotestudo_forstenii,NA,19.8348,0.0810623,0,0.184955,0
106000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0570052,0,0.0154161,0
106000,Indotestudo_travancorica,NA,20.1689,0.0022617,0,0.191889,0
106000,Indotestudo_elongata,NA,19.6709,0.0904104,0,0.0364616,0
106000,Indotestudo_forstenii,NA,18.5925,0.0183179,0,0.0547525,0
108000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0142531,0,0.00386596,0
110000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0187194,0,0.0163336,0
110000,Indotestudo_travancorica,NA,13.3414,0.325174,0,0.202673,0
112000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0305048,0,0.00230946,0
114000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0103002,0,0.00983315,0
114000,Indotestudo_elongata,NA,5.36102,0.0991315,0,0.0724332,0
116000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0393743,0,0.0526005,0
118000,Indotestudo_elongata,Indotestudo_forstenii,0,0.00282372,0,0.0110361,0
118000,Indotestudo_travancorica,NA,18.0969,0.419318,0,0.0256034,0
118000,Indotestudo_travancorica,NA,18.8485,0.26245,0,0.0519477,0
120000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0311876,0,0.00330895,0
122000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0562077,0,0.0127606,0
124000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0208485,0,0.0116771,0
126000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0315919,0,0.0207754,0
128000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0713072,0,0.0553941,0
130000,Indotestudo_elongata,Indotestudo_forstenii,0,0.114203,0,0.00431242,0
130000,Indotestudo_forstenii,NA,0.795394,0.119878,0,0.112293,0
130000,Indotestudo_forstenii,NA,14.398,0.125346,0,0.231524,0
130000,Indotestudo_forstenii,NA,12.9499,0.180919,0,0.00597534,0
130000,Indotestudo_forstenii,NA,9.05087,0.00103284,0,0.0216489,0
132000,Indotestudo_elongata,Indotestudo_forstenii,0,0.012647,0,0.00311918,0
134000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0542809,0,0.00183581,0
136000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0187467,0,0.00911835,0
138000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0400485,0,0.0220622,0
140000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0671028,0,0.0113981,0
142000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0361315,0,0.0301988,0
142000,Indotestudo_forstenii,NA,5.33404,0.0877862,0,0.0180678,0
142000,Indotestudo_forstenii,NA,19.9004,0.105162,0,0.193951,0
144000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0241159,0,0.00776664,0
146000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0308944,0,0.0420718,0
148000,Indotestudo_elongata,Indotestudo_forstenii,0,0.173966,0,0.0269799,0
148000,Indotestudo_forstenii,NA,4.83512,0.0248233,0,0.000588234,0
148000,Indotestudo_travancorica,NA,14.2064,0.0603904,0,0.186796,0
150000,Indotestudo_elongata,Indotestudo_forstenii,0,0.05189,0,0.00749834,0
152000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0162242,0,0.00886152,0
154000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0384008,0,0.0084141,0
156000,Indotestudo_elongata,Indotestudo_forstenii,0,0.041132,0,0.0418012,0
158000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0738552,0,0.0157879,0
160000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0413211,0,0.00510357,0
160000,Indotestudo_forstenii,NA,20.1288,0.00409884,0,0.261699,0
162000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0462637,0,0.00549163,0
164000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0566301,0,0.0403165,0
166000,Indotestudo_elongata,Indotestudo_forstenii,0,0.112572,0,0.000289642,0
166000,Indotestudo_forstenii,NA,14.6827,0.0540396,0,0.0354207,0
166000,Indotestudo_travancorica,NA,6.08291,0.0875576,0,0.00424859,0
166000,Indotestudo_elongata,NA,8.86239,0.103895,0,0.129669,0
168000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0435324,0,0.0132137,0
170000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0395977,0,0.015837,0
172000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0460545,0,0.0433477,0
174000,Indotestudo_elongata,Indotestudo_forstenii,0,0.017661,0,0.051233,0
176000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0575694,0,0.0390205,0
178000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0777491,0,0.0466515,0
180000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0258991,0,0.00329727,0
182000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0730863,0,0.0650892,0
184000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0418122,0,0.00627544,0
186000,Indotestudo_elongata,Indotestudo_forstenii,0,0.018811,0,0.0158247,0
188000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0741244,0,0.0335045,0
190000,Indotestudo_elongata,Indotestudo_forstenii,0,0.120558,0,0.0381425,0
190000,Indotestudo_travancorica,NA,4.35284,0.174019,0,0.0730377,0
192000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0625917,0,0.0045314,0
192000,Indotestudo_elongata,NA,8.81172,0.0150377,0,0.10312,0
194000,Indotestudo_elongata,Indotestudo_forstenii,0,0.01757,0,0.00671483,0
196000,Indotestudo_elongata,Indotestudo_forstenii,0,0.0737794,0,0.0134276,0
198000,Indotestudo_elongata,Indotestudo_forstenii,0,0.125704,0,0.050797,0
198000,Indotestudo_forstenii,NA,1.56252,0.00800004,0,0.0641744,0
