generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-5.4138,1,1
2000,1,0.490205,-6.57471,1.53259,0.6195
4000,3,6.81572,-6.43177,0.948507,0.7175
6000,0,-0.735866,-5.34057,0.735866,0.5735
8000,2,3.79794,-6.70344,2.03894,0.5735
10000,0,-0.504301,-6.48063,0.504301,0.6525
12000,2,1.30504,-7.16072,0.542113,0.593
14000,0,-0.0314305,-6.65274,0.0314305,0.6045
16000,0,-0.131177,-5.42696,0.131177,0.5415
18000,0,-0.0179896,-6.97041,0.0179896,0.622
20000,1,2.47988,-9.39508,0.690863,0.552
22000,0,-0.0446372,-5.25509,0.0446372,0.557
24000,0,-0.00653027,-6.28464,0.00653027,0.601
26000,0,-1.63557,-5.55082,1.63557,0.5875
28000,0,-0.0341758,-6.67676,0.0341758,0.5515
30000,0,-1.0396,-5.62034,1.0396,0.5995
32000,0,-0.0922013,-6.3805,0.0922013,0.6015
34000,0,-1.13311,-6.5775,1.13311,0.564
36000,0,-0.430667,-6.76815,0.430667,0.5885
38000,0,-0.790472,-5.856,0.790472,0.563
40000,0,-0.03522,-7.1765,0.03522,0.585
42000,0,-0.351567,-7.02609,0.351567,0.592
44000,0,-0.0669746,-8.62654,0.0669746,0.5665
46000,2,1.46983,-7.109,3.37204,0.6025
48000,0,-0.194867,-6.38822,0.194867,0.6065
50000,0,-0.470732,-6.42399,0.470732,0.6175
52000,1,1.50904,-7.81378,0.377794,0.639
54000,0,-0.279899,-5.87117,0.279899,0.555
56000,0,-0.352166,-7.86655,0.352166,0.5685
58000,1,-0.0390872,-7.31366,1.67836,0.5595
60000,0,-0.71291,-7.41197,0.71291,0.53
62000,0,-0.127377,-5.55099,0.127377,0.5995
64000,0,-0.839479,-7.3941,0.839479,0.603
66000,0,-0.0286409,-5.96155,0.0286409,0.6
68000,0,-0.333017,-9.79147,0.333017,0.551
70000,0,-0.0280631,-5.28403,0.0280631,0.579
72000,0,-0.726731,-5.83443,0.726731,0.617
74000,0,-0.306548,-5.99294,0.306548,0.6085
76000,0,-0.113269,-5.42312,0.113269,0.611
78000,0,-1.38258,-7.05109,1.38258,0.574
80000,0,-0.19847,-5.78523,0.19847,0.5955
82000,0,-0.382328,-6.01235,0.382328,0.567
84000,0,-0.328679,-5.32684,0.328679,0.5385
86000,0,-0.0642956,-6.58624,0.0642956,0.555
88000,0,-0.00641202,-8.71896,0.00641202,0.5565
90000,0,-0.658378,-7.28793,0.658378,0.5895
92000,1,1.77203,-6.33536,1.35644,0.5855
94000,0,-0.180889,-8.87485,0.180889,0.578
96000,0,-0.78559,-6.21625,0.78559,0.5665
98000,0,-0.0453788,-5.40504,0.0453788,0.6215
100000,0,-1.04643,-6.11049,1.04643,0.57
102000,1,2.57172,-7.01843,0.733655,0.6745
104000,2,3.977,-7.36318,0.991256,0.589
106000,3,6.10633,-6.31583,2.18293,0.5935
108000,0,-0.166002,-5.32218,0.166002,0.636
110000,1,-1.04772,-7.56449,1.49385,0.559
112000,0,-0.551559,-5.33485,0.551559,0.648
114000,1,2.06448,-7.0698,0.463684,0.572
116000,0,-0.116554,-7.08982,0.116554,0.553
118000,2,1.04137,-7.41396,1.58285,0.611
120000,0,-0.128616,-5.37902,0.128616,0.5835
122000,0,-0.352942,-6.26098,0.352942,0.567
124000,0,-0.219777,-5.57957,0.219777,0.581
126000,0,-0.344521,-5.95101,0.344521,0.568
128000,0,-0.21749,-7.41679,0.21749,0.6425
130000,4,6.67385,-8.38633,2.78223,0.599
132000,0,-0.721404,-5.32808,0.721404,0.6055
134000,0,-0.529414,-6.02036,0.529414,0.588
136000,0,-0.98179,-5.48701,0.98179,0.558
138000,0,-0.818014,-6.09393,0.818014,0.598
140000,0,-0.435429,-6.60195,0.435429,0.582
142000,2,3.16586,-6.84921,1.52912,0.607
144000,0,-0.115059,-5.43389,0.115059,0.6035
146000,0,-0.0225494,-6.72995,0.0225494,0.635
148000,2,4.73396,-7.95421,0.734546,0.605
150000,0,-0.938958,-6.03374,0.938958,0.6305
152000,0,-0.197814,-5.50506,0.197814,0.5825
154000,0,-0.248296,-5.6806,0.248296,0.5515
156000,0,-0.00800573,-6.71846,0.00800573,0.565
158000,0,-0.725394,-6.88379,0.725394,0.627
160000,1,-0.735295,-5.66347,2.71279,0.6145
162000,0,-1.06801,-5.82071,1.06801,0.6255
164000,0,-0.426773,-6.84368,0.426773,0.5505
166000,3,4.78556,-7.47916,3.38253,0.6085
168000,0,-0.366871,-5.92387,0.366871,0.624
170000,0,-0.190103,-5.90869,0.190103,0.6095
172000,0,-0.242511,-6.79914,0.242511,0.575
174000,0,-0.0109858,-7.39661,0.0109858,0.5495
176000,0,-0.48468,-6.82827,0.48468,0.559
178000,0,-0.158114,-7.37807,0.158114,0.58
180000,0,-1.29387,-5.29144,1.29387,0.6055
182000,0,-0.473842,-7.6531,0.473842,0.597
184000,0,-0.303414,-5.71145,0.303414,0.5795
186000,0,-0.86104,-5.76676,0.86104,0.561
188000,0,-0.944271,-7.09462,0.944271,0.5595
190000,1,1.6713,-9.32415,0.415711,0.5915
192000,1,2.17371,-6.47584,0.666553,0.6145
194000,0,-0.479088,-5.39689,0.479088,0.59
196000,0,-0.0353037,-6.86057,0.0353037,0.5335
198000,1,1.44267,-7.7194,1.66632,0.608
200000,0,-0.856854,-6.0315,0.856854,0.5865
202000,2,3.73101,-5.71733,1.00511,0.587
204000,0,-0.0749792,-6.44062,0.0749792,0.5965
206000,0,-0.0608407,-6.38106,0.0608407,0.613
208000,0,-0.0377404,-6.73514,0.0377404,0.5615
210000,0,-0.887208,-5.2277,0.887208,0.6445
212000,0,-0.267771,-6.43689,0.267771,0.6145
214000,0,-1.06119,-7.30561,1.06119,0.586
216000,0,-0.290553,-5.9693,0.290553,0.5895
218000,0,-0.283168,-5.80643,0.283168,0.579
220000,0,-0.601237,-7.51859,0.601237,0.5635
222000,0,-0.276767,-6.46677,0.276767,0.5485
224000,0,-0.29756,-5.56657,0.29756,0.582
226000,0,-0.270968,-5.27906,0.270968,0.572
228000,1,0.426139,-6.05852,0.867623,0.6675
230000,1,-0.429934,-7.3089,1.79991,0.567
232000,1,0.962434,-5.70141,2.34451,0.6005
234000,0,-0.050916,-6.00271,0.050916,0.608
236000,0,-0.108126,-6.44401,0.108126,0.598
238000,0,-0.627674,-9.13501,0.627674,0.625
240000,0,-0.249711,-5.90074,0.249711,0.5575
242000,0,-0.309256,-6.04918,0.309256,0.55
244000,1,-1.14077,-6.37469,1.99883,0.6095
246000,2,-2.33445,-9.337,1.76863,0.611
248000,0,-0.440203,-7.43085,0.440203,0.5605
250000,0,-0.00421128,-6.99453,0.00421128,0.585
252000,0,-0.0977336,-7.74874,0.0977336,0.5435
254000,0,-0.338701,-6.65857,0.338701,0.6365
256000,0,-0.0222082,-6.34875,0.0222082,0.5685
258000,0,-0.237106,-6.49375,0.237106,0.542
260000,0,-0.0719928,-6.5599,0.0719928,0.577
262000,0,-0.0682556,-6.54509,0.0682556,0.5725
264000,1,-0.132252,-6.61977,2.4481,0.5895
266000,1,2.22392,-8.33149,0.844702,0.6185
268000,1,0.541537,-6.94966,0.897672,0.57
270000,0,-0.104947,-7.05577,0.104947,0.591
272000,0,-0.231358,-6.39537,0.231358,0.6035
274000,0,-0.729737,-5.14938,0.729737,0.5895
276000,1,1.57833,-6.29578,0.0414714,0.5555
278000,0,-0.965351,-5.4879,0.965351,0.582
280000,0,-0.195347,-7.12404,0.195347,0.627
282000,1,1.26994,-6.82009,1.34372,0.6325
284000,0,-0.574312,-5.51146,0.574312,0.6395
286000,1,2.71843,-9.4001,0.228818,0.587
288000,0,-0.285222,-11.6165,0.285222,0.6215
290000,3,5.32079,-7.95401,0.555203,0.5835
292000,1,1.67307,-6.83275,0.378328,0.607
294000,2,3.07284,-6.88545,2.83924,0.6905
296000,0,-0.84058,-7.16675,0.84058,0.5735
298000,1,0.864042,-6.97817,0.965073,0.638
300000,0,-0.0815587,-8.54963,0.0815587,0.5945
302000,1,0.902331,-6.82919,1.67865,0.6185
304000,0,-0.583217,-5.68988,0.583217,0.5975
306000,0,-0.126811,-9.02569,0.126811,0.6065
308000,0,-0.579503,-5.63292,0.579503,0.5595
310000,0,-0.177766,-5.90657,0.177766,0.5985
312000,1,2.42468,-6.77918,1.00465,0.633
314000,0,-0.102817,-8.65945,0.102817,0.556
316000,0,-0.264593,-5.74014,0.264593,0.5495
318000,0,-0.227173,-7.13793,0.227173,0.6215
320000,0,-0.0867658,-7.73008,0.0867658,0.5315
322000,0,-0.406439,-5.39407,0.406439,0.5375
324000,1,-1.38162,-6.05048,2.40081,0.566
326000,0,-0.028475,-6.27953,0.028475,0.6995
328000,2,1.24683,-9.07838,1.52614,0.599
330000,0,-0.19452,-5.57038,0.19452,0.6145
332000,0,-0.0771306,-5.27277,0.0771306,0.572
334000,0,-0.493749,-6.88511,0.493749,0.546
336000,0,-0.235766,-6.03004,0.235766,0.616
338000,0,-1.09509,-6.15398,1.09509,0.562
340000,0,-0.0438677,-5.87352,0.0438677,0.5255
342000,2,4.39839,-7.1903,0.637427,0.5875
344000,0,-0.226645,-5.56256,0.226645,0.615
346000,0,-0.366337,-7.46919,0.366337,0.565
348000,1,0.480406,-10.6229,1.00746,0.556
350000,0,-1.29388,-5.45788,1.29388,0.5885
