generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Kinixys_belliana,Kinixys_erosa,0,0.032,0,0.005,0
2000,Kinixys_belliana,Kinixys_erosa,0,0.0893849,0,0.0363616,0
4000,Kinixys_belliana,Kinixys_erosa,0,0.0779644,0,0.0196256,0
6000,Kinixys_belliana,Kinixys_erosa,0,0.101396,0,0.00294129,0
8000,Kinixys_belliana,Kinixys_erosa,0,0.131811,0,5.55548e-05,0
10000,Kinixys_belliana,Kinixys_erosa,0,0.161439,0,0.0983538,0
10000,Kinixys_homeana,NA,13.1171,0.316127,0,0.0981336,0
10000,Kinixys_homeana,NA,10.0167,0.0787712,0,0.346213,0
12000,Kinixys_belliana,Kinixys_erosa,0,0.121318,0,0.0320814,0
12000,Kinixys_spekii,NA,13.5797,0.0543273,0,0.427955,0
14000,Kinixys_belliana,Kinixys_erosa,0,0.0933205,0,0.0664739,0
16000,Kinixys_belliana,Kinixys_erosa,0,0.104366,0,0.0399783,0
16000,Kinixys_nogueyi,NA,14.8555,0.0600622,0,0.0683396,0
18000,Kinixys_belliana,Kinixys_erosa,0,0.144677,0,0.0427163,0
20000,Kinixys_belliana,Kinixys_erosa,0,0.0784915,0,0.0410806,0
22000,Kinixys_belliana,Kinixys_erosa,0,0.12314,0,0.101657,0
24000,Kinixys_belliana,Kinixys_erosa,0,0.100825,0,0.0194562,0
26000,Kinixys_belliana,Kinixys_erosa,0,0.0829795,0,0.0216716,0
26000,Kinixys_natalensis,NA,8.83883,0.0818233,0,0.0614659,0
28000,Kinixys_belliana,Kinixys_erosa,0,0.095482,0,0.0971789,0
30000,Kinixys_belliana,Kinixys_erosa,0,0.23093,0,0.196025,0
32000,Kinixys_belliana,Kinixys_erosa,0,0.145344,0,0.0163434,0
34000,Kinixys_belliana,Kinixys_erosa,0,0.106199,0,0.0328422,0
36000,Kinixys_belliana,Kinixys_erosa,0,0.0940078,0,0.00923355,0
38000,Kinixys_belliana,Kinixys_erosa,0,0.200413,0,0.0874382,0
40000,Kinixys_belliana,Kinixys_erosa,0,0.153374,0,0.0520256,0
40000,Kinixys_lobatsiana,NA,13.3094,0.599353,0,0.417445,0
42000,Kinixys_belliana,Kinixys_erosa,0,0.0704102,0,0.0557311,0
44000,Kinixys_belliana,Kinixys_erosa,0,0.0493806,0,0.0188909,0
46000,Kinixys_belliana,Kinixys_erosa,0,0.121215,0,0.0314323,0
48000,Kinixys_belliana,Kinixys_erosa,0,0.156881,0,0.0318774,0
50000,Kinixys_belliana,Kinixys_erosa,0,0.19611,0,0.152083,0
