generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-23.5437,1,0
2000,0,-2.42427,-22.1434,2.42427,0.5035
4000,0,-0.654884,-21.7816,0.654884,0.5
6000,0,-0.840436,-21.4056,0.840436,0.5385
8000,0,-0.046404,-22.0189,0.046404,0.4955
10000,2,0.312878,-24.7022,0.907581,0.5265
12000,1,-0.0802629,-22.9302,0.558012,0.587
14000,0,-0.127813,-23.0255,0.127813,0.519
16000,1,-0.309313,-22.4842,1.53526,0.489
18000,0,-0.0436651,-22.6428,0.0436651,0.514
20000,0,-0.378527,-22.4688,0.378527,0.5395
22000,0,-0.192387,-23.6976,0.192387,0.575
24000,0,-0.077808,-21.7061,0.077808,0.5745
26000,1,0.928496,-21.9623,0.265979,0.4865
28000,0,-0.0372982,-24.0815,0.0372982,0.5035
30000,0,-0.226654,-25.6083,0.226654,0.489
32000,0,-0.0465533,-22.4743,0.0465533,0.4825
34000,0,-0.290711,-22.0117,0.290711,0.5085
36000,0,-0.0550562,-21.4564,0.0550562,0.503
38000,0,-0.113368,-24.145,0.113368,0.485
40000,1,-1.87641,-24.1952,1.22404,0.568
42000,0,-0.0837766,-23.2734,0.0837766,0.54
44000,0,-0.670169,-22.7209,0.670169,0.4675
46000,0,-0.0601967,-22.1168,0.0601967,0.4875
48000,0,-0.167173,-22.853,0.167173,0.4815
50000,0,-0.20059,-24.7178,0.20059,0.512
52000,0,-0.618587,-21.6078,0.618587,0.5265
54000,0,-1.12968,-21.7871,1.12968,0.4845
56000,0,-0.227059,-24.2017,0.227059,0.491
58000,0,-1.889,-21.7237,1.889,0.507
60000,0,-0.874267,-22.0457,0.874267,0.4965
62000,0,-0.841073,-22.3869,0.841073,0.53
64000,0,-0.160022,-23.7722,0.160022,0.5095
66000,0,-0.425818,-22.0313,0.425818,0.482
68000,1,-1.17457,-23.9852,1.03194,0.4995
70000,0,-0.661522,-22.2324,0.661522,0.507
72000,0,-0.358031,-22.8103,0.358031,0.5015
74000,0,-0.851175,-23.2014,0.851175,0.52
76000,1,-0.709569,-22.756,0.938171,0.521
78000,0,-0.912437,-22.3215,0.912437,0.5315
80000,0,-0.203092,-21.7328,0.203092,0.5015
82000,0,-0.175871,-21.6151,0.175871,0.5125
84000,3,-3.03504,-23.0921,2.3264,0.516
86000,0,-0.323848,-22.7119,0.323848,0.477
88000,0,-0.354912,-22.9729,0.354912,0.4825
90000,0,-0.0680299,-23.122,0.0680299,0.4815
92000,0,-0.326613,-21.7802,0.326613,0.56
94000,0,-0.473404,-21.9257,0.473404,0.484
96000,0,-0.107251,-21.3874,0.107251,0.519
98000,0,-1.24834,-23.478,1.24834,0.5605
100000,1,0.377603,-22.507,0.602652,0.565
102000,0,-0.0338371,-22.4084,0.0338371,0.494
104000,0,-0.54319,-23.2515,0.54319,0.492
106000,0,-0.18093,-23.1693,0.18093,0.467
108000,0,-0.299186,-22.0594,0.299186,0.5225
110000,0,-0.00644551,-21.9143,0.00644551,0.509
112000,0,-0.812573,-23.3354,0.812573,0.498
114000,0,-0.964833,-22.9294,0.964833,0.5025
116000,0,-0.577991,-22.305,0.577991,0.47
118000,1,0.127043,-23.7997,0.299788,0.5495
120000,0,-0.0115914,-21.5558,0.0115914,0.492
122000,0,-0.0611506,-24.8315,0.0611506,0.5165
124000,0,-0.252377,-21.6493,0.252377,0.482
126000,0,-0.235268,-21.5305,0.235268,0.5545
128000,0,-0.116595,-21.8869,0.116595,0.5255
