generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Manouria_emys,Manouria_impressa,0,0.032,0,0.005,0
2000,Manouria_emys,Manouria_impressa,0,0.00832701,0,0.0105516,0
4000,Manouria_emys,Manouria_impressa,0,0.0171171,0,0.0078642,0
4000,Manouria_impressa,NA,9.47267,0.0110101,0,0.0630406,0
6000,Manouria_emys,Manouria_impressa,0,0.0169792,0,0.0836904,0
8000,Manouria_emys,Manouria_impressa,0,0.0407086,0,0.00944099,0
10000,Manouria_emys,Manouria_impressa,0,0.00207848,0,0.0151212,0
12000,Manouria_emys,Manouria_impressa,0,0.0707669,0,0.0696538,0
14000,Manouria_emys,Manouria_impressa,0,0.0261583,0,0.00351562,0
16000,Manouria_emys,Manouria_impressa,0,0.0239914,0,0.010487,0
18000,Manouria_emys,Manouria_impressa,0,0.0269584,0,0.00553466,0
20000,Manouria_emys,Manouria_impressa,0,0.0182487,0,0.0207066,0
22000,Manouria_emys,Manouria_impressa,0,0.0358682,0,0.0317911,0
24000,Manouria_emys,Manouria_impressa,0,0.00396571,0,0.0465537,0
24000,Manouria_impressa,NA,3.21354,0.0113691,0,0.0565992,0
26000,Manouria_emys,Manouria_impressa,0,0.0727275,0,0.0148135,0
26000,Manouria_emys,NA,13.3589,0.0429594,0,0.0265475,0
26000,Manouria_emys,NA,14.8939,0.0657729,0,0.010117,0
28000,Manouria_emys,Manouria_impressa,0,0.0125449,0,0.0270857,0
30000,Manouria_emys,Manouria_impressa,0,0.0357811,0,0.0307249,0
30000,Manouria_emys,NA,5.38977,0.0149007,0,0.00529619,0
32000,Manouria_emys,Manouria_impressa,0,0.00747784,0,0.00112112,0
32000,Manouria_impressa,NA,7.70964,0.0617745,0,0.0134777,0
32000,Manouria_impressa,NA,15.2737,0.0337309,0,0.187926,0
32000,Manouria_emys,NA,5.33741,0.0872652,0,0.0469067,0
34000,Manouria_emys,Manouria_impressa,0,0.0178198,0,0.0205764,0
34000,Manouria_emys,NA,4.10857,0.00699612,0,0.0655562,0
36000,Manouria_emys,Manouria_impressa,0,0.0118093,0,0.00125454,0
38000,Manouria_emys,Manouria_impressa,0,0.020281,0,0.051884,0
40000,Manouria_emys,Manouria_impressa,0,0.0545765,0,0.0164012,0
40000,Manouria_impressa,NA,17.7483,0.0443397,0,0.197667,0
42000,Manouria_emys,Manouria_impressa,0,0.0283497,0,0.0101958,0
44000,Manouria_emys,Manouria_impressa,0,0.0111525,0,0.000442457,0
46000,Manouria_emys,Manouria_impressa,0,0.0365855,0,0.045448,0
46000,Manouria_impressa,NA,12.9933,0.0493394,0,0.0826581,0
46000,Manouria_emys,NA,16.1068,0.0481352,0,0.224525,0
48000,Manouria_emys,Manouria_impressa,0,0.0533116,0,0.135475,0
48000,Manouria_impressa,NA,15.7476,0.0646921,0,0.0185945,0
48000,Manouria_emys,NA,7.18133,0.0150694,0,0.0506063,0
48000,Manouria_emys,NA,15.3116,0.0784731,0,0.119261,0
48000,Manouria_emys,NA,1.64318,0.0117198,0,0.0335761,0
50000,Manouria_emys,Manouria_impressa,0,0.0280782,0,0.0822836,0
52000,Manouria_emys,Manouria_impressa,0,0.0220848,0,0.0225127,0
54000,Manouria_emys,Manouria_impressa,0,0.0216667,0,0.0394389,0
54000,Manouria_impressa,NA,5.27185,0.0748531,0,0.0606336,0
54000,Manouria_emys,NA,9.39592,0.0363173,0,0.0527261,0
56000,Manouria_emys,Manouria_impressa,0,0.0374034,0,0.0767062,0
58000,Manouria_emys,Manouria_impressa,0,0.0237763,0,0.00127229,0
58000,Manouria_impressa,NA,19.1366,0.204731,0,0.11939,0
58000,Manouria_emys,NA,10.9998,0.0293299,0,0.0813468,0
58000,Manouria_emys,NA,4.90328,0.144244,0,0.120244,0
60000,Manouria_emys,Manouria_impressa,0,0.0147718,0,0.00137791,0
60000,Manouria_emys,NA,14.8827,0.009352,0,0.0895136,0
62000,Manouria_emys,Manouria_impressa,0,0.06371,0,0.0344331,0
62000,Manouria_emys,NA,15.414,0.170964,0,0.160314,0
64000,Manouria_emys,Manouria_impressa,0,0.024038,0,0.00345634,0
66000,Manouria_emys,Manouria_impressa,0,0.042493,0,0.0370055,0
66000,Manouria_impressa,NA,10.7443,0.0716306,0,0.157273,0
68000,Manouria_emys,Manouria_impressa,0,0.0240648,0,0.00453429,0
68000,Manouria_impressa,NA,18.1687,0.0676246,0,0.223571,0
70000,Manouria_emys,Manouria_impressa,0,0.00612901,0,0.0444398,0
72000,Manouria_emys,Manouria_impressa,0,0.00573265,0,0.00372181,0
74000,Manouria_emys,Manouria_impressa,0,0.0012927,0,0.00572201,0
76000,Manouria_emys,Manouria_impressa,0,0.00600843,0,0.00610359,0
78000,Manouria_emys,Manouria_impressa,0,0.0633308,0,0.0623231,0
80000,Manouria_emys,Manouria_impressa,0,0.0579618,0,0.0199113,0
82000,Manouria_emys,Manouria_impressa,0,0.0103383,0,0.00140683,0
82000,Manouria_impressa,NA,16.807,0.0892544,0,0.00456084,0
82000,Manouria_impressa,NA,17.1999,0.0921655,0,0.186241,0
82000,Manouria_emys,NA,9.29289,0.280427,0,0.185485,0
82000,Manouria_emys,NA,12.1438,0.0402019,0,0.0261877,0
84000,Manouria_emys,Manouria_impressa,0,0.024651,0,0.00676962,0
86000,Manouria_emys,Manouria_impressa,0,0.024018,0,0.0341969,0
86000,Manouria_emys,NA,11.086,0.100748,0,0.0473581,0
86000,Manouria_impressa,NA,1.69567,0.0116936,0,0.0310426,0
86000,Manouria_impressa,NA,13.7546,0.0084013,0,0.1298,0
86000,Manouria_emys,NA,18.759,0.00398679,0,0.0140403,0
88000,Manouria_emys,Manouria_impressa,0,0.0183667,0,0.0469927,0
88000,Manouria_impressa,NA,14.8264,0.0504071,0,0.0122531,0
90000,Manouria_emys,Manouria_impressa,0,0.0563394,0,0.0636828,0
92000,Manouria_emys,Manouria_impressa,0,0.0207305,0,0.0335086,0
94000,Manouria_emys,Manouria_impressa,0,0.0398936,0,0.0346966,0
96000,Manouria_emys,Manouria_impressa,0,0.0182838,0,0.013448,0
98000,Manouria_emys,Manouria_impressa,0,0.00631956,0,0.0192143,0
100000,Manouria_emys,Manouria_impressa,0,0.105851,0,0.0552513,0
100000,Manouria_emys,NA,0.0197697,0.0930213,0,0.155998,0
102000,Manouria_emys,Manouria_impressa,0,0.0135749,0,0.0304358,0
102000,Manouria_impressa,NA,10.3617,0.0112297,0,0.030118,0
102000,Manouria_impressa,NA,19.0603,0.19377,0,0.193089,0
104000,Manouria_emys,Manouria_impressa,0,0.0385208,0,0.112549,0
106000,Manouria_emys,Manouria_impressa,0,0.0720818,0,0.0144568,0
108000,Manouria_emys,Manouria_impressa,0,0.0375789,0,0.0216608,0
108000,Manouria_impressa,NA,10.6514,0.0565215,0,0.211408,0
110000,Manouria_emys,Manouria_impressa,0,0.0102287,0,0.0429404,0
112000,Manouria_emys,Manouria_impressa,0,0.0155327,0,0.0149318,0
114000,Manouria_emys,Manouria_impressa,0,0.0196879,0,0.0417639,0
116000,Manouria_emys,Manouria_impressa,0,0.103179,0,0.0398892,0
118000,Manouria_emys,Manouria_impressa,0,0.141864,0,0.00389201,0
120000,Manouria_emys,Manouria_impressa,0,0.0441365,0,0.120204,0
120000,Manouria_emys,NA,15.5782,0.195516,0,0.18502,0
120000,Manouria_impressa,NA,4.55112,0.0798666,0,0.013332,0
122000,Manouria_emys,Manouria_impressa,0,0.0131175,0,0.0830333,0
122000,Manouria_impressa,NA,10.1377,0.0369408,0,0.0530107,0
124000,Manouria_emys,Manouria_impressa,0,0.0176405,0,0.051658,0
126000,Manouria_emys,Manouria_impressa,0,0.00124743,0,0.00508829,0
126000,Manouria_impressa,NA,18.5387,0.294473,0,0.106588,0
128000,Manouria_emys,Manouria_impressa,0,0.0131473,0,0.0193903,0
128000,Manouria_impressa,NA,12.8063,0.0143029,0,0.117506,0
128000,Manouria_emys,NA,10.0851,0.0452127,0,0.00542094,0
130000,Manouria_emys,Manouria_impressa,0,0.0140207,0,0.0535742,0
130000,Manouria_impressa,NA,14.4432,0.0058164,0,0.0170953,0
132000,Manouria_emys,Manouria_impressa,0,0.00478811,0,0.00591313,0
134000,Manouria_emys,Manouria_impressa,0,0.0813808,0,0.0256931,0
134000,Manouria_impressa,NA,6.14193,0.073318,0,0.041227,0
134000,Manouria_impressa,NA,2.55911,0.0495667,0,0.0811693,0
134000,Manouria_emys,NA,8.48922,0.0965842,0,0.178986,0
134000,Manouria_emys,NA,16.1003,0.143931,0,0.0416182,0
136000,Manouria_emys,Manouria_impressa,0,0.00909267,0,0.0325558,0
138000,Manouria_emys,Manouria_impressa,0,0.011264,0,0.0363264,0
140000,Manouria_emys,Manouria_impressa,0,0.0179345,0,0.0499871,0
142000,Manouria_emys,Manouria_impressa,0,0.0413005,0,0.0396184,0
144000,Manouria_emys,Manouria_impressa,0,0.0485017,0,0.0385207,0
144000,Manouria_emys,NA,15.9533,0.0762654,0,0.205773,0
146000,Manouria_emys,Manouria_impressa,0,0.0877473,0,0.106444,0
146000,Manouria_emys,NA,12.526,0.0335998,0,0.179228,0
148000,Manouria_emys,Manouria_impressa,0,0.0387398,0,0.0102793,0
150000,Manouria_emys,Manouria_impressa,0,0.00470942,0,0.0129915,0
152000,Manouria_emys,Manouria_impressa,0,0.0677396,0,0.0488947,0
152000,Manouria_emys,NA,4.51387,0.0532098,0,0.0267401,0
154000,Manouria_emys,Manouria_impressa,0,0.0163613,0,0.0217169,0
156000,Manouria_emys,Manouria_impressa,0,0.0314613,0,0.0121581,0
158000,Manouria_emys,Manouria_impressa,0,0.00880611,0,0.0181041,0
160000,Manouria_emys,Manouria_impressa,0,0.0283512,0,0.0244003,0
162000,Manouria_emys,Manouria_impressa,0,0.0109453,0,0.07318,0
164000,Manouria_emys,Manouria_impressa,0,0.0176311,0,0.0435189,0
166000,Manouria_emys,Manouria_impressa,0,0.00508481,0,0.00683749,0
166000,Manouria_impressa,NA,19.0991,0.145372,0,0.441672,0
168000,Manouria_emys,Manouria_impressa,0,0.0150282,0,0.0489378,0
168000,Manouria_impressa,NA,12.34,0.0724121,0,0.103018,0
168000,Manouria_impressa,NA,17.716,0.0327707,0,0.0607965,0
170000,Manouria_emys,Manouria_impressa,0,0.0701448,0,0.0405536,0
170000,Manouria_emys,NA,4.71505,0.0984588,0,0.07859,0
170000,Manouria_emys,NA,10.8751,0.15464,0,0.288741,0
172000,Manouria_emys,Manouria_impressa,0,0.0635301,0,0.00153546,0
174000,Manouria_emys,Manouria_impressa,0,0.0396209,0,0.00863019,0
176000,Manouria_emys,Manouria_impressa,0,0.0318784,0,0.00391614,0
178000,Manouria_emys,Manouria_impressa,0,0.00891212,0,0.00684682,0
180000,Manouria_emys,Manouria_impressa,0,0.0424865,0,0.022694,0
180000,Manouria_impressa,NA,14.6762,0.0803512,0,0.00279313,0
182000,Manouria_emys,Manouria_impressa,0,0.00226947,0,0.0400621,0
184000,Manouria_emys,Manouria_impressa,0,0.0105321,0,0.00922895,0
186000,Manouria_emys,Manouria_impressa,0,0.0529338,0,0.0166913,0
186000,Manouria_impressa,NA,6.89281,0.139785,0,0.0193924,0
186000,Manouria_impressa,NA,11.1399,0.0349793,0,0.0218922,0
188000,Manouria_emys,Manouria_impressa,0,0.122427,0,0.0390347,0
190000,Manouria_emys,Manouria_impressa,0,0.0285286,0,0.00493735,0
192000,Manouria_emys,Manouria_impressa,0,0.05059,0,0.0109766,0
194000,Manouria_emys,Manouria_impressa,0,0.0134454,0,0.00967156,0
194000,Manouria_impressa,NA,2.06455,0.0468222,0,0.148817,0
194000,Manouria_impressa,NA,14.2551,0.0187132,0,0.265637,0
194000,Manouria_emys,NA,17.1334,0.0443464,0,0.0188476,0
196000,Manouria_emys,Manouria_impressa,0,0.00791308,0,0.00109839,0
196000,Manouria_impressa,NA,12.9698,0.0329153,0,0.164045,0
198000,Manouria_emys,Manouria_impressa,0,0.102757,0,0.00691406,0
198000,Manouria_impressa,NA,10.7968,0.0418353,0,0.0536644,0
200000,Manouria_emys,Manouria_impressa,0,0.00887778,0,0.0136239,0
200000,Manouria_impressa,NA,12.3708,0.0764821,0,0.0222868,0
202000,Manouria_emys,Manouria_impressa,0,0.0180752,0,0.0255541,0
204000,Manouria_emys,Manouria_impressa,0,0.0151294,0,0.0548674,0
206000,Manouria_emys,Manouria_impressa,0,0.036109,0,0.0235399,0
208000,Manouria_emys,Manouria_impressa,0,0.049003,0,0.0543612,0
210000,Manouria_emys,Manouria_impressa,0,0.0245527,0,0.00827892,0
212000,Manouria_emys,Manouria_impressa,0,0.0830333,0,0.00508058,0
212000,Manouria_emys,NA,15.5957,0.0099077,0,0.229474,0
214000,Manouria_emys,Manouria_impressa,0,0.0893937,0,0.0164299,0
216000,Manouria_emys,Manouria_impressa,0,0.0549438,0,0.00574093,0
216000,Manouria_impressa,NA,3.88395,0.0811419,0,0.0380266,0
