generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.53623,-1.37916,1.53623,1
2000,0,-0.261211,-0.762973,0.261211,0.61
4000,1,3.53379,-1.3061,0.305149,0.5925
6000,0,-0.0609981,-3.40684,0.0609981,0.608
8000,0,-1.01852,-1.76084,1.01852,0.618
10000,0,-0.0258561,-0.756687,0.0258561,0.641
12000,0,-0.844274,-3.47675,0.844274,0.607
14000,0,-0.443589,-1.14106,0.443589,0.5545
16000,0,-0.504297,-1.23911,0.504297,0.6025
18000,0,-0.647961,-1.21596,0.647961,0.568
20000,0,-0.294925,-1.35934,0.294925,0.6215
22000,0,-0.199929,-2.07507,0.199929,0.607
24000,1,2.90891,-2.18462,0.989632,0.604
26000,2,7.52085,-2.82865,0.18354,0.687
28000,0,-0.786828,-1.42831,0.786828,0.6115
30000,1,2.73539,-1.62919,1.63127,0.673
32000,3,7.53846,-2.45408,1.93107,0.6455
34000,1,2.58458,-1.84077,1.26905,0.7065
36000,0,-0.0551278,-0.56927,0.0551278,0.619
38000,0,-0.526466,-2.35893,0.526466,0.5725
40000,1,0.505387,-2.27015,1.68775,0.5935
42000,0,-0.0407092,-1.3704,0.0407092,0.652
44000,0,-0.124925,-0.519861,0.124925,0.586
46000,2,3.27188,-2.89126,1.89201,0.5905
48000,4,12.3888,-3.90899,2.02831,0.685
50000,0,-0.53451,-3.38025,0.53451,0.711
52000,0,-1.83498,-1.50819,1.83498,0.567
54000,2,5.8344,-2.76324,1.09456,0.5795
56000,0,-0.250843,-3.25919,0.250843,0.701
58000,3,5.1882,-2.13141,1.65317,0.6645
60000,1,1.90586,-0.941403,1.68992,0.6755
62000,1,0.475551,-3.13861,0.842809,0.596
64000,0,-0.500582,-1.06473,0.500582,0.6255
66000,1,1.03769,-2.92694,1.28384,0.567
68000,1,0.820862,-1.28919,0.890269,0.6875
70000,0,-0.561729,-1.93622,0.561729,0.588
72000,0,-0.0711029,-0.4415,0.0711029,0.6285
74000,0,-0.0665677,-0.370912,0.0665677,0.5835
76000,0,-0.885252,-0.535636,0.885252,0.6325
78000,0,-0.456202,-3.22955,0.456202,0.6735
80000,0,-0.436089,-2.46567,0.436089,0.5765
82000,4,7.3367,-2.11611,2.05813,0.603
84000,0,-0.410718,-1.16722,0.410718,0.6395
86000,4,9.94383,-2.63955,4.91349,0.632
88000,1,3.31745,-2.21206,0.633107,0.7285
90000,0,-0.436797,-3.14558,0.436797,0.604
92000,0,-0.643372,-1.79743,0.643372,0.6485
94000,0,-0.541387,-2.23196,0.541387,0.625
96000,0,-0.0126395,-1.1468,0.0126395,0.59
98000,0,-0.175399,-1.01508,0.175399,0.626
100000,1,2.07329,-4.71687,0.0511239,0.584
102000,2,2.67218,-1.75234,2.26094,0.592
104000,0,-1.08244,-4.33433,1.08244,0.6925
106000,0,-0.0890104,-2.87528,0.0890104,0.6485
108000,1,1.50245,-2.87645,0.436665,0.59
110000,0,-0.385699,-1.93325,0.385699,0.613
112000,0,-1.72535,-1.11244,1.72535,0.6465
114000,0,-0.0678338,-2.03161,0.0678338,0.61
116000,0,-0.584064,-3.9421,0.584064,0.624
118000,0,-0.346403,-5.49666,0.346403,0.624
120000,2,3.22247,-4.64599,1.26453,0.675
122000,1,2.6914,-3.27135,0.99173,0.6485
124000,0,-2.3035,-2.32107,2.3035,0.609
126000,1,-1.98007,-0.787125,2.61463,0.641
128000,2,6.3027,-1.90485,1.03868,0.6425
130000,1,3.60332,-2.16609,0.736735,0.643
132000,0,-0.0751206,-0.489652,0.0751206,0.6955
134000,4,8.54308,-3.65066,2.79315,0.681
136000,0,-0.48247,-1.54896,0.48247,0.6875
138000,0,-0.408607,-1.71764,0.408607,0.709
140000,0,-2.17009,-2.26981,2.17009,0.6615
142000,0,-0.0111273,-2.37045,0.0111273,0.6265
144000,1,1.51269,-2.7146,0.288179,0.615
146000,1,0.958562,-4.27581,1.52049,0.6315
148000,0,-0.794637,-1.71014,0.794637,0.6615
150000,0,-0.107647,-0.746714,0.107647,0.651
152000,1,2.15799,-2.87087,1.62314,0.631
154000,0,-0.666189,-1.34299,0.666189,0.6335
156000,0,-0.550456,-1.51344,0.550456,0.703
158000,0,-2.18314,-1.03713,2.18314,0.613
160000,0,-0.262631,-1.71567,0.262631,0.6055
162000,0,-0.463842,-3.02341,0.463842,0.6755
164000,0,-0.549014,-2.05605,0.549014,0.6355
166000,1,-1.8613,-0.887231,0.673398,0.7075
168000,2,5.85987,-2.60694,0.633349,0.617
170000,2,1.23218,-3.96939,1.81735,0.6755
172000,0,-0.815743,-2.49004,0.815743,0.598
174000,0,-1.26694,-1.71017,1.26694,0.657
176000,0,-0.695848,-1.35271,0.695848,0.576
178000,0,-0.938182,-0.654325,0.938182,0.6275
180000,1,2.09275,-2.23009,1.65708,0.6045
182000,0,-1.5127,-1.72286,1.5127,0.6065
184000,0,-0.13238,-0.784635,0.13238,0.6345
186000,2,6.16965,-2.41762,0.842419,0.616
188000,0,-0.125167,-4.52457,0.125167,0.668
190000,0,-0.000632407,-1.25666,0.000632407,0.6395
192000,0,-0.0655971,-2.11609,0.0655971,0.598
194000,3,3.48508,-3.45728,4.88595,0.633
196000,1,1.59139,-1.41623,1.04316,0.605
198000,1,2.69993,-3.30889,0.928837,0.6345
200000,1,2.82098,-1.348,0.775744,0.646
