generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Psammobates_geometricus,Psammobates_tentorius,0,0.032,0,0.005,0
2000,Psammobates_geometricus,Psammobates_tentorius,0,0.137641,0,0.107882,0
2000,Psammobates_tentorius,NA,10.5337,0.282147,0,0.184925,0
4000,Psammobates_geometricus,Psammobates_tentorius,0,0.0461076,0,0.0349241,0
4000,Psammobates_geometricus,NA,8.29499,0.0743627,0,0.0302054,0
6000,Psammobates_geometricus,Psammobates_tentorius,0,0.0322898,0,0.00400796,0
8000,Psammobates_geometricus,Psammobates_tentorius,0,0.13312,0,0.119539,0
10000,Psammobates_geometricus,Psammobates_tentorius,0,0.0287646,0,0.0822811,0
12000,Psammobates_geometricus,Psammobates_tentorius,0,0.0439991,0,0.0338122,0
12000,Psammobates_tentorius,NA,8.59016,0.321146,0,0.341037,0
14000,Psammobates_geometricus,Psammobates_tentorius,0,0.0358773,0,0.0237478,0
16000,Psammobates_geometricus,Psammobates_tentorius,0,0.0190582,0,0.0497186,0
18000,Psammobates_geometricus,Psammobates_tentorius,0,0.332211,0,0.0657995,0
18000,Psammobates_tentorius,NA,0.586987,0.14825,0,0.0498157,0
18000,Psammobates_tentorius,NA,7.61136,0.0594407,0,0.391345,0
20000,Psammobates_geometricus,Psammobates_tentorius,0,0.145766,0,0.00556699,0
22000,Psammobates_geometricus,Psammobates_tentorius,0,0.13202,0,0.0341951,0
24000,Psammobates_geometricus,Psammobates_tentorius,0,0.0588347,0,0.0646576,0
26000,Psammobates_geometricus,Psammobates_tentorius,0,0.351726,0,0.156924,0
28000,Psammobates_geometricus,Psammobates_tentorius,0,0.176915,0,0.072453,0
28000,Psammobates_oculiferus,NA,7.81699,0.135774,0,0.455457,0
30000,Psammobates_geometricus,Psammobates_tentorius,0,0.102035,0,0.0756302,0
30000,Psammobates_tentorius,NA,4.11402,0.187232,0,0.000795494,0
30000,Psammobates_oculiferus,NA,7.49191,0.185626,0,0.00625231,0
32000,Psammobates_geometricus,Psammobates_tentorius,0,0.0731926,0,0.0388564,0
34000,Psammobates_geometricus,Psammobates_tentorius,0,0.226043,0,0.221972,0
36000,Psammobates_geometricus,Psammobates_tentorius,0,0.152421,0,0.018063,0
36000,Psammobates_oculiferus,NA,10.205,0.021084,0,0.248827,0
38000,Psammobates_geometricus,Psammobates_tentorius,0,0.0533203,0,0.032555,0
40000,Psammobates_geometricus,Psammobates_tentorius,0,0.114309,0,0.0556669,0
42000,Psammobates_geometricus,Psammobates_tentorius,0,0.00863945,0,0.00723498,0
44000,Psammobates_geometricus,Psammobates_tentorius,0,0.0926845,0,0.055999,0
44000,Psammobates_geometricus,Psammobates_oculiferus,3.63998,0.0366129,0,0.03149,0
46000,Psammobates_geometricus,Psammobates_tentorius,0,0.0586041,0,0.0128753,0
48000,Psammobates_geometricus,Psammobates_tentorius,0,0.130169,0,0.0772234,0
50000,Psammobates_geometricus,Psammobates_tentorius,0,0.0718526,0,0.0769602,0
52000,Psammobates_geometricus,Psammobates_tentorius,0,0.0613092,0,0.0129446,0
54000,Psammobates_geometricus,Psammobates_tentorius,0,0.0895799,0,0.0108773,0
56000,Psammobates_geometricus,Psammobates_tentorius,0,0.289491,0,0.243503,0
58000,Psammobates_geometricus,Psammobates_tentorius,0,0.0455898,0,0.00246602,0
60000,Psammobates_geometricus,Psammobates_tentorius,0,0.16203,0,0.124929,0
62000,Psammobates_geometricus,Psammobates_tentorius,0,0.0483915,0,0.100843,0
62000,Psammobates_tentorius,NA,10.4654,0.272472,0,0.304209,0
64000,Psammobates_geometricus,Psammobates_tentorius,0,0.144149,0,0.0634602,0
66000,Psammobates_geometricus,Psammobates_tentorius,0,0.0264694,0,0.0559232,0
68000,Psammobates_geometricus,Psammobates_tentorius,0,0.045055,0,0.00593057,0
70000,Psammobates_geometricus,Psammobates_tentorius,0,0.0621931,0,0.00254261,0
72000,Psammobates_geometricus,Psammobates_tentorius,0,0.202424,0,0.0823398,0
74000,Psammobates_geometricus,Psammobates_tentorius,0,0.025617,0,0.0138581,0
76000,Psammobates_geometricus,Psammobates_tentorius,0,0.0887199,0,0.0332516,0
78000,Psammobates_geometricus,Psammobates_tentorius,0,0.0829335,0,0.00939925,0
80000,Psammobates_geometricus,Psammobates_tentorius,0,0.25556,0,0.0402431,0
80000,Psammobates_tentorius,NA,4.32367,0.0877916,0,0.0123894,0
80000,Psammobates_geometricus,NA,6.76858,0.00275048,0,0.388656,0
80000,Psammobates_oculiferus,NA,5.8172,0.0853456,0,0.136903,0
82000,Psammobates_geometricus,Psammobates_tentorius,0,0.231904,0,0.0698892,0
82000,Psammobates_tentorius,NA,10.151,0.404624,0,0.6044,0
84000,Psammobates_geometricus,Psammobates_tentorius,0,0.0417304,0,0.0787683,0
84000,Psammobates_tentorius,NA,1.19927,0.039627,0,0.183084,0
86000,Psammobates_geometricus,Psammobates_tentorius,0,0.100814,0,0.134103,0
88000,Psammobates_geometricus,Psammobates_tentorius,0,0.0461884,0,0.096594,0
90000,Psammobates_geometricus,Psammobates_tentorius,0,0.186104,0,0.0196582,0
92000,Psammobates_geometricus,Psammobates_tentorius,0,0.196158,0,0.11206,0
94000,Psammobates_geometricus,Psammobates_tentorius,0,0.0795334,0,0.0315577,0
96000,Psammobates_geometricus,Psammobates_tentorius,0,0.231289,0,0.136386,0
98000,Psammobates_geometricus,Psammobates_tentorius,0,0.0988292,0,0.00890152,0
100000,Psammobates_geometricus,Psammobates_tentorius,0,0.0556797,0,0.0267069,0
100000,Psammobates_tentorius,NA,2.65775,0.269364,0,0.20094,0
100000,Psammobates_geometricus,NA,6.38991,0.180984,0,0.18054,0
102000,Psammobates_geometricus,Psammobates_tentorius,0,0.0425081,0,0.00494139,0
104000,Psammobates_geometricus,Psammobates_tentorius,0,0.0464897,0,0.00857986,0
106000,Psammobates_geometricus,Psammobates_tentorius,0,0.383433,0,0.0515852,0
106000,Psammobates_tentorius,NA,0.321451,0.058097,0,0.0695089,0
106000,Psammobates_oculiferus,NA,4.87198,0.00470618,0,0.402782,0
106000,Psammobates_oculiferus,NA,8.75747,0.144096,0,0.634152,0
106000,Psammobates_geometricus,NA,7.42949,0.114367,0,0.642917,0
108000,Psammobates_geometricus,Psammobates_tentorius,0,0.0275867,0,0.0431735,0
110000,Psammobates_geometricus,Psammobates_tentorius,0,0.130234,0,0.00292535,0
112000,Psammobates_geometricus,Psammobates_tentorius,0,0.0442223,0,0.1493,0
112000,Psammobates_tentorius,NA,9.91248,0.210194,0,1.8995,0
114000,Psammobates_geometricus,Psammobates_tentorius,0,0.160776,0,0.0889909,0
116000,Psammobates_geometricus,Psammobates_tentorius,0,0.0567667,0,0.248039,0
116000,Psammobates_tentorius,NA,2.50004,0.0912978,0,0.359598,0
118000,Psammobates_geometricus,Psammobates_tentorius,0,0.0811737,0,0.00734912,0
120000,Psammobates_geometricus,Psammobates_tentorius,0,0.0355417,0,0.0360262,0
122000,Psammobates_geometricus,Psammobates_tentorius,0,0.25769,0,0.0492866,0
122000,Psammobates_geometricus,NA,4.92399,0.0130235,0,0.783223,0
122000,Psammobates_geometricus,NA,8.45309,0.0106386,0,0.0612492,0
124000,Psammobates_geometricus,Psammobates_tentorius,0,0.0439778,0,0.0571885,0
126000,Psammobates_geometricus,Psammobates_tentorius,0,0.110563,0,0.25428,0
126000,Psammobates_tentorius,NA,2.0583,0.385054,0,0.0174187,0
126000,Psammobates_geometricus,Psammobates_oculiferus,2.25319,0.226203,0,0.106176,0
128000,Psammobates_geometricus,Psammobates_tentorius,0,0.179304,0,0.0452198,0
130000,Psammobates_geometricus,Psammobates_tentorius,0,0.133037,0,0.0196558,0
130000,Psammobates_tentorius,NA,0.750984,0.0179252,0,0.674965,0
130000,Psammobates_tentorius,NA,3.3888,0.0891562,0,0.0302073,0
130000,Psammobates_geometricus,NA,7.65584,0.302952,0,0.217063,0
130000,Psammobates_geometricus,Psammobates_oculiferus,0.483204,0.148689,0,0.172391,0
130000,Psammobates_geometricus,Psammobates_oculiferus,3.69746,0.248405,0,0.659188,0
130000,Psammobates_geometricus,NA,4.12025,0.67403,0,0.23197,0
132000,Psammobates_geometricus,Psammobates_tentorius,0,0.137109,0,0.00938814,0
134000,Psammobates_geometricus,Psammobates_tentorius,0,0.0754409,0,0.0584913,0
134000,Psammobates_geometricus,NA,5.45936,0.00203942,0,0.0814784,0
136000,Psammobates_geometricus,Psammobates_tentorius,0,0.0311199,0,0.0105303,0
138000,Psammobates_geometricus,Psammobates_tentorius,0,0.14796,0,0.0684022,0
138000,Psammobates_tentorius,NA,6.66401,0.260334,0,0.0439302,0
140000,Psammobates_geometricus,Psammobates_tentorius,0,0.0246573,0,0.0218063,0
140000,Psammobates_tentorius,NA,10.5048,0.0772586,0,0.0216264,0
142000,Psammobates_geometricus,Psammobates_tentorius,0,0.0871613,0,0.00946095,0
142000,Psammobates_geometricus,NA,5.70501,0.0356319,0,0.00241777,0
144000,Psammobates_geometricus,Psammobates_tentorius,0,0.135882,0,0.0159648,0
144000,Psammobates_tentorius,NA,8.31824,0.0115027,0,0.00697151,0
146000,Psammobates_geometricus,Psammobates_tentorius,0,0.117439,0,0.036683,0
148000,Psammobates_geometricus,Psammobates_tentorius,0,0.219431,0,0.0463567,0
150000,Psammobates_geometricus,Psammobates_tentorius,0,0.0791054,0,0.0355309,0
152000,Psammobates_geometricus,Psammobates_tentorius,0,0.12515,0,0.0831629,0
152000,Psammobates_tentorius,NA,0.399819,0.21746,0,0.0546848,0
152000,Psammobates_geometricus,NA,5.03919,0.142137,0,0.218929,0
154000,Psammobates_geometricus,Psammobates_tentorius,0,0.202159,0,0.101894,0
156000,Psammobates_geometricus,Psammobates_tentorius,0,0.0355077,0,0.0294707,0
158000,Psammobates_geometricus,Psammobates_tentorius,0,0.0361702,0,0.00402703,0
160000,Psammobates_geometricus,Psammobates_tentorius,0,0.067955,0,0.0881521,0
162000,Psammobates_geometricus,Psammobates_tentorius,0,0.0773835,0,0.0655633,0
164000,Psammobates_geometricus,Psammobates_tentorius,0,0.0779701,0,0.0143008,0
166000,Psammobates_geometricus,Psammobates_tentorius,0,0.219064,0,0.0305782,0
166000,Psammobates_geometricus,NA,5.93754,0.230711,0,0.0653845,0
168000,Psammobates_geometricus,Psammobates_tentorius,0,0.147028,0,0.0148665,0
168000,Psammobates_tentorius,NA,8.62766,0.0487161,0,0.198602,0
170000,Psammobates_geometricus,Psammobates_tentorius,0,0.104436,0,0.0446065,0
170000,Psammobates_oculiferus,NA,4.73222,0.228925,0,0.439909,0
170000,Psammobates_geometricus,NA,9.60035,0.578104,0,0.223136,0
172000,Psammobates_geometricus,Psammobates_tentorius,0,0.156288,0,0.047668,0
172000,Psammobates_geometricus,Psammobates_oculiferus,1.13758,0.113809,0,0.218604,0
174000,Psammobates_geometricus,Psammobates_tentorius,0,0.202016,0,0.0209581,0
174000,Psammobates_tentorius,NA,3.60432,0.0859403,0,0.205246,0
176000,Psammobates_geometricus,Psammobates_tentorius,0,0.0404803,0,0.00374799,0
178000,Psammobates_geometricus,Psammobates_tentorius,0,0.139175,0,0.134861,0
178000,Psammobates_geometricus,Psammobates_oculiferus,2.5033,0.166538,0,0.0507813,0
180000,Psammobates_geometricus,Psammobates_tentorius,0,0.03414,0,0.0162651,0
182000,Psammobates_geometricus,Psammobates_tentorius,0,0.0662673,0,0.0315612,0
184000,Psammobates_geometricus,Psammobates_tentorius,0,0.136514,0,0.00561078,0
186000,Psammobates_geometricus,Psammobates_tentorius,0,0.0790788,0,0.0222338,0
186000,Psammobates_tentorius,NA,3.58319,0.429866,0,0.0849234,0
186000,Psammobates_tentorius,NA,4.08918,0.340113,0,0.277374,0
186000,Psammobates_tentorius,NA,10.4967,0.199984,0,0.0966882,0
188000,Psammobates_geometricus,Psammobates_tentorius,0,0.0696957,0,0.0671647,0
190000,Psammobates_geometricus,Psammobates_tentorius,0,0.131073,0,0.00322345,0
192000,Psammobates_geometricus,Psammobates_tentorius,0,0.0808205,0,0.135436,0
194000,Psammobates_geometricus,Psammobates_tentorius,0,0.131612,0,0.00103225,0
196000,Psammobates_geometricus,Psammobates_tentorius,0,0.0687458,0,0.0817668,0
198000,Psammobates_geometricus,Psammobates_tentorius,0,0.366389,0,0.197944,0
198000,Psammobates_tentorius,NA,0.0871617,0.0577986,0,0.130423,0
198000,Psammobates_tentorius,NA,7.70827,0.27731,0,0.205252,0
198000,Psammobates_tentorius,NA,1.95103,0.210558,0,0.0485196,0
198000,Psammobates_geometricus,NA,10.184,0.0725227,0,0.109206,0
198000,Psammobates_tentorius,NA,5.83679,0.205417,0,0.31883,0
198000,Psammobates_geometricus,NA,6.84803,0.568295,0,0.216844,0
198000,Psammobates_geometricus,NA,7.01849,0.196444,0,1.00849,0
198000,Psammobates_geometricus,NA,7.47805,0.812982,0,0.0756347,0
198000,Psammobates_geometricus,Psammobates_oculiferus,1.34953,0.224161,0,0.200148,0
200000,Psammobates_geometricus,Psammobates_tentorius,0,0.435103,0,0.271175,0
200000,Psammobates_oculiferus,NA,4.20634,0.00588616,0,0.148928,0
200000,Psammobates_tentorius,NA,4.62055,0.0698959,0,0.107375,0
200000,Psammobates_tentorius,NA,2.93035,0.0252946,0,0.135794,0
200000,Psammobates_tentorius,NA,3.69946,0.184554,0,0.516556,0
200000,Psammobates_geometricus,Psammobates_oculiferus,2.944,0.113275,0,0.2749,0
202000,Psammobates_geometricus,Psammobates_tentorius,0,0.0324272,0,0.116698,0
204000,Psammobates_geometricus,Psammobates_tentorius,0,0.18279,0,0.0360725,0
204000,Psammobates_tentorius,NA,5.88542,0.157536,0,0.910193,0
206000,Psammobates_geometricus,Psammobates_tentorius,0,0.0410628,0,0.0439501,0
208000,Psammobates_geometricus,Psammobates_tentorius,0,0.185344,0,0.0210014,0
210000,Psammobates_geometricus,Psammobates_tentorius,0,0.0583243,0,0.0599386,0
212000,Psammobates_geometricus,Psammobates_tentorius,0,0.0820742,0,0.0728962,0
214000,Psammobates_geometricus,Psammobates_tentorius,0,0.0818176,0,0.020921,0
216000,Psammobates_geometricus,Psammobates_tentorius,0,0.220966,0,0.0739015,0
218000,Psammobates_geometricus,Psammobates_tentorius,0,0.0944144,0,0.059114,0
218000,Psammobates_oculiferus,NA,7.1869,0.316652,0,0.439908,0
218000,Psammobates_tentorius,NA,1.43499,0.224055,0,0.0867108,0
220000,Psammobates_geometricus,Psammobates_tentorius,0,0.0121146,0,0.0605358,0
222000,Psammobates_geometricus,Psammobates_tentorius,0,0.111996,0,0.200309,0
222000,Psammobates_tentorius,NA,6.58854,0.339611,0,0.68868,0
224000,Psammobates_geometricus,Psammobates_tentorius,0,0.0444965,0,0.114374,0
226000,Psammobates_geometricus,Psammobates_tentorius,0,0.0489566,0,0.0238436,0
228000,Psammobates_geometricus,Psammobates_tentorius,0,0.0761766,0,0.0147738,0
230000,Psammobates_geometricus,Psammobates_tentorius,0,0.124828,0,0.00501394,0
232000,Psammobates_geometricus,Psammobates_tentorius,0,0.135363,0,0.0234682,0
234000,Psammobates_geometricus,Psammobates_tentorius,0,0.0972919,0,0.018439,0
236000,Psammobates_geometricus,Psammobates_tentorius,0,0.0868344,0,0.0986387,0
236000,Psammobates_geometricus,NA,8.17638,0.770281,0,0.271167,0
236000,Psammobates_geometricus,NA,6.57159,0.163002,0,0.4534,0
238000,Psammobates_geometricus,Psammobates_tentorius,0,0.0476067,0,0.0418966,0
240000,Psammobates_geometricus,Psammobates_tentorius,0,0.0804328,0,0.0256645,0
240000,Psammobates_oculiferus,NA,9.24439,0.715195,0,1.03131,0
240000,Psammobates_geometricus,Psammobates_oculiferus,3.61643,0.306481,0,0.0231342,0
242000,Psammobates_geometricus,Psammobates_tentorius,0,0.216767,0,0.137189,0
244000,Psammobates_geometricus,Psammobates_tentorius,0,0.107158,0,0.00208402,0
246000,Psammobates_geometricus,Psammobates_tentorius,0,0.12703,0,0.167578,0
248000,Psammobates_geometricus,Psammobates_tentorius,0,0.0969581,0,0.0824073,0
250000,Psammobates_geometricus,Psammobates_tentorius,0,0.308213,0,0.180224,0
252000,Psammobates_geometricus,Psammobates_tentorius,0,0.0482826,0,0.012243,0
254000,Psammobates_geometricus,Psammobates_tentorius,0,0.0146179,0,0.0367756,0
256000,Psammobates_geometricus,Psammobates_tentorius,0,0.0203404,0,0.00788041,0
256000,Psammobates_tentorius,NA,6.35208,0.053183,0,0.0813653,0
258000,Psammobates_geometricus,Psammobates_tentorius,0,0.144509,0,0.05004,0
258000,Psammobates_tentorius,NA,4.21581,0.194412,0,0.452883,0
260000,Psammobates_geometricus,Psammobates_tentorius,0,0.251628,0,0.17447,0
260000,Psammobates_tentorius,NA,0.897261,0.309907,0,0.276827,0
262000,Psammobates_geometricus,Psammobates_tentorius,0,0.196461,0,0.227339,0
264000,Psammobates_geometricus,Psammobates_tentorius,0,0.094855,0,0.0432169,0
266000,Psammobates_geometricus,Psammobates_tentorius,0,0.20351,0,0.129695,0
266000,Psammobates_tentorius,NA,6.06774,0.0539793,0,0.0939547,0
268000,Psammobates_geometricus,Psammobates_tentorius,0,0.149668,0,0.0123244,0
270000,Psammobates_geometricus,Psammobates_tentorius,0,0.0132796,0,0.000425766,0
270000,Psammobates_oculiferus,NA,7.97218,0.105577,0,0.212869,0
270000,Psammobates_oculiferus,NA,10.3791,0.189146,0,0.343426,0
272000,Psammobates_geometricus,Psammobates_tentorius,0,0.0583852,0,0.0376081,0
274000,Psammobates_geometricus,Psammobates_tentorius,0,0.17566,0,0.0805805,0
276000,Psammobates_geometricus,Psammobates_tentorius,0,0.0228688,0,0.0259953,0
276000,Psammobates_tentorius,NA,8.27106,0.0294364,0,0.212777,0
278000,Psammobates_geometricus,Psammobates_tentorius,0,0.113468,0,0.0559496,0
280000,Psammobates_geometricus,Psammobates_tentorius,0,0.035351,0,0.105686,0
282000,Psammobates_geometricus,Psammobates_tentorius,0,0.00738018,0,0.0133777,0
284000,Psammobates_geometricus,Psammobates_tentorius,0,0.104878,0,0.00560395,0
286000,Psammobates_geometricus,Psammobates_tentorius,0,0.0218227,0,0.0489999,0
288000,Psammobates_geometricus,Psammobates_tentorius,0,0.068441,0,0.0670814,0
290000,Psammobates_geometricus,Psammobates_tentorius,0,0.16978,0,0.144273,0
292000,Psammobates_geometricus,Psammobates_tentorius,0,0.0670653,0,0.00359624,0
294000,Psammobates_geometricus,Psammobates_tentorius,0,0.0833035,0,0.0477316,0
294000,Psammobates_tentorius,NA,9.44142,0.023887,0,0.202171,0
296000,Psammobates_geometricus,Psammobates_tentorius,0,0.067099,0,0.10012,0
298000,Psammobates_geometricus,Psammobates_tentorius,0,0.0712438,0,0.1868,0
298000,Psammobates_oculiferus,NA,10.0277,0.619339,0,0.206467,0
