generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-4.50779,1,0
2000,1,0.570575,-6.51154,0.235902,0.5905
4000,1,1.66183,-5.14761,0.251755,0.562
6000,0,-0.182315,-4.48565,0.182315,0.6165
8000,0,-1.59597,-6.60815,1.59597,0.558
10000,0,-0.031964,-6.26463,0.031964,0.5845
12000,1,0.00437543,-5.66295,0.206221,0.6105
14000,0,-1.35928,-4.86545,1.35928,0.55
16000,0,-0.274143,-5.77396,0.274143,0.5885
18000,2,2.05073,-7.7232,0.433528,0.564
20000,0,-0.191757,-5.91189,0.191757,0.6355
22000,0,-0.055838,-5.80852,0.055838,0.583
24000,0,-0.0818977,-5.57533,0.0818977,0.5595
26000,0,-0.962036,-9.36868,0.962036,0.674
28000,1,-0.196469,-6.94737,0.62376,0.582
30000,2,1.44516,-6.69403,1.86047,0.6455
32000,0,-0.359632,-5.18239,0.359632,0.5945
34000,0,-0.848533,-8.10187,0.848533,0.579
36000,1,-0.347622,-6.08988,1.75624,0.5625
38000,0,-0.203022,-4.99658,0.203022,0.581
40000,0,-0.803899,-5.75653,0.803899,0.6305
42000,0,-0.270865,-5.30707,0.270865,0.55
44000,1,1.19858,-5.74866,0.826374,0.581
46000,0,-0.0277421,-4.68809,0.0277421,0.5925
48000,0,-0.657629,-6.13211,0.657629,0.6055
50000,0,-0.384661,-5.7871,0.384661,0.5875
52000,0,-0.0292149,-4.7085,0.0292149,0.609
54000,0,-0.154187,-4.99163,0.154187,0.5505
56000,0,-0.310387,-8.61396,0.310387,0.5545
58000,0,-0.0715231,-4.44546,0.0715231,0.597
60000,0,-1.11841,-6.85568,1.11841,0.5845
62000,1,0.152864,-6.39405,0.318859,0.6135
64000,0,-0.165686,-6.17685,0.165686,0.5865
66000,0,-0.431269,-5.70449,0.431269,0.5985
68000,0,-0.0415834,-4.50549,0.0415834,0.528
70000,0,-0.0633792,-4.56043,0.0633792,0.5835
72000,0,-0.00824325,-7.0835,0.00824325,0.5525
74000,0,-0.497386,-4.76844,0.497386,0.598
76000,0,-1.75952,-5.23718,1.75952,0.5745
78000,0,-0.201866,-4.88683,0.201866,0.609
80000,3,1.08726,-6.08419,3.43148,0.656
82000,1,-4.29354,-7.47514,3.44486,0.637
84000,1,0.937481,-6.74115,0.615293,0.6155
86000,0,-0.129304,-6.73439,0.129304,0.548
88000,0,-0.230953,-6.29303,0.230953,0.5975
90000,0,-0.606034,-6.7297,0.606034,0.6255
92000,0,-0.620618,-7.10494,0.620618,0.592
94000,0,-0.632586,-5.12748,0.632586,0.565
96000,0,-1.18739,-7.62346,1.18739,0.6015
98000,0,-1.38564,-5.10583,1.38564,0.603
100000,2,0.857772,-7.06627,1.06766,0.603
102000,0,-0.248033,-4.48258,0.248033,0.6745
104000,0,-0.0764002,-4.55659,0.0764002,0.645
106000,4,0.103201,-6.47005,2.50476,0.615
108000,0,-0.175448,-5.38912,0.175448,0.6225
110000,0,-0.168652,-5.60391,0.168652,0.592
112000,1,-5.97554,-8.38972,1.76535,0.629
114000,0,-1.48143,-6.55655,1.48143,0.59
116000,1,0.384648,-10.2731,0.471235,0.5845
118000,0,-0.070652,-4.84026,0.070652,0.5235
120000,0,-0.666107,-5.12253,0.666107,0.57
122000,2,-0.186976,-9.24937,2.00153,0.6915
124000,0,-0.856784,-5.49122,0.856784,0.542
126000,2,-0.0784929,-9.29343,2.3001,0.607
128000,0,-0.274019,-6.62743,0.274019,0.582
130000,6,-0.707583,-10.8921,3.517,0.669
132000,0,-1.07612,-5.76097,1.07612,0.6575
134000,1,0.724427,-5.41755,1.25345,0.598
136000,0,-1.28796,-4.62894,1.28796,0.6165
138000,1,1.10336,-6.69237,0.200344,0.541
140000,1,1.80142,-4.96715,0.129529,0.581
142000,1,1.10914,-4.73685,1.0076,0.6025
144000,1,-1.21086,-5.50442,3.38739,0.585
146000,0,-0.375745,-5.61748,0.375745,0.5805
148000,0,-0.207103,-7.36026,0.207103,0.555
150000,0,-0.390382,-5.17796,0.390382,0.5935
152000,2,0.987743,-7.33408,1.54428,0.639
154000,0,-0.242254,-7.13768,0.242254,0.567
156000,0,-0.954934,-4.98611,0.954934,0.5655
158000,0,-0.490411,-4.469,0.490411,0.584
160000,0,-0.077998,-5.98711,0.077998,0.631
162000,0,-1.61125,-5.61118,1.61125,0.6015
164000,0,-0.339372,-4.88628,0.339372,0.612
166000,1,0.727726,-7.53075,0.600927,0.6205
168000,1,-0.198028,-5.66343,1.67565,0.5805
170000,2,-1.63069,-7.49569,1.60688,0.67
172000,1,0.794837,-7.38216,0.422899,0.5935
174000,1,0.659867,-6.40365,0.683779,0.5765
176000,0,-0.982881,-4.45872,0.982881,0.586
178000,1,-1.16305,-6.59981,2.73229,0.59
180000,0,-0.154503,-4.72416,0.154503,0.57
182000,0,-0.118932,-5.02903,0.118932,0.608
184000,0,-1.49514,-5.73416,1.49514,0.5415
186000,3,1.81951,-6.32997,0.515223,0.6435
188000,0,-0.101577,-5.61886,0.101577,0.687
190000,0,-0.972624,-5.62109,0.972624,0.601
192000,0,-0.394808,-6.81036,0.394808,0.565
194000,0,-0.201281,-5.62162,0.201281,0.5695
196000,0,-0.0544876,-5.87145,0.0544876,0.5935
198000,9,0.56363,-9.50778,4.44935,0.67
200000,5,3.7112,-7.74791,2.62061,0.711
202000,0,-0.918126,-6.98745,0.918126,0.612
204000,1,-1.86902,-7.9552,0.841055,0.615
206000,0,-0.458084,-5.24223,0.458084,0.564
208000,0,-1.15622,-6.7144,1.15622,0.585
210000,0,-0.0301505,-5.4897,0.0301505,0.579
212000,0,-0.0289161,-5.74137,0.0289161,0.534
214000,0,-0.187125,-5.01207,0.187125,0.586
216000,0,-1.00907,-7.37034,1.00907,0.56
218000,2,0.238102,-7.50761,0.968109,0.6825
220000,0,-0.291212,-6.39832,0.291212,0.663
222000,1,-1.57213,-8.98483,0.664605,0.5605
224000,0,-0.456418,-6.70262,0.456418,0.6095
226000,0,-0.441807,-4.83497,0.441807,0.5425
228000,0,-0.231821,-4.87257,0.231821,0.5175
230000,0,-0.217833,-5.51427,0.217833,0.5785
232000,0,-0.19147,-5.79801,0.19147,0.591
234000,0,-1.45496,-5.17514,1.45496,0.543
236000,2,-2.06064,-8.03106,1.46335,0.633
238000,0,-0.999709,-5.17186,0.999709,0.5735
240000,2,-2.91242,-6.3412,1.03769,0.555
242000,0,-0.294448,-7.45845,0.294448,0.5785
244000,0,-0.0413016,-5.18339,0.0413016,0.6275
246000,0,-0.0625821,-7.2435,0.0625821,0.597
248000,0,-1.16629,-5.94331,1.16629,0.6355
250000,0,-0.156796,-8.65682,0.156796,0.587
252000,0,-1.11303,-4.62653,1.11303,0.54
254000,0,-0.0597146,-5.6483,0.0597146,0.6235
256000,1,0.833163,-5.06629,0.988864,0.634
258000,1,-1.04082,-6.91499,1.29689,0.6465
260000,1,-0.130998,-8.30783,0.572021,0.678
262000,0,-1.38379,-8.07708,1.38379,0.598
264000,0,-0.335277,-5.41896,0.335277,0.53
266000,1,0.556115,-6.75826,1.22503,0.5595
268000,0,-0.838574,-6.00725,0.838574,0.5725
270000,2,0.122833,-5.47499,1.744,0.582
272000,0,-0.238277,-5.09475,0.238277,0.6015
274000,0,-0.787005,-6.69353,0.787005,0.574
276000,1,-0.200364,-5.41849,1.69358,0.6165
278000,0,-0.385493,-5.75045,0.385493,0.5815
280000,0,-0.0327948,-6.66461,0.0327948,0.65
282000,0,-0.529531,-5.59479,0.529531,0.588
284000,0,-0.110079,-5.17281,0.110079,0.564
286000,0,-0.0192199,-5.66423,0.0192199,0.6265
288000,0,-0.148157,-5.61599,0.148157,0.5525
290000,0,-0.7283,-7.09038,0.7283,0.5575
292000,0,-0.380077,-4.62491,0.380077,0.5395
294000,1,-1.73634,-5.33647,3.2789,0.562
296000,0,-0.000588198,-6.21039,0.000588198,0.6025
298000,1,-1.00305,-8.28572,0.713927,0.605
300000,0,-0.164217,-5.49518,0.164217,0.574
302000,1,-0.955464,-6.22071,0.778397,0.6045
304000,0,-0.0942766,-6.26219,0.0942766,0.6405
306000,0,-0.326653,-8.33537,0.326653,0.5535
308000,1,-1.40052,-7.2002,1.39004,0.585
310000,0,-0.00538021,-8.48435,0.00538021,0.5685
312000,1,1.0246,-6.72268,0.571329,0.62
314000,0,-0.150861,-5.40423,0.150861,0.6455
316000,0,-0.0718366,-4.50501,0.0718366,0.615
318000,0,-0.341218,-4.5971,0.341218,0.5925
320000,0,-0.400149,-7.37372,0.400149,0.6005
322000,0,-0.545953,-6.91646,0.545953,0.5495
324000,1,-0.350836,-5.51915,2.26796,0.597
326000,0,-0.315329,-4.63162,0.315329,0.5675
328000,0,-0.448228,-4.75506,0.448228,0.5365
330000,1,-0.475138,-6.83631,0.40719,0.594
332000,0,-0.636915,-5.37976,0.636915,0.5865
334000,0,-0.191213,-7.54099,0.191213,0.6625
336000,1,-0.402714,-5.74687,1.74769,0.5745
338000,0,-0.117494,-6.25856,0.117494,0.549
340000,0,-0.188453,-8.80329,0.188453,0.574
342000,2,2.07225,-6.31949,0.152384,0.6115
344000,2,1.70385,-6.47504,1.65429,0.5905
346000,0,-0.410266,-6.5368,0.410266,0.6405
348000,0,-0.0722544,-6.32891,0.0722544,0.5575
350000,1,-1.93934,-5.68871,1.0335,0.5775
352000,1,1.04768,-4.84427,0.507659,0.5895
354000,0,-0.171068,-7.26376,0.171068,0.608
356000,0,-0.165953,-5.26587,0.165953,0.6015
358000,0,-0.19303,-4.43337,0.19303,0.5555
360000,1,0.774558,-4.64013,0.611659,0.608
362000,0,-0.934879,-7.05045,0.934879,0.6105
364000,0,-0.243209,-6.64689,0.243209,0.5885
366000,1,1.17822,-6.41105,0.548872,0.5645
368000,0,-1.44555,-4.71175,1.44555,0.613
370000,0,-0.371662,-7.00347,0.371662,0.5245
372000,0,-0.147174,-6.52198,0.147174,0.6085
374000,0,-0.0555486,-5.40476,0.0555486,0.5915
376000,0,-0.338776,-6.72575,0.338776,0.5655
378000,0,-0.130494,-8.71359,0.130494,0.552
380000,0,-0.00379891,-5.30155,0.00379891,0.5795
382000,0,-0.277267,-5.16836,0.277267,0.609
384000,0,-2.27176,-5.21477,2.27176,0.63
386000,0,-0.393607,-6.16538,0.393607,0.599
388000,0,-0.118072,-7.55607,0.118072,0.5595
390000,0,-1.14747,-4.97813,1.14747,0.5655
392000,0,-0.255979,-6.24437,0.255979,0.646
394000,0,-0.956005,-9.07741,0.956005,0.54
