generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Pyxis_arachnoides,Pyxis_planicauda,0,0.032,0,0.005,0
2000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0150668,0,0.0161886,0
4000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0318175,0,0.0509189,0
6000,Pyxis_arachnoides,Pyxis_planicauda,0,0.156511,0,0.019331,0
6000,Pyxis_arachnoides,NA,4.09114,0.155838,0,0.0467328,0
6000,Pyxis_planicauda,NA,3.39003,0.036151,0,0.0953393,0
6000,Pyxis_arachnoides,NA,4.99088,0.0172276,0,0.133901,0
8000,Pyxis_arachnoides,Pyxis_planicauda,0,0.142533,0,0.0145834,0
10000,Pyxis_arachnoides,Pyxis_planicauda,0,0.00201884,0,0.0607715,0
10000,Pyxis_planicauda,NA,2.13621,0.19982,0,0.116288,0
12000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0391219,0,0.0102167,0
14000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0854775,0,0.0711758,0
16000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0495871,0,0.197477,0
16000,Pyxis_arachnoides,NA,5.01675,0.14067,0,0.203261,0
18000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0637207,0,0.0337984,0
20000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0720044,0,0.116846,0
22000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0499193,0,0.0196421,0
24000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0128943,0,0.00256059,0
26000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0104611,0,0.0180917,0
26000,Pyxis_planicauda,NA,8.89464,0.045432,0,0.253776,0
28000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0260795,0,0.117881,0
30000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0737272,0,0.00346966,0
32000,Pyxis_arachnoides,Pyxis_planicauda,0,0.123145,0,0.0975833,0
34000,Pyxis_arachnoides,Pyxis_planicauda,0,0.00781239,0,0.105361,0
36000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0230844,0,0.0237956,0
38000,Pyxis_arachnoides,Pyxis_planicauda,0,0.126675,0,0.149788,0
40000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0206999,0,0.120971,0
42000,Pyxis_arachnoides,Pyxis_planicauda,0,0.052169,0,0.0203709,0
44000,Pyxis_arachnoides,Pyxis_planicauda,0,0.022112,0,0.104646,0
44000,Pyxis_planicauda,NA,3.21406,0.214787,0,0.188133,0
44000,Pyxis_arachnoides,NA,10.7811,0.0688731,0,0.0259174,0
46000,Pyxis_arachnoides,Pyxis_planicauda,0,0.00393471,0,0.00997559,0
46000,Pyxis_planicauda,NA,4.60532,0.124097,0,0.021277,0
46000,Pyxis_planicauda,NA,5.55857,0.0155657,0,0.203469,0
46000,Pyxis_planicauda,NA,7.19784,0.0211446,0,0.0191772,0
46000,Pyxis_arachnoides,NA,5.35999,0.0329386,0,0.164099,0
48000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0644572,0,0.0233132,0
50000,Pyxis_arachnoides,Pyxis_planicauda,0,0.111916,0,0.0714118,0
52000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0294267,0,0.0281609,0
54000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0744316,0,0.111237,0
56000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0222215,0,0.0680688,0
58000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0423135,0,0.0423623,0
60000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0675152,0,0.00109979,0
62000,Pyxis_arachnoides,Pyxis_planicauda,0,0.224681,0,0.0734796,0
64000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0277156,0,0.104576,0
64000,Pyxis_planicauda,NA,1.7532,0.385438,0,0.435301,0
64000,Pyxis_planicauda,NA,1.2952,0.0462134,0,0.0236753,0
64000,Pyxis_planicauda,NA,8.5393,0.0557195,0,0.474125,0
66000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0635405,0,0.0642864,0
68000,Pyxis_arachnoides,Pyxis_planicauda,0,0.00658454,0,0.0333547,0
70000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0689119,0,0.0308323,0
72000,Pyxis_arachnoides,Pyxis_planicauda,0,0.036019,0,0.0381662,0
74000,Pyxis_arachnoides,Pyxis_planicauda,0,0.400907,0,0.549692,0
76000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0741662,0,0.0283594,0
76000,Pyxis_planicauda,NA,1.26686,0.0509447,0,0.0828529,0
78000,Pyxis_arachnoides,Pyxis_planicauda,0,0.155649,0,0.296611,0
80000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0348083,0,0.050546,0
80000,Pyxis_planicauda,NA,4.42365,0.0880677,0,0.553157,0
80000,Pyxis_planicauda,NA,7.66516,0.235103,0,0.282477,0
80000,Pyxis_arachnoides,NA,9.98733,0.0289927,0,0.249526,0
82000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0879371,0,0.00332921,0
84000,Pyxis_arachnoides,Pyxis_planicauda,0,0.00376412,0,0.00242667,0
86000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0604194,0,0.0817384,0
88000,Pyxis_arachnoides,Pyxis_planicauda,0,0.00799477,0,0.019141,0
90000,Pyxis_arachnoides,Pyxis_planicauda,0,0.0162113,0,0.0151846,0
90000,Pyxis_planicauda,NA,8.63343,0.0482755,0,0.261248,0
90000,Pyxis_arachnoides,NA,7.69587,0.0282593,0,0.0376033,0
90000,Pyxis_arachnoides,NA,10.2679,0.115937,0,0.182697,0
92000,Pyxis_arachnoides,Pyxis_planicauda,0,0.325026,0,0.49535,0
92000,Pyxis_arachnoides,NA,8.55157,0.076208,0,0.0644589,0
