generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-0.818253,1,0
2000,0,-0.571965,-0.704208,0.571965,0.6455
4000,0,-0.182123,-1.56174,0.182123,0.598
6000,3,5.96713,-2.00745,1.51975,0.649
8000,0,-0.420726,-3.06623,0.420726,0.6895
10000,1,1.28364,-2.65227,0.381168,0.614
12000,0,-0.896613,-1.03115,0.896613,0.665
14000,0,-0.0103891,-2.4799,0.0103891,0.5725
16000,1,-0.320275,-4.42789,1.83535,0.637
18000,0,-0.738562,-1.75841,0.738562,0.6075
20000,0,-0.15113,-2.93655,0.15113,0.6175
22000,0,-0.397794,-1.35457,0.397794,0.5745
24000,0,-0.788056,-0.406378,0.788056,0.598
26000,1,0.184134,-1.11111,1.57163,0.6345
28000,0,-0.0943373,-2.73637,0.0943373,0.6155
30000,0,-0.553516,-1.62906,0.553516,0.5755
32000,0,-0.394712,-3.16514,0.394712,0.6095
34000,0,-0.330803,-2.42572,0.330803,0.615
36000,0,-0.2576,-0.9732,0.2576,0.665
38000,0,-0.456547,-3.68831,0.456547,0.5755
40000,0,-0.138846,-2.78103,0.138846,0.628
42000,0,-0.272097,-1.40305,0.272097,0.7095
44000,2,2.27388,-3.41318,1.77961,0.604
46000,4,7.68344,-1.7029,2.54206,0.673
48000,0,-2.09142,-1.6509,2.09142,0.717
50000,0,-0.761704,-2.81718,0.761704,0.605
52000,0,-0.300575,-1.14628,0.300575,0.6355
54000,0,-0.612416,-2.87323,0.612416,0.702
56000,0,-0.0208183,-1.76925,0.0208183,0.614
58000,0,-0.107319,-1.55794,0.107319,0.6475
60000,0,-0.924792,-1.48054,0.924792,0.616
62000,0,-1.74413,-4.55042,1.74413,0.653
64000,3,-0.0712766,-3.97379,2.52475,0.665
66000,0,-0.482046,-2.13629,0.482046,0.737
68000,0,-0.978097,-0.916733,0.978097,0.626
70000,0,-0.350644,-1.80846,0.350644,0.6845
72000,0,-0.527126,-1.40575,0.527126,0.5755
74000,0,-0.301802,-7.8162,0.301802,0.5865
76000,1,2.34312,-2.00562,0.302827,0.5705
78000,0,-0.0486723,-5.58183,0.0486723,0.554
80000,3,0.839963,-3.87232,1.52282,0.6
82000,0,-1.45154,-1.91827,1.45154,0.593
84000,0,-0.0167833,-0.227595,0.0167833,0.57
86000,0,-0.307758,-2.34331,0.307758,0.657
88000,0,-0.58972,-0.646329,0.58972,0.5975
90000,3,5.21797,-1.38286,1.25267,0.6605
92000,1,0.326315,-7.15935,2.28267,0.639
94000,1,0.151942,-1.03077,2.11948,0.6485
96000,0,-0.27553,-1.77565,0.27553,0.596
98000,5,5.88473,-2.6952,4.56462,0.7085
100000,0,-0.463402,-2.79065,0.463402,0.6895
102000,1,1.39325,-1.94276,1.13953,0.617
104000,3,7.41503,-1.62689,1.17052,0.6495
106000,0,-1.06642,-1.05703,1.06642,0.625
108000,0,-0.222203,-2.02171,0.222203,0.602
110000,0,-0.591907,-3.06375,0.591907,0.581
112000,0,-0.0260877,-1.59271,0.0260877,0.633
114000,4,1.04995,-2.09627,1.32666,0.6805
116000,3,3.34916,-5.28499,0.268442,0.682
118000,0,-0.0434537,-1.38702,0.0434537,0.605
120000,0,-0.253647,-0.427964,0.253647,0.611
122000,0,-0.391218,-2.12018,0.391218,0.587
124000,0,-0.796813,-2.16132,0.796813,0.593
126000,0,-0.426817,-0.279094,0.426817,0.642
128000,1,-0.603937,-2.05049,2.08229,0.596
130000,1,2.97987,-2.48415,0.318741,0.6845
132000,0,-0.523237,-2.13063,0.523237,0.6685
134000,1,0.214136,-2.63247,1.40026,0.6165
136000,0,-0.45317,-2.5063,0.45317,0.6105
138000,0,-0.654725,-1.46946,0.654725,0.6125
140000,1,1.52848,-4.19708,0.643714,0.655
142000,0,-0.990647,-2.0359,0.990647,0.5555
144000,0,-0.742211,-0.479553,0.742211,0.611
146000,0,-0.05228,-2.76519,0.05228,0.682
148000,0,-0.358388,-0.640094,0.358388,0.601
150000,0,-0.652925,-0.269325,0.652925,0.591
152000,0,-0.110664,-0.883155,0.110664,0.63
154000,0,-0.346221,-0.500908,0.346221,0.6055
156000,0,-0.123516,-0.381958,0.123516,0.63
158000,1,2.65479,-0.650635,0.457097,0.5995
160000,0,-0.255456,-1.87926,0.255456,0.643
162000,4,1.96685,-4.07357,1.55286,0.7
164000,0,-0.142229,-0.859193,0.142229,0.6885
166000,4,5.40586,-3.16259,2.35895,0.7005
168000,0,-0.369207,-2.21853,0.369207,0.6365
170000,0,-0.0444776,-1.58414,0.0444776,0.592
172000,0,-0.901017,-1.75287,0.901017,0.6495
174000,0,-0.263002,-0.660128,0.263002,0.621
176000,0,-0.105232,-2.92174,0.105232,0.641
178000,1,1.57469,-1.94279,0.723098,0.656
180000,1,0.617317,-3.1972,1.87046,0.635
182000,4,3.53545,-3.33973,5.17618,0.6985
184000,0,-0.689648,-1.53815,0.689648,0.719
186000,0,-0.721197,-1.26833,0.721197,0.603
188000,0,-1.30205,-1.36435,1.30205,0.578
190000,0,-0.763084,-1.74756,0.763084,0.6885
192000,0,-0.726538,-1.13196,0.726538,0.6635
194000,1,1.24312,-4.30346,1.76184,0.703
196000,0,-1.42138,-1.98504,1.42138,0.646
198000,0,-0.384103,-2.30499,0.384103,0.673
