generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Testudo_graeca,Testudo_horsfieldii,0,0.032,0,0.005,0
2000,Testudo_graeca,Testudo_horsfieldii,0,0.0323088,0,0.028106,0
4000,Testudo_graeca,Testudo_horsfieldii,0,0.0299967,0,0.0113991,0
6000,Testudo_graeca,Testudo_horsfieldii,0,0.0649994,0,0.0708876,0
6000,Testudo_hermanni,NA,17.763,0.0132618,0,0.00383976,0
6000,Testudo_horsfieldii,NA,14.9643,0.0506906,0,0.190136,0
8000,Testudo_graeca,Testudo_horsfieldii,0,0.0833076,0,0.0917431,0
8000,Testudo_hermanni,NA,4.33523,0.0195865,0,0.0341665,0
8000,Testudo_horsfieldii,NA,7.03336,0.0189532,0,0.00389555,0
10000,Testudo_graeca,Testudo_horsfieldii,0,0.0046422,0,0.016539,0
10000,Testudo_graeca,Testudo_hermanni,1.1963,0.127144,0,0.107399,0
12000,Testudo_graeca,Testudo_horsfieldii,0,0.0948144,0,0.0133234,0
14000,Testudo_graeca,Testudo_horsfieldii,0,0.0263516,0,0.00127669,0
16000,Testudo_graeca,Testudo_horsfieldii,0,0.112147,0,0.046029,0
18000,Testudo_graeca,Testudo_horsfieldii,0,0.0684719,0,0.0172088,0
18000,Testudo_horsfieldii,NA,11.087,0.319632,0,0.1576,0
18000,Testudo_hermanni,NA,19.4843,0.121522,0,0.169265,0
18000,Testudo_graeca,Testudo_kleinmanni,4.06862,0.0394368,0,0.0371894,0
20000,Testudo_graeca,Testudo_horsfieldii,0,0.0355446,0,0.000706252,0
22000,Testudo_graeca,Testudo_horsfieldii,0,0.027467,0,0.0117492,0
24000,Testudo_graeca,Testudo_horsfieldii,0,0.0506891,0,0.0182828,0
26000,Testudo_graeca,Testudo_horsfieldii,0,0.0844805,0,0.0434425,0
28000,Testudo_graeca,Testudo_horsfieldii,0,0.0395834,0,0.00883863,0
30000,Testudo_graeca,Testudo_horsfieldii,0,0.0312717,0,0.0181976,0
32000,Testudo_graeca,Testudo_horsfieldii,0,0.0639178,0,0.00171402,0
32000,Testudo_hermanni,NA,12.9432,0.0671755,0,0.0177047,0
34000,Testudo_graeca,Testudo_horsfieldii,0,0.0404854,0,0.0364629,0
36000,Testudo_graeca,Testudo_horsfieldii,0,0.0223541,0,0.00563034,0
38000,Testudo_graeca,Testudo_horsfieldii,0,0.107206,0,0.112962,0
40000,Testudo_graeca,Testudo_horsfieldii,0,0.103354,0,0.0348861,0
40000,Testudo_hermanni,NA,15.3999,0.304187,0,0.0229482,0
42000,Testudo_graeca,Testudo_horsfieldii,0,0.224572,0,0.112116,0
42000,Testudo_graeca,Testudo_hermanni,1.21498,0.297566,0,0.147603,0
44000,Testudo_graeca,Testudo_horsfieldii,0,0.0373421,0,0.00240515,0
46000,Testudo_graeca,Testudo_horsfieldii,0,0.026828,0,0.0718295,0
46000,Testudo_horsfieldii,NA,16.7692,0.197577,0,0.0260151,0
46000,Testudo_horsfieldii,NA,4.30212,0.0327643,0,0.060344,0
46000,Testudo_graeca,NA,19.5837,0.127848,0,0.131708,0
48000,Testudo_graeca,Testudo_horsfieldii,0,0.0796704,0,0.0155016,0
50000,Testudo_graeca,Testudo_horsfieldii,0,0.0579893,0,0.00683088,0
52000,Testudo_graeca,Testudo_horsfieldii,0,0.132874,0,0.0772375,0
54000,Testudo_graeca,Testudo_horsfieldii,0,0.0709805,0,0.0522558,0
56000,Testudo_graeca,Testudo_horsfieldii,0,0.0272066,0,0.0187665,0
58000,Testudo_graeca,Testudo_horsfieldii,0,0.106622,0,0.0828849,0
60000,Testudo_graeca,Testudo_horsfieldii,0,0.0762583,0,0.00380522,0
62000,Testudo_graeca,Testudo_horsfieldii,0,0.0535597,0,0.000327253,0
64000,Testudo_graeca,Testudo_horsfieldii,0,0.0823058,0,0.0953216,0
66000,Testudo_graeca,Testudo_horsfieldii,0,0.0564999,0,0.0237068,0
68000,Testudo_graeca,Testudo_horsfieldii,0,0.106354,0,0.0750224,0
70000,Testudo_graeca,Testudo_horsfieldii,0,0.044396,0,0.0381821,0
72000,Testudo_graeca,Testudo_horsfieldii,0,0.0644979,0,0.0139479,0
74000,Testudo_graeca,Testudo_horsfieldii,0,0.0549011,0,0.0581376,0
76000,Testudo_graeca,Testudo_horsfieldii,0,0.0397356,0,0.011396,0
76000,Testudo_horsfieldii,NA,3.05205,0.118391,0,0.103025,0
78000,Testudo_graeca,Testudo_horsfieldii,0,0.0704886,0,0.00249078,0
80000,Testudo_graeca,Testudo_horsfieldii,0,0.0587601,0,0.0279451,0
82000,Testudo_graeca,Testudo_horsfieldii,0,0.0515463,0,0.00894267,0
84000,Testudo_graeca,Testudo_horsfieldii,0,0.0505612,0,0.0169286,0
86000,Testudo_graeca,Testudo_horsfieldii,0,0.0276669,0,0.0198969,0
88000,Testudo_graeca,Testudo_horsfieldii,0,0.0474368,0,0.000957328,0
90000,Testudo_graeca,Testudo_horsfieldii,0,0.100226,0,0.00673036,0
92000,Testudo_graeca,Testudo_horsfieldii,0,0.256139,0,0.0834441,0
92000,Testudo_horsfieldii,NA,2.25064,0.0103928,0,0.0288053,0
92000,Testudo_graeca,NA,9.98652,0.179855,0,0.199032,0
94000,Testudo_graeca,Testudo_horsfieldii,0,0.0656515,0,0.0589701,0
96000,Testudo_graeca,Testudo_horsfieldii,0,0.0790064,0,0.0249601,0
98000,Testudo_graeca,Testudo_horsfieldii,0,0.0830717,0,0.00745707,0
100000,Testudo_graeca,Testudo_horsfieldii,0,0.0756128,0,0.0438357,0
102000,Testudo_graeca,Testudo_horsfieldii,0,0.115857,0,0.00287725,0
104000,Testudo_graeca,Testudo_horsfieldii,0,0.0321328,0,0.000620016,0
106000,Testudo_graeca,Testudo_horsfieldii,0,0.105151,0,0.0236524,0
106000,Testudo_horsfieldii,NA,11.6495,0.148607,0,0.2846,0
108000,Testudo_graeca,Testudo_horsfieldii,0,0.0562774,0,0.0455729,0
110000,Testudo_graeca,Testudo_horsfieldii,0,0.0486052,0,0.0144165,0
112000,Testudo_graeca,Testudo_horsfieldii,0,0.0988467,0,0.010529,0
114000,Testudo_graeca,Testudo_horsfieldii,0,0.0919768,0,0.0141934,0
116000,Testudo_graeca,Testudo_horsfieldii,0,0.0426682,0,0.0686424,0
118000,Testudo_graeca,Testudo_horsfieldii,0,0.0506814,0,0.049442,0
118000,Testudo_horsfieldii,NA,20.0601,0.0214333,0,0.460373,0
120000,Testudo_graeca,Testudo_horsfieldii,0,0.0534514,0,0.0045825,0
122000,Testudo_graeca,Testudo_horsfieldii,0,0.0247327,0,0.0123932,0
124000,Testudo_graeca,Testudo_horsfieldii,0,0.115414,0,0.066763,0
126000,Testudo_graeca,Testudo_horsfieldii,0,0.118885,0,0.103809,0
128000,Testudo_graeca,Testudo_horsfieldii,0,0.0369224,0,0.00078982,0
130000,Testudo_graeca,Testudo_horsfieldii,0,0.0508208,0,0.00775348,0
130000,Testudo_horsfieldii,NA,6.8562,0.0737494,0,0.0591794,0
130000,Testudo_graeca,NA,16.3313,0.474979,0,0.15313,0
132000,Testudo_graeca,Testudo_horsfieldii,0,0.0675471,0,0.0213649,0
134000,Testudo_graeca,Testudo_horsfieldii,0,0.0798689,0,0.0159538,0
134000,Testudo_hermanni,NA,13.2754,0.227493,0,0.323015,0
134000,Testudo_hermanni,NA,17.7469,0.339663,0,0.551203,0
134000,Testudo_hermanni,NA,8.24906,0.303661,0,0.0205064,0
134000,Testudo_hermanni,NA,20.4488,0.107646,0,0.224403,0
136000,Testudo_graeca,Testudo_horsfieldii,0,0.100791,0,0.0546878,0
138000,Testudo_graeca,Testudo_horsfieldii,0,0.116161,0,0.120098,0
