generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1,-13.1445,1,0
2000,0,-0.465248,-14.2443,0.465248,0.54
4000,0,-0.0824804,-13.5038,0.0824804,0.538
6000,2,2.42805,-15.4232,1.906,0.569
8000,2,3.46925,-14.3147,1.54798,0.5555
10000,1,0.792812,-14.3564,0.976422,0.6095
12000,0,-0.985713,-14.4957,0.985713,0.5905
14000,0,-0.948579,-13.1484,0.948579,0.5045
16000,0,-0.8614,-15.293,0.8614,0.566
18000,3,3.35574,-15.99,1.42066,0.599
20000,0,-1.02041,-12.9017,1.02041,0.52
22000,0,-1.69848,-13.625,1.69848,0.5545
24000,0,-0.197859,-13.512,0.197859,0.513
26000,0,-0.662183,-14.5778,0.662183,0.5355
28000,0,-0.456208,-13.19,0.456208,0.5365
30000,0,-0.725551,-13.7894,0.725551,0.52
32000,1,0.700424,-13.3102,1.63269,0.526
34000,0,-0.589826,-14.3685,0.589826,0.5315
36000,0,-0.424344,-13.5858,0.424344,0.5235
38000,0,-0.070734,-16.5196,0.070734,0.577
40000,1,0.262326,-16.0855,1.15805,0.5715
42000,1,-0.772368,-20.6354,1.74803,0.5775
44000,0,-0.0533114,-12.9538,0.0533114,0.556
46000,3,4.10396,-17.8062,1.68364,0.5255
48000,0,-1.51682,-13.9833,1.51682,0.5345
50000,0,-0.144866,-13.2617,0.144866,0.619
52000,0,-0.306455,-16.1027,0.306455,0.544
54000,0,-0.0936758,-14.6699,0.0936758,0.5295
56000,0,-0.351467,-14.0028,0.351467,0.568
58000,0,-0.054899,-15.7166,0.054899,0.518
60000,0,-0.123785,-13.7224,0.123785,0.514
62000,0,-0.768523,-13.0114,0.768523,0.502
64000,0,-0.0392518,-16.1082,0.0392518,0.517
66000,0,-0.352451,-13.7153,0.352451,0.563
68000,0,-0.278441,-15.55,0.278441,0.5435
70000,0,-1.67723,-14.3503,1.67723,0.619
72000,0,-0.369166,-13.5613,0.369166,0.5565
74000,0,-2.60707,-15.0127,2.60707,0.523
76000,1,-0.364086,-14.5409,2.18278,0.52
78000,0,-0.257368,-13.5084,0.257368,0.586
80000,0,-0.779753,-13.8615,0.779753,0.5475
82000,0,-0.88663,-13.2198,0.88663,0.539
84000,0,-0.178598,-13.466,0.178598,0.558
86000,0,-0.0285367,-14.0382,0.0285367,0.5685
88000,0,-0.647536,-12.9319,0.647536,0.617
90000,0,-0.980472,-14.7077,0.980472,0.533
92000,2,2.19845,-17.7099,1.53217,0.6245
94000,0,-1.19638,-14.9108,1.19638,0.5325
96000,0,-1.05824,-14.1121,1.05824,0.5695
98000,0,-0.649667,-14.007,0.649667,0.499
100000,0,-0.95879,-14.4597,0.95879,0.532
102000,0,-1.38712,-15.4734,1.38712,0.496
104000,0,-3.34808,-12.9478,3.34808,0.5955
106000,1,-0.714331,-14.8618,1.73506,0.5725
108000,0,-0.202121,-14.481,0.202121,0.589
110000,0,-0.256257,-13.3748,0.256257,0.536
112000,0,-0.167244,-14.6511,0.167244,0.561
114000,0,-0.524682,-14.3914,0.524682,0.5965
116000,0,-0.121996,-15.9021,0.121996,0.542
118000,1,-1.36142,-14.7218,2.19905,0.5325
120000,0,-0.366755,-13.1214,0.366755,0.5715
122000,0,-0.145966,-13.8023,0.145966,0.5575
124000,0,-0.359646,-15.582,0.359646,0.538
126000,0,-0.0348586,-16.2865,0.0348586,0.5365
128000,0,-0.0735942,-12.8933,0.0735942,0.542
130000,2,1.79328,-15.1519,0.64521,0.5445
132000,0,-0.821886,-13.7909,0.821886,0.507
134000,4,0.252889,-14.6483,2.45574,0.605
136000,0,-0.269366,-15.0961,0.269366,0.568
