generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.032,0,0.005,0
2000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0706716,0,0.0113189,0
4000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0938872,0,0.0413209,0
6000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0528129,0,0.000355575,0
6000,Chelonoidis_abingdonii,Chelonoidis_becki,37.4733,0.639516,0,0.363945,0
8000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0569576,0,0.000621788,0
8000,Chelonoidis_abingdonii,Chelonoidis_becki,39.9451,0.613774,0,0.182229,0
8000,Aldabrachelys_grandidieri,NA,34.28,0.0488031,0,0.0744378,0
10000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0561994,0,0.0014267,0
10000,Chelonoidis_abingdonii,Chelonoidis_becki,38.7353,0.530822,0,0.0191317,0
12000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0640266,0,0.00564928,0
12000,Chelonoidis_abingdonii,Chelonoidis_becki,40.6466,0.417699,0,0.00918371,0
14000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0491728,0,0.00882096,0
14000,Chelonoidis_abingdonii,Chelonoidis_chilensis,34.2591,0.303905,0,0.0389102,0
16000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0534138,0,0.00223712,0
16000,Chelonoidis_abingdonii,Chelonoidis_becki,37.453,0.355211,0,0.129415,0
18000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0390451,0,0.00234117,0
18000,Chelonoidis_abingdonii,Chelonoidis_becki,40.0282,0.429351,0,0.0566624,0
20000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.051592,0,0.000961815,0
20000,Indotestudo_elongata,NA,43.9845,0.0348742,0,0.442693,0
20000,Chelonoidis_abingdonii,Chelonoidis_becki,39.5864,0.536524,0,0.221993,0
22000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0738584,0,0.0028099,0
22000,Chelonoidis_abingdonii,Chelonoidis_becki,38.9546,0.383543,0,0.205752,0
24000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0548471,0,0.00466004,0
24000,Chelonoidis_abingdonii,Chelonoidis_becki,40.4512,0.438213,0,0.0640537,0
26000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0705309,0,0.00520068,0
26000,Chelonoidis_becki,NA,44.562,0.0112975,0,0.0651519,0
26000,Chelonoidis_abingdonii,Chelonoidis_becki,40.4542,0.598051,0,0.109966,0
28000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0560871,0,0.00293767,0
28000,Chelonoidis_abingdonii,Chelonoidis_becki,35.2024,0.513972,0,0.127466,0
30000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0604131,0,0.00544233,0
30000,Chelonoidis_abingdonii,Chelonoidis_duncanensis,41.1859,0.360567,0,0.0292927,0
32000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0568078,0,0.0105311,0
32000,Chelonoidis_abingdonii,Chelonoidis_chilensis,30.4647,0.590151,0,0.508078,0
34000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0666261,0,0.00211378,0
34000,Kinixys_lobatsiana,NA,45.2352,0.056839,0,0.0668809,0
34000,Chelonoidis_abingdonii,Chelonoidis_becki,40.3434,0.300204,0,0.253894,0
36000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0645146,0,0.0100972,0
36000,Chelonoidis_abingdonii,Chelonoidis_becki,40.6308,0.444841,0,0.00365077,0
38000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0603826,0,0.003259,0
38000,Chelonoidis_abingdonii,Chelonoidis_becki,39.2032,0.593613,0,0.0799654,0
40000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0603156,0,0.00387915,0
42000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0709647,0,0.00381251,0
44000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.0588124,0,0.00538839,0
44000,Psammobates_geometricus,Stigmochelys_pardalis,25.1141,0.107358,0,0.101374,0
44000,Chelonoidis_abingdonii,Chelonoidis_becki,40.5284,0.540954,0,0.098298,0
44000,Aldabrachelys_gigantea,Astrochelys_radiata,18.1623,0.0857104,0,0.0589358,0
46000,Aldabrachelys_gigantea,Gopherus_agassizii,0,0.072949,0,0.00254754,0
