generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.13548,-243.792,1.13548,1
2000,0,-0.212652,-229.757,0.212652,0.47
4000,0,-0.433488,-232.612,0.433488,0.4185
6000,1,-2.07528,-220.743,0.558146,0.478
8000,2,1.19223,-219.241,0.686924,0.582
10000,1,-0.682659,-219.496,1.21418,0.65
12000,1,-3.63674,-219.208,4.72421,0.597
14000,1,0.866123,-223.599,0.601113,0.6005
16000,1,-0.435586,-220.299,1.26221,0.6155
18000,1,-0.0090171,-222.44,0.829375,0.6115
20000,2,0.000240187,-219.748,0.447633,0.6235
22000,1,-0.788804,-221.931,1.1426,0.59
24000,1,0.670097,-219.281,0.0768381,0.608
26000,2,1.86659,-220.177,0.621404,0.6045
28000,1,-2.14838,-221.033,2.26662,0.597
30000,1,0.995963,-220.98,0.258757,0.562
32000,1,-2.61303,-225.096,0.667795,0.642
34000,2,1.93351,-222.077,1.03626,0.5975
36000,1,0.741798,-219.89,0.248058,0.603
38000,1,-0.363255,-220.017,0.336315,0.6365
40000,0,-1.75971,-229.544,1.75971,0.4635
42000,0,-1.90385,-229.214,1.90385,0.4005
44000,3,2.54185,-222.639,2.02165,0.5135
46000,1,-1.90737,-227.623,2.08088,0.627
48000,1,0.771364,-221.109,1.27543,0.5275
50000,0,-0.45188,-229.109,0.45188,0.5945
52000,0,-0.200016,-230.489,0.200016,0.3945
54000,0,-0.230169,-229.572,0.230169,0.411
56000,3,2.77867,-226.366,1.85503,0.5825
58000,1,0.762607,-219.743,0.399028,0.612
60000,1,0.425642,-219.418,0.783731,0.607
62000,2,1.47319,-221.385,1.50268,0.596
64000,1,1.12481,-222.829,0.662212,0.609
66000,1,0.844256,-222.866,0.352478,0.6155
68000,1,0.924968,-220.834,0.0560765,0.621
70000,1,0.571499,-219.449,0.403177,0.604
72000,1,-0.702354,-218.854,1.27691,0.5915
74000,1,-0.179658,-219.197,1.67523,0.601
76000,2,-2.38002,-227.076,3.36752,0.6045
78000,3,4.50524,-221.528,0.880018,0.613
80000,1,0.558705,-219.283,0.312706,0.6365
82000,1,-0.700617,-220.791,2.50488,0.6035
84000,1,1.91783,-229.344,0.638599,0.5735
86000,1,-1.14045,-221.015,0.967603,0.594
88000,1,0.706755,-222.037,0.91963,0.599
90000,2,2.49582,-224.545,0.979953,0.6045
92000,1,1.22176,-220.215,0.768044,0.6185
94000,1,0.0879673,-222.636,0.915847,0.5595
96000,1,1.60741,-225.228,0.496165,0.642
98000,1,0.0759936,-220.416,1.07121,0.603
100000,0,-0.323868,-229.905,0.323868,0.5645
102000,1,-3.92058,-227.387,1.55149,0.4185
104000,1,-1.2745,-220.998,1.16196,0.5555
106000,1,-0.821326,-221.229,0.729906,0.606
108000,1,-0.197006,-221.992,1.66182,0.6135
110000,2,0.756852,-223.194,2.48784,0.6045
112000,1,-2.90173,-223.463,3.38527,0.597
114000,0,-1.15606,-230.222,1.15606,0.419
116000,0,-0.0380213,-229.761,0.0380213,0.472
118000,0,-0.443402,-230.32,0.443402,0.4175
120000,2,2.7936,-224.098,0.711709,0.5635
122000,1,0.197678,-221.811,0.888259,0.6115
124000,0,-0.396022,-228.973,0.396022,0.585
126000,0,-0.0763338,-229.871,0.0763338,0.458
128000,0,-0.327182,-230.435,0.327182,0.46
130000,1,1.31911,-224.978,0.28326,0.56
132000,1,-0.536017,-221.796,2.19163,0.627
134000,1,-0.526954,-220.99,0.788795,0.5995
136000,1,0.221124,-224.08,0.309937,0.622
138000,1,-2.69161,-220.324,3.76084,0.617
140000,1,0.694029,-222.694,0.143811,0.585
142000,3,1.79939,-220.846,1.23837,0.6325
144000,3,0.817041,-222.201,1.30643,0.6425
146000,1,-1.32991,-221.742,1.15616,0.596
148000,1,0.801712,-221.974,0.111308,0.5925
150000,3,2.8252,-222.716,1.75993,0.599
152000,1,0.846729,-222.735,0.490045,0.6065
154000,1,1.51309,-222.129,0.168607,0.6215
156000,1,-0.1448,-222.686,1.55621,0.5975
158000,1,-0.299944,-220.548,0.671131,0.6005
160000,1,0.353789,-222.352,0.948338,0.6225
162000,1,-0.94445,-220.572,1.29467,0.6185
164000,1,0.461103,-220.643,0.867022,0.628
166000,2,-3.79068,-223.01,1.86913,0.632
168000,2,2.12237,-219.096,1.10366,0.599
170000,2,-0.818467,-224.247,0.677815,0.6305
172000,1,0.259044,-221.893,0.594626,0.6075
174000,1,0.470808,-222.249,1.09931,0.6135
176000,1,-1.78234,-223.207,2.51817,0.585
178000,2,-0.107193,-220.038,0.780336,0.612
180000,2,-0.188679,-221.395,3.67172,0.6205
182000,1,-0.520416,-224.345,0.183052,0.598
184000,1,-4.65976,-223.126,1.3932,0.6095
186000,1,-2.02492,-221.867,3.88162,0.5925
188000,2,-1.00227,-222.437,2.49582,0.614
190000,1,1.32896,-222.547,0.304038,0.6
192000,2,1.85508,-224.409,0.689384,0.602
194000,1,-0.130113,-220.255,1.29152,0.6095
196000,1,-1.03161,-220.624,1.05354,0.6255
198000,2,-0.523424,-220.175,1.38243,0.6145
200000,2,2.22676,-220.533,0.659074,0.625
202000,1,-0.695559,-220.496,1.0186,0.613
204000,1,-0.680176,-222.094,0.782409,0.598
206000,1,-0.812639,-223.152,1.07214,0.5875
208000,0,-0.0226969,-229.583,0.0226969,0.567
210000,1,0.307317,-225.354,1.2313,0.441
212000,1,-0.437632,-219.305,0.659811,0.6095
214000,1,-0.0151457,-220.548,0.865537,0.5705
216000,2,2.36849,-222.073,0.615245,0.617
218000,2,1.26301,-221.081,1.59145,0.6145
220000,1,0.367052,-223.781,1.52497,0.616
222000,1,0.681329,-220.746,0.377138,0.611
224000,1,-3.56051,-221.652,1.53185,0.597
226000,1,0.597676,-221.041,0.226415,0.593
228000,1,-0.125943,-220.817,1.35466,0.5985
230000,1,0.449036,-219.377,0.355325,0.617
232000,1,0.151629,-219.354,1.04187,0.636
234000,2,2.09323,-222.395,0.556713,0.6035
236000,1,-2.05139,-222.841,1.60833,0.5965
238000,2,2.84106,-221.458,0.970447,0.6015
240000,1,-1.84902,-220.757,1.85162,0.639
242000,1,-1.80296,-221.979,1.55999,0.5715
244000,1,-0.537161,-222.9,0.844308,0.6005
246000,1,-0.104408,-220.421,1.17337,0.598
248000,2,1.05995,-223.244,1.19953,0.5955
250000,5,9.18651,-223.11,1.14658,0.627
252000,2,3.03315,-219.753,0.361158,0.6105
254000,1,0.846399,-220.869,0.643999,0.628
256000,1,0.671524,-222.19,0.701065,0.606
258000,1,0.580267,-220.186,0.533563,0.618
260000,1,-0.239057,-221.64,0.423596,0.6115
262000,2,0.965206,-222.055,2.81522,0.6035
264000,1,-0.217246,-219.659,1.59021,0.598
266000,1,0.296005,-221.287,0.550075,0.5985
268000,1,-0.30199,-222.001,0.943014,0.5965
270000,1,-2.36795,-222.954,2.34513,0.5945
272000,2,-0.229634,-226.352,2.06637,0.6145
274000,1,0.230121,-222.08,0.326628,0.6315
276000,1,-0.0899542,-219.282,1.5577,0.602
